Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:04.269,00:00:06.269,(unintelligible),Dr. Khalifa,"Dr. Rashad Khalifa leads a study circle on Sura 2:188-196, exploring the spiritual and practical implications of Quranic law. He explains the prohibition of dishonest financial gain in 2:188, illustrating divine retribution with anecdotes about cashier change errors and traffic tickets. Participants Dean Mahmoud and Loretta raise questions about systemic bribery in Egypt and the Philippines, prompting Dr. Khalifa to argue that bribery is strictly prohibited unless forced by life-threatening circumstances. Latifa queries the command to be straightforward in 2:189, leading to a discussion on diplomatic communication. Dr. Khalifa shares lighthearted anecdotes about Masouda throwing a pillow at Abdullah and Catherine putting shaving cream in Abdullah's shoe instead of Erol's. He analyzes the rules of war in 2:190-195, contrasting Quranic self-defense with the Iraq-Iran war, and promotes his Arabic language course. After a recitation of Al-Fatihah, the group discusses how Salat wipes out inadvertent sins under 11:114 and 29:45. Dr. Khalifa argues against extra fasting outside Ramadan, dismissing Sunni traditions of fasting on Mondays and Thursdays as non-Quranic innovations. He explains the conversion of sins to credits in 25:70 upon repenting from idol worship, emphasizing continuous repentance. Finally, he outlines the rules of Hajj in 2:196-198, recounting a trip with his father, and addresses objections regarding the Ka'aba and Safa and Marwah as potential idol worship.",,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:06.713,00:00:16.265,"[2:188]  You shall not take each others' money dishonestly, nor shall you bribe the officials in order to take other people's money, sinfully and knowingly.",Dr. Khalifa,,00:00:06.713,Prohibition of Dishonest Money
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:18.042,00:00:20.263,(unintelligible),Dr. Khalifa,,,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:20.263,00:00:24.579,"Whatever, it's up to you. If you want to stop and take it verse by verse.",Dr. Khalifa,,,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:24.579,00:00:26.312,(unintelligible),Dr. Khalifa,,,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:27.065,00:00:31.777,"To me, that's my understanding (unintelligible) we should not take each other's money.",Dr. Khalifa,,,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:31.777,00:00:33.777,"Well, (unintelligible)",Dr. Khalifa,,,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:34.000,00:00:40.665,"Again, some, sometimes people like to bribe other people for things that they want,",Dr. Khalifa,,00:00:34.000,The Illusion of Hiding From God
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:40.665,00:00:45.266,"and they, then, they're doing these type of things in the man's eyesight,",Dr. Khalifa,,,
MA 70  —  Messenger Audio,https://www.youtube.com/watch?v=aWeLCiqRb00,00:00:45.267,00:00:49.000,and not really being aware that Allah is seeing it all.,Dr. Khalifa,,,
