Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:00.000,00:00:04.126,Allahu Akbar. Allahu Akbar.,Dr. Khalifa,"Rashad Khalifa delivers a Friday sermon at the Masjid Tucson focusing on the absolute requirement of sinlessness for entering Paradise. Drawing from Dean Majul's previous lectures on Adam and Eve's expulsion from Eden for a single sin, Khalifa argues that believers must erase all sins before death. He outlines two methods for erasing sins: immediate repentance (tawbah) and paying for them through worldly trials, assigning a hypothetical ten-thousand-dollar price to adultery. He examines Suras 4:17-18 and 39:53, noting that Moses was forgiven for murder due to immediate repentance. Citing Suras 4:48 and 4:116, he identifies idol worship as the sole unforgivable offense, criticizing Christians for idolizing Jesus and Muslims for idolizing Muhammad. In his second sermon, Khalifa asserts that Arabic fluency is not required to understand the Quran, citing Sura 41:44 to argue that God reveals the message directly to sincere hearts. He condemns traditional reliance on Hadith, Sunnah, ijma, and qiyas, citing Suras 17:45-46, 6:112-113, 39:45, and 40:10-12 to support the doctrine of Quran alone. During the subsequent question-and-answer session, he rejects belief in the evil eye as idol worship, explains that death occurs only by divine decree, and addresses double rewards for converts. The recording ends with a study of Sura 2:196 and the rituals of Hajj and Umrah.",00:00:00.000,Call to Prayer and Opening
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:05.437,00:00:09.437,Ash-hadu Alla Elaha Ella Allah,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:09.794,00:00:13.484,Ash-hadu Alla Elaha Ella Allah,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:14.436,00:00:18.364,Hayya Alal Salat. Hayya Alal Salat,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:19.317,00:00:23.960,Hayya Alal Falah. Hayya Alal Falah,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:25.628,00:00:29.756,Allahu Akbar. Allahu Akbar.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:30.670,00:00:34.895,La Elaha Ella Allah,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:41.000,00:00:46.000,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:00:48.933,00:00:59.000,This first Khutba will link up with the Khutbas that Dean Majul has been giving us.,Dr. Khalifa,,00:00:48.933,Connection to Dean Majul's Sermons
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:00.542,00:01:06.542,"And before I start, I would like to draw your attention to something that we probably take for granted,",Dr. Khalifa,,00:01:00.542,A Mosque Dedicated to God Alone
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:06.542,00:01:13.542,"and that is, here is a mosque that advocates the worship of Allah alone.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:15.399,00:01:22.082,"I know that God sent Moses to preach La Elaha Ella Allah, as we know in Sura 21,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:22.082,00:01:24.676,and not to preach the glorification of Moses.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:25.496,00:01:31.000,"And God sent Jesus to preach the worship of God alone, La Elaha Ella Allah,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:31.000,00:01:33.361,and not to preach the glorification of Jesus.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:34.406,00:01:39.580,"And God sent Muhammad to preach the worship of God alone,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:39.579,00:01:43.721,and not to preach the glorification of Muhammad or anyone else.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:44.450,00:01:46.044,Just worshiping God alone.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:47.000,00:01:53.000,"In this mosque, we advocate the worship of God alone, and we follow the Quran to the letter.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:01:54.000,00:02:00.766,"We came to call this mosque the University of God, because it is the most important education,",Dr. Khalifa,,00:01:54.000,The University of God
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:00.766,00:02:06.992,and we have been very fortunate in seeing the truth of the Quran and sticking to every letter of it.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:08.586,00:02:13.774,"The University of God, the most important education,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:13.774,00:02:17.000,lacked official professorship.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:18.000,00:02:25.722,"So, you can see from God's vantage point, He said, well, these people are advocating the worship of Me alone, God alone,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:25.722,00:02:27.173,and they need a professor.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:28.000,00:02:29.406,"So, let's send them a professor.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:30.000,00:02:35.683,"So, God appoints a couple of angels to go and hunt for the best professor on earth.",Dr. Khalifa,,00:02:30.000,Finding a Dean for the Mosque
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:36.549,00:02:41.730,"And He gets us not only a professor, but a Dean of the Islamic Institute in the Philippines.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:44.901,00:02:47.864,"Now, he doesn't know why he is here in Tucson.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:48.676,00:02:49.728,(unintelligible),Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:53.728,00:02:58.450,"All he knows is, he sit down in Tucson, he got stuck to the Masjid Tucson.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:02:59.000,00:03:06.000,"And he's teaching us, bless his heart, and he's been teaching us about Adam and Eve and the sin of Adam and Eve.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:07.000,00:03:11.676,"And we've been enjoying his teachings, so we have an official,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:11.676,00:03:16.000,"not just any professor, the Dean himself,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:16.000,00:03:20.000,"of an official school, so we, we don't lack officialdom in here.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:22.270,00:03:27.270,"What Dean Majul has been teaching us, the last few Khutbas of his, were the sin of Adam and Eve.",Dr. Khalifa,,00:03:22.270,The Sin of Adam and Eve
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:27.270,00:03:29.128,What was the sin of Adam and Eve?,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:30.000,00:03:31.316,They ate from the tree.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:32.000,00:03:33.181,That's what they did.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:34.000,00:03:41.000,"And because they ate from the tree, they did not qualify to continue in Jannah, in Heaven, in Paradise,",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:41.000,00:03:42.000,the Kingdom of God.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:43.000,00:03:44.270,Because they ate from the tree.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:45.000,00:03:47.000,They committed one sin.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:49.000,00:03:52.225,What does this teach us? What do we learn from this important lesson?,Dr. Khalifa,,00:03:49.000,Entering Heaven Without a Single Sin
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:52.457,00:03:56.316,We learn that you cannot go to Jannah with one sin.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:03:57.000,00:04:01.000,"If you have one sin in your record, you do not qualify to go to Heaven.",Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:04:03.729,00:04:04.729,Sounds difficult.,Dr. Khalifa,,,
MA 71  —  Messenger Audio,https://www.youtube.com/watch?v=0dTCigrZI1o,00:04:05.007,00:04:08.729,"But for the people who worship Allah alone, it is not difficult at all.",Dr. Khalifa,,,
