Video Title,Link,Start Time,End Time,Text
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:20.000,00:00:22.000,The old habits come back sometimes.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:24.000,00:00:27.000,The days of ignorance and I've been watching.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:27.000,00:00:30.000,I'd love to kind of tie up all the way.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:30.000,00:00:35.000,"Any other names you mentioned in the case, Mārāsīs."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:35.000,00:00:40.000,"And all messengers of God want us to say that in your name, ""Lumākā."""
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:40.000,00:00:52.000,I'm going to spend this first foot by reading a talk that Imam Waṭṣti Muhammad gave.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:52.000,00:00:59.000,"The Mamaras De Muhammad is one of the rare people that I believe knows the truth, believes"
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:00:59.000,00:01:04.000,"in the truth and his heart, believes in Allah."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:04.000,00:01:10.000,"He is having a hell of a time with his people, trying to make the most of God alone."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:10.000,00:01:15.000,"And he is really a mojabi, he is really a struggle."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:15.000,00:01:22.000,"And if you read his writings or footballs, you can see the truth in there."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:22.000,00:01:26.000,"Sometimes our Matthew, when he has adventures with Aya,"
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:26.000,00:01:32.000,"he will come out with a come up against Hadi,"
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:32.000,00:01:38.000,and he will soon end the case of one for life.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:38.000,00:01:41.000,"This talk could be written by me,"
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:41.000,00:01:46.000,But I'm going to read it without comment.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:46.000,00:01:49.000,"In my while at the Mohammed, there's one person I am,"
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:49.000,00:01:52.000,and very happy to get to know.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:52.000,00:01:57.000,"I consider him a friend of mine, and I have a respect in my office."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:01:57.000,00:02:00.000,That's how I get.
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:02:00.000,00:02:05.000,"And in Shrallal, God will guide me."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:02:05.000,00:02:09.000,"If there's no way he would say,"
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:02:09.000,00:02:16.000,"And all the opposition against him, he's been almost victorious and he's guaranteed victory."
MA 96  —  Messenger Audio,https://www.youtube.com/watch?v=uUMONQuSZCw,00:02:16.000,00:02:23.000,"But as long as he abodes that in a way, as you know, once you see the truth, there's no going back."
