Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:04.110,00:01:08.126,"The biggest problem in the world today
is not war.",Dr. Rashad Khalifa,"In this program Dr. Rashad Khalifa argues that the world's biggest problem is neither war, disease nor poverty but that people do not know who they are, mistaking the body they see in a mirror for the self. He distinguishes body from soul, calls the body a garment worn for fifty or a hundred years, and observes that people feed the body three meals a day while giving the real person nothing, describing the soul as literally a piece of the breath God breathed into Adam and claiming it can grow to immense size when nourished. He says the nourishment is a specific method rather than vague spirituality or ordinary supplication: five daily contacts with God following what he compares to the numerical combination of a safe, with fasting as a further practice, and he offers newly obtained mathematically coded evidence as his authority. Citing the Barbara Hutton story and Eddie Murphy's interview with Barbara Walters as cases of wealth without happiness, he closes by inviting viewers to examine the physical evidence free of charge, giving an address on East 6th Street in Tucson and a telephone number.",00:01:04.110,The Biggest Problem in the World
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:08.126,00:01:15.270,"It is not disease, cancer, AIDS, and so on.
It is not children starving in Africa or",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:15.270,00:01:20.896,"in some other parts of the world. It is
not poverty, and it is not crime.",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:20.896,00:01:27.590,"The biggest problem in the world today is
that people do not know who they are.",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:27.590,00:01:34.444,"And consequently, they got their priorities
all mixed up. You ask the average person",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:34.444,00:01:39.290,"""who are you?"" and they will look in the
mirror and they will say ""this is me.""",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:39.290,00:01:47.441,"And they are wrong. When you look in the
mirror, you do not see your ""self"",",Dr. Rashad Khalifa,,00:01:39.290,The Body as a Garment
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:47.441,00:01:53.670,"you see your body. And your
body is simply a garment that you are",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:53.670,00:01:59.810,"wearing for fifty or a hundred years.
Then, you shed it.",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:01:59.899,00:02:05.390,"You know, it's a matter of common sense.
There is a difference between a living",Dr. Rashad Khalifa,,00:01:59.899,Living Body Versus Dead Body
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:05.390,00:02:12.050,"body and a dead body. The living body is
full of vitality and spark, and when it",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:12.050,00:02:20.060,"dies, the spark is gone and becomes stiff
just like a piece of wood. And we know",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:20.060,00:02:26.560,"that something is gone. The person is
gone. So, we can easily agree that",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:26.560,00:02:34.270,"a person consists of a body and a soul.
And the soul is the real person. And this",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:34.270,00:02:39.520,"is where the people fail to recognize
who they are. If they knew that the body",Dr. Rashad Khalifa,,,
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:39.520,00:02:45.069,"is not them, they will rearrange their
priorities, and they will pay",Dr. Rashad Khalifa,,00:02:39.520,Priorities Built Around the Body
01 What is Life All About,https://www.youtube.com/watch?v=tNqQJR5LyXo,00:02:45.069,00:02:52.030,"more attention to themselves, their selves, not
their bodies. A person goes to school",Dr. Rashad Khalifa,,,
