Video Title,Link,Start Time,End Time,Text,Speaker
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:01:19.251,00:01:37.953,Allahu Akbar. Allahu Akbar.,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:01:41.283,00:01:59.038,Allahu Akbar. Allahu Akbar.,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:02.383,00:02:15.014,La Elaha Ella Allah,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:18.921,00:02:36.898,La Elaha Ella Allah,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:39.760,00:02:47.308,"Alhamdu Lillah, we praise God. Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:47.308,00:02:52.049,"And we bear witness that there is
no god except the One God.",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:52.270,00:02:59.250,"It is very important for any person to
know who God is to really appreciate why",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:59.250,00:03:05.620,"millions of people fall into idol worship.
Why do they leave God and idolize",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:05.620,00:03:13.470,"Muhammad, or Jesus, or Mary, or Saint Francis, or Saint Jude, or some helpless creature?",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:13.470,00:03:18.480,"And the main reason is that the people
do not know who God is. They do not",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:18.480,00:03:25.170,"appreciate the greatness of God. So, my
purpose in this sermon is to share with",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:25.170,00:03:32.370,"you some idea about the greatness of God.
And to appreciate the greatness of God.",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:32.370,00:03:39.190,"We, we have to think of this universe
that we are living in.",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:39.190,00:03:45.220,"Our planet Earth is part of the solar
system, as you all know. And by the way,",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:45.220,00:03:51.100,"I'm gonna talk to you strictly about
scientific facts, established scientific",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:51.100,00:03:56.448,"facts.
This earth is part of the solar system.",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:56.448,00:04:02.510,"It is the only planet in the solar
system that has life. We went to the moon",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:02.510,00:04:08.240,"and we didn't see a single tree there, or
a mouse, nothing. We sent cameras to",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:08.240,00:04:14.210,"Mars and we didn't see a creature there,
unless those rocks are creatures, as we",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:14.210,00:04:19.056,"saw in one of the cartoons. There is no
life in the solar system except here",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:19.056,00:04:21.910,on the planet Earth.,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:22.140,00:04:31.200,"Our sun, the center of this solar system,
is 93 million miles away. Now, I want you",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:31.200,00:04:39.720,"to watch these distances, 93 million miles
away from us, the Sun. And the light comes",
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:04:39.720,00:04:44.940,"to us from the Sun in four minutes. So,
remember this relationship. The light",
