Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:01:19.251,00:01:37.953,Allahu Akbar. Allahu Akbar.,Dr. Rashad Khalifa,"In this sermon, Dr. Rashad Khalifa argues that idol worship of figures such as Muhammad, Jesus, Mary, or various saints stems from a failure to grasp the true greatness of God. He walks through a series of astronomical scales, the solar system, the Milky Way galaxy, the neighboring galaxy, and the broader universe, to illustrate how insignificant the Earth is by comparison. He then presents the Quran's claim, which he says is confirmed by its mathematical code, that this universe is the smallest of seven nested universes held in God's hand as described in Quran 39:67, and uses the precise orbital mechanics of the moon and sun as further evidence of God's power, concluding that no human being could share in such greatness.",00:01:19.251,Opening Takbir and Shahada
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:01:41.283,00:01:59.038,Allahu Akbar. Allahu Akbar.,Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:02.383,00:02:15.014,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:18.921,00:02:36.898,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:39.760,00:02:47.308,"Alhamdu Lillah, we praise God. Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:47.308,00:02:52.049,"And we bear witness that there is
no god except the One God.",Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:52.270,00:02:59.250,"It is very important for any person to
know who God is to really appreciate why",Dr. Rashad Khalifa,,00:02:52.270,Why People Fall Into Idol Worship
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:02:59.250,00:03:05.620,"millions of people fall into idol worship.
Why do they leave God and idolize",Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:05.620,00:03:13.470,"Muhammad, or Jesus, or Mary, or Saint Francis, or Saint Jude, or some helpless creature?",Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:13.470,00:03:18.480,"And the main reason is that the people
do not know who God is. They do not",Dr. Rashad Khalifa,,,
01b Who is GOD,https://www.youtube.com/watch?v=HngIrz8xHTw,00:03:18.480,00:03:25.170,"appreciate the greatness of God. So, my
purpose in this sermon is to share with",Dr. Rashad Khalifa,,,
