Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:08.619,00:01:15.260,"How this mathematical miracle of the
Quran was discovered? When I came to this",Dr. Rashad Khalifa,"Dr. Rashad Khalifa narrates how he came to the Quran's mathematical code and then walks through the findings one by one with a printed Quran in hand. He recounts arriving in the United States in 1968, disliking every English translation he read, and beginning his own for his children with a pledge not to pass a verse until he understood it, which stopped him at the initials A.L.M. of Sura 2; finding no scholar who could explain them, he entered the whole Quran into a computer and after four years of counting found 19 binding all fourteen sets of initials. The body of the program presents the counts in sequence: nineteen letters in the opening verse, 114 chapters, the first revelation positioned above the last nineteen chapters with nineteen words and 76 letters, the four words of the Bismillah occurring 19, 2698, 57 and 114 times, the missing Bismillah of Sura 9 restored by an extra one in Sura 27 exactly nineteen chapters later whose numbers total 342, matching the count of words between them, 6346 verses in all, and 5263 verses between the first and last initials. He continues through the words for Quran, for God being one, and for the five pillars, then the individual initial groups, Q in Suras 50 and 42, N in Sura 68, Saad across three chapters, Ya Seen in Sura 36, the seven H.M. chapters totalling 2147, and the A.L.M. and A.L.R. groups. The program closes with his answer to why the number is 19: that it is the numerical value of the Arabic word for one, in the system where alphabet letters served as numerals before Arabic numbers existed.",00:01:08.619,How the Discovery Began
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:15.260,00:01:21.750,"country, the United States, in 1968, I read
the English translations of the Quran",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:21.750,00:01:27.731,"and I didn't like any of them. I read
them all, Yusuf Ali, Muhammad Ali,",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:27.731,00:01:33.429,"Pickthall, Arberry, N. J. Dawood, and so
on. All of them, even as far back as",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:33.429,00:01:40.280,"George Sale's translation. Some of them
actually distorted the basic doctrines",Dr. Rashad Khalifa,,00:01:33.429,Translating for His Own Children
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:40.280,00:01:47.980,"of the Quran and that was serious enough
to encourage me to translate the Quran",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:47.980,00:01:55.190,"myself, for my own children. I did it just
for local consumption. However, because",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:55.190,00:01:58.864,"I'm a chemist and not a professional
religionist,",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:01:58.864,00:02:06.566,"I decided not to move from one verse to
the next unless I knew exactly what",Dr. Rashad Khalifa,,,
03 Mathematical Miracle of Quran,https://www.youtube.com/watch?v=NWUt_bESl0c,00:02:06.566,00:02:12.290,"every word and every verse meant. I made
a pledge to God that I will not move",Dr. Rashad Khalifa,,,
