Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:00.000,00:00:07.842,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,Reciter,"A compilation of two 1988 sermons on Dr. Rashad Khalifa's claim to messengership, each opening with a recitation of Sura 36. The first announces the commission he says he had known of since 1980 and avoided declaring for eight years, and argues from Sura 18, Sura 39:65, Sura 21:28 and Sura 49:13 that a messenger holds no rank, is not guaranteed Heaven and takes no money, then from Sura 33:40, Sura 3:81 and Sura 7:35 that messengers can follow Muhammad; the signs he offers include the mathematical code, the root rashada appearing nineteen times in a Quran index printed the year before his birth, the verse numbers containing the word Allah totalling 118123, and the names Abraham, Muhammad and Rashad totalling 855. The second sermon gives his detailed account of the night in April when he repeatedly opened the Quran at random, across several copies and by pointing a letter opener into a stack, and each time read that he was fired and doomed for cowardice, until he wept, prostrated and resolved to announce regardless of cost, after which the same procedure began returning messages of forgiveness. It closes with corrections he proposes to zakat under Sura 6:141, to fasting and to hajj, and with the argument from the mention of Joseph in Sura 40 that people have wrongly declared each messenger to be the last. Related recordings: these two sermons also appear separately in this collection as ""34 - Friday Sermon Proclaiming Messengership, Abraham's Religion (04-15-1988)"" and ""35 - Friday Sermon Rashad Explains His Messengership Details (05-16-1988)."" Note also that the segment on zakat, fasting and hajj is repeated a second time in the closing minutes of this recording.",00:00:00.000,Recitation of Sura 36
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:08.625,00:00:15.000,بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:15.893,00:00:25.922,(36:2) يسٓ (36:1) وَٱلْقُرْءَانِ ٱلْحَكِيمِ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:26.403,00:00:33.626,(36:4) إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ (36:3) عَلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:35.688,00:00:41.799,(36:5) تَنزِيلَ ٱلْعَزِيزِ ٱلرَّحِيمِ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:42.211,00:00:51.840,(36:6) لِتُنذِرَ قَوْمًا مَّآ أُنذِرَ ءَابَآؤُهُمْ فَهُمْ غَـٰفِلُونَ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:00:52.940,00:01:02.637,(36:7) لَقَدْ حَقَّ ٱلْقَوْلُ عَلَىٰٓ أَكْثَرِهِمْ فَهُمْ لَا يُؤْمِنُونَ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:01:04.974,00:01:18.532,(36:8) إِنَّا جَعَلْنَا فِىٓ أَعْنَـٰقِهِمْ أَغْلَـٰلًا فَهِىَ إِلَى ٱلْأَذْقَانِ فَهُم مُّقْمَحُونَ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:01:21.006,00:01:37.313,وَجَعَلْنَا مِنۢ بَيْنِ أَيْدِيهِمْ سَدًّا وَمِنْ خَلْفِهِمْ سَدًّا فَأَغْشَيْنَـٰهُمْ فَهُمْ لَا يُبْصِرُونَ (36:9),Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:01:39.993,00:01:52.096,(36:10) وَسَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:01:54.308,00:02:10.678,إِنَّمَا تُنذِرُ مَنِ ٱتَّبَعَ ٱلذِّكْرَ وَخَشِىَ ٱلرَّحْمَـٰنَ بِٱلْغَيْبِ ۖ فَبَشِّرْهُ  بِمَغْفِرَةٍ وَأَجْرٍ كَرِيمٍ (36:11),Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:02:13.358,00:02:32.402,"إِنَّا نَحْنُ نُحْىِ ٱلْمَوْتَىٰ وَنَكْتُبُ مَا قَدَّمُوا۟ وَءَاثَـٰرَهُمْ ۚ وَكُلَّ شَىْءٍ 
(36:12) أَحْصَيْنَـٰهُ فِىٓ إِمَامٍۢ مُّبِينٍۢ",Reciter,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:02:33.400,00:02:40.460,"We praise God, and we bear witness that there is no god except the one God.",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:02:40.460,00:02:46.840,And we declare that all devotion and all worship is directed to God alone.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:02:46.840,00:02:56.760,"SURA 39
أَلَا لِلَّهِ ٱلدِّينُ ٱلْخَالِصُ
devotion and worship belong to God alone.",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:02:56.760,00:03:14.120,Some of you probably saw this bombshell where there is announcement,Dr. Rashad Khalifa,,00:02:56.760,Announcing the Messengership
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:03:14.120,00:03:20.100,that I have been commissioned a messenger of God.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:03:20.100,00:03:30.080,And this is probably the most difficult announcement that I have ever come up with.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:03:30.080,00:03:43.460,"But something that I have known since 1980. And you can see that I was, I was coward.",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:03:43.500,00:03:50.160,I was afraid to come up with it. I dreaded the time when I may have to announce it.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:03:50.160,00:04:00.544,"Because there is a general tendency to resent anybody saying - I am going to use a wrong statement now,",Dr. Rashad Khalifa,,00:03:50.160,Why People Resent Such a Claim
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:00.544,00:04:08.720,"but this is what the resentment is for. Generally, people resent somebody saying ""I'm better than you""",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:08.720,00:04:14.588,"or what appears to be saying ""I am better than you.""",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:14.588,00:04:29.460,"And even the Quran condemns such a statement, in SURA 4, God says ""note those who exalt themselves.",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:29.460,00:04:36.540,"God is the one who exalts whomever He wills without the least injustice.""",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:36.540,00:04:48.100,The resentment in this case results from two things: ignorance and idol-worship.,Dr. Rashad Khalifa,,00:04:36.540,Moses as a Poor Student
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:48.100,00:04:55.940,"Ignorance, because the Quran teaches us that a messenger of God",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:04:55.940,00:05:01.960,is not necessarily better than anyone else in the congregation.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:01.960,00:05:12.060,"In SURA 18, from verses 60 to verse 82, we see that God picked out one of the biggest messengers,",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:12.060,00:05:22.080,"Moses, one that God said ""I made you for myself.""
 (20:41) وَٱصْطَنَعْتُكَ لِنَفْسِى
""I made you for Me.""",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:22.160,00:05:30.040,"And in other place, God said
(20:39) لِتُصْنَعَ عَلَىٰ عَيْنِىٓ
""I had you made before My eyes.""",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:30.040,00:05:39.680,"And we see in those verses that God sent Moses to ""one of our servants, whom we bestowed,",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:39.680,00:05:41.300,"we gave mercy and knowledge.""",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:41.300,00:05:45.080,And Moses proved to be a lousy student.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:45.080,00:05:51.580,"So, this teaches us that a messenger of God is not necessarily better than",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:51.580,00:05:56.800,anyone else in the congregation.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:05:56.800,00:06:04.080,I can think of quite a few of you whom I consider better than me.,Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:06:04.080,00:06:11.900,"I see people, when I was their age, I used to go to the Saints and ask for help.",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:06:11.900,00:06:15.660,"I was an idol worshiper, when I was that age.",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:06:15.660,00:06:23.600,"Yet here they are, a lot younger. They have 20-year head start, compared to me. And so",Dr. Rashad Khalifa,,,
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:06:23.600,00:06:27.908,This is the first thing. Ignorance causes this resentment.,Dr. Rashad Khalifa,,00:06:23.600,Idolizing the Messenger
"07. Old Message, New Messenger",https://www.youtube.com/watch?v=f7doI2Z4o4M,00:06:27.908,00:06:36.436,Idol worship because the people idolize the messenger of God and they made him next to God.,Dr. Rashad Khalifa,,,
