Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:10.340,00:01:16.237,"In the name of God, the Gracious, the
Merciful. More and more people are",Dr. Rashad Khalifa,"This lecture by Dr. Rashad Khalifa argues that apparent contradictions in the Bible, such as the differing genealogies of Jesus in Matthew and Luke, or the deification of Jesus, are the result of human interference rather than defects in the original divine text. He contends that roughly ninety percent of the Bible remains divine truth, and that a mathematically composed ""final segment of God's message"" (the Quran, understood through his claimed numerical proof) was sent to expose false doctrines, confirm the Bible's genuine truths, resolve controversies such as the crucifixion, and validate earlier miracles. He argues Jesus' soul departed before his body was crucified, illustrating the point with a comparison to Bill Schroeder, an artificial heart recipient. The video closes with Khalifa inviting viewers to contact him with questions.",00:01:10.340,Bible Contradictions Disillusion Believers
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:16.237,00:01:19.820,increasingly disillusioned with the Bible.,Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:19.820,00:01:25.200,"They grow up learning that the Bible is
the Word of God.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:25.200,00:01:32.210,"But when they study the Bible carefully,
they discover that it contains too many",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:32.210,00:01:38.580,"unacceptable contradictions,
too much unacceptable nonsense.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:38.580,00:01:43.940,"And this shocks them and causes the
disillusionment.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:43.940,00:01:48.031,"A very good example is in the market
today, in the bookstores.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:48.031,00:01:56.760,"We find a book by Carl Sagan called ""Contact"", and on page 30 of this book, we find a very",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:56.760,00:02:02.820,"good example of the contradictions, the
unacceptable contradictions in the Bible.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:02.820,00:02:09.360,"We see here that in the Gospel of
Matthew, there are 28",Dr. Rashad Khalifa,,00:02:02.820,Genealogy Discrepancy Between Matthew and Luke
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:09.360,00:02:17.340,"generations between David and Jesus.
But in the Gospel of Luke, we see that the",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:17.340,00:02:23.560,"number of generations from David to Jesus is 43.
Now, how could this be the",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:23.560,00:02:30.496,"word of God? Does God know how many
generations are between David and Jesus?",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:30.496,00:02:36.260,"The names in Matthew and in Luke are not
even similar.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:36.260,00:02:42.606,"And this destroys the credibility of the
Bible as the Word of God.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:42.606,00:02:49.686,"How can we explain these contradictions?
This program will prove to you that the Bible",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:49.686,00:02:55.400,"is in fact the Word of God.
But these indefensible contradictions",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:55.400,00:03:01.940,"are there because they were injected by human beings. Any contradiction, any",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:01.940,00:03:08.960,"nonsense you see in the Bible, is a
result of human interference, distortions",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:08.960,00:03:16.803,"and injections by wicked people, or good
intentioned people. So, I will prove to",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:16.803,00:03:22.209,"you that the vast majority of the Bible
is Divine truth.",Dr. Rashad Khalifa,,,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:51.380,00:03:56.754,"The biggest contradiction of all is the
deification of Jesus Christ,",Dr. Rashad Khalifa,,00:03:51.380,Deification of Jesus as Contradiction
