Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:04.530,00:01:10.780,"Every one of you is aware of the
spirited debate that has been raging for",Dr. Rashad Khalifa,"Dr. Rashad Khalifa, a biochemist, examines the evolution-creation debate as it reached the Supreme Court in 1987, arguing that mathematics can settle which events are probable. He summarizes Darwin's proposal and the modifications science has since imposed on it, punctuated equilibrium replacing gradual evolution and the abandonment of Lamarck, and offers the navel orange as an instance of real evolution within a kind. He then develops a probability argument from five cubes yielding 120 permutations up to 84 cubes, where the chance of one specific arrangement is effectively zero, and applies it to the 30 billion nucleotides of the human genome, the complexity of the so-called simple cell, and the eye, asking what told the dragonfly to stop at 30,000 lenses. Turning to creation, he argues that a mathematically coded message would constitute proof, quotes Duane Gish conceding that creation cannot be tested, cites Rabbi Judah the Pious on nineteen occurrences in the morning prayer, and describes putting the Quran into a computer and finding 19 across the initialed chapters and the four words of the opening statement, noting the finding's mention in Scientific American in September 1981. He concludes that the document confirms life beginning in water and presents evolution as a divinely guided process still underway, so that science and religion need not conflict, while correcting popular creationist claims about the age of the Earth, Noah's ark and the extent of the flood, which he blames for Darwin's own loss of faith.",00:01:04.530,The Evolution-Creation Debate
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:10.780,00:01:18.310,"decades between evolutionists and
creationists. This hot debate began in",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:18.310,00:01:26.050,"the mid 19th century, about 125 years ago
when Charles Darwin developed his theory",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:26.050,00:01:33.096,"of gradual evolution.
Basically, what Charles Darwin said was",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:33.096,00:01:40.424,"that life began spontaneously from
inanimate inorganic matter.",Dr. Rashad Khalifa,,00:01:33.096,What Darwin Proposed
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:40.424,00:01:48.276,"This beginning of life was supposedly in
water and a single simple cell first",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:48.276,00:01:57.927,"formed, then this cell split and
multiplied and evolved into new forms of life.",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:01:57.927,00:02:02.380,"With the passage of millions upon millions of years,",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:02:02.380,00:02:06.260,fish came into existence in this water.,Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:02:06.260,00:02:11.176,"And with additional millions upon
millions of years, some of the fish",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:02:11.176,00:02:19.340,"started to walk on land, and started to develop lungs instead of gills.",Dr. Rashad Khalifa,,,
"10 Evolution or Creation, The Final Argument by Dr Rashad Khalifa",https://www.youtube.com/watch?v=6vwJfbVseP0,00:02:19.340,00:02:23.134,"Eventually, again additional millions and",Dr. Rashad Khalifa,,,
