Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:01:32.067,00:01:40.822,"In the name of God, the Most Gracious, Most Merciful.
This is the second in a series of programs.",Dr. Rashad Khalifa,"The second in a series of programs, in which Dr. Rashad Khalifa addresses why a world governed by a loving God contains famine, disease and war. He first establishes scale, working from the 93 million miles between Earth and the Sun through the Milky Way, a universe of a billion galaxies spanning 26 billion light years, and the seven nested universes he says the Quran describes as held in God's hand. He then narrates the origin of the arrangement: angels created with immense powers, one of them, Satan, concluding privately that he could be a god in his own right; God choosing to expose him rather than destroy him by creating Adam from mud and commanding the angels to prostrate; and then granting Satan the planet Earth as a dominion, with those humans who accept his view that God alone is not enough serving as his constituents. On this account the misery in the world is the visible result of Satan's incompetence, while those who side with God's view belong to a kingdom he describes as free of illness, financial trouble and even headaches. He sets out how to switch, citing Sura 29:2 on being tested and the trial of Job, distinguishes four kinds of disaster, admission tests, educational disasters, blessings in disguise and retributive disaster, and closes on repentance turning past sins into credits, the suffering of children, and idolatry as the one sin unforgivable at death.",00:01:32.067,Recap: Physical Evidence
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:01:40.822,00:01:44.970,"And in the last program, I presented to you physical",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:01:44.970,00:01:50.280,"evidence that the scripture is God's
message to the world, the physical",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:01:50.280,00:01:57.300,"evidence was in the form of a
mathematical code that pervades the",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:01:57.300,00:02:01.319,whole scripture and I am talking about the Bible,Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:01.319,00:02:08.509,"the Old Testament, the New Testament, and Quran. This mathematical system",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:08.509,00:02:15.870,"teaches us that every letter, every word
is mathematically composed in the",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:15.870,00:02:23.550,"scripture beyond human ability, far
beyond human ability, and this",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:23.550,00:02:30.600,"gives us... gives you confidence that every
statement you are going to hear is a",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:30.600,00:02:37.680,"proven scientific fact. Every letter,
every word in the scripture was written",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:37.680,00:02:44.580,"by God, and now we have this physical
proof, the mathematical code that was",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:44.580,00:02:52.470,"discovered by computers recently, to let
us know that every statement is a proven",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:02:52.470,00:03:00.150,"fact. We now have full confidence in
every statement. That program was very",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:03:00.150,00:03:03.716,important and I hope you watched it because,Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:03:03.716,00:03:09.719,"it will let you know that every statement
you heard and every statement you will",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:03:09.719,00:03:16.065,"hear in this series of programs is a
proven scientific fact.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:03:16.065,00:03:23.129,"It is very important to have this confidence
because many items that we will share",Dr. Rashad Khalifa,,00:03:16.065,The Question of God's Love
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:03:23.129,00:03:30.599,"with you deal with matter that has been
confusing in the past. Now, it has become",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:03:30.600,00:03:35.347,very clear and proven by physical evidence.,Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:17.751,00:04:23.900,"We are going to deal with the matter of
God's love.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:23.900,00:04:30.120,"You heard me open this program by saying ""in the name of God, the Most Gracious, the",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:30.139,00:04:35.380,"Most Merciful.
And we read in the scripture the proven",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:35.380,00:04:42.610,"word of God, that God is love,
that God is peace, that He is the Most",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:42.610,00:04:49.706,"Compassionate, the Most Merciful.
Yet, when we look around us in this world,",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:49.706,00:04:56.273,"we see a lot of misery, a lot of war,
oppression. The vast majority of people",Dr. Rashad Khalifa,,00:04:49.706,Why So Much Misery?
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:04:56.273,00:05:02.850,"in the world are suffering from poverty,
diseases, starvation,",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:05:02.850,00:05:11.384,"cancer, and the question, the inevitable question that arises is why?",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:05:11.384,00:05:19.180,"If God is Loving, Compassionate and Merciful
as we read in the scripture, if God is in",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:05:19.180,00:05:28.920,"full control, why do we see all these
problems, the earthquakes, the miseries? Why?",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:05:28.920,00:05:35.540,"So, as you see, we are dealing with
some very heavy material.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:05:54.810,00:06:01.776,"In this episode, I want to illustrate for
you the answer to the question ""who is",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:01.776,00:06:07.740,"God?"" And remember now that every
statement is supported by physical evidence.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:07.740,00:06:17.750,"Let us start with the solar system.
If this is the Sun, the planets",Dr. Rashad Khalifa,,00:06:07.740,The Solar System
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:17.750,00:06:25.960,"are orbiting the Sun in the solar system,",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:32.740,00:06:39.380,"and so on. Now, in this position, our
planet Earth",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:39.380,00:06:53.420,"is orbiting the Sun and the distance
from the Sun to our planet is 93 million miles,",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:53.420,00:06:58.800,"93 million miles. The light travels
from the Sun to the planet Earth in four",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:06:58.800,00:07:04.759,"minutes. That's the speed of light.
Now, the whole",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:07:04.759,00:07:23.293,"solar system has distances within the
solar system of four billion miles.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:07:23.293,00:07:31.789,Four billion miles within our solar system. You can imagine the planet Earth when,Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:07:31.789,00:07:38.240,"you are four billion miles away. It will
look real tiny. Now, let us consider the",Dr. Rashad Khalifa,,00:07:31.789,The Milky Way Galaxy
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:07:38.240,00:07:45.370,"solar system within our galaxy, the Milky
Way galaxy. So, I'm going to erase this.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:07:54.639,00:08:04.876,"Okay, this is the solar system and the
planet Earth is in there somewhere.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:04.876,00:08:13.689,"So, the planet Earth can be represented by a dot. Now, the Milky Way galaxy has",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:13.689,00:08:25.610,"millions of stars, and remembering that
the light travels from the Sun to the",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:25.610,00:08:32.479,"earth in four minutes, 93 million miles,
imagine this from here to the edge of",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:32.479,00:08:39.319,"the Milky Way galaxy, the light will take
not four minutes, not a year, not a",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:39.319,00:08:47.899,"thousand years, it will take 30,000 years
at the speed of light to go to the edge.",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:47.899,00:08:56.329,"So, here's the planet Earth and if we go
to the edge of our Milky Way galaxy,",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:08:56.329,00:09:08.470,"it will take us thirty thousand years, excuse me,
at the speed of life to get",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:09:08.470,00:09:15.350,"to the edge of the Milky Way galaxy. Can you imagine? Now, if you are at the",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:09:15.350,00:09:21.829,"border of the Milky Way galaxy, how big
is the planet Earth?",Dr. Rashad Khalifa,,,
11 King of Chaos,https://www.youtube.com/watch?v=cAvmtN9gUU4,00:09:21.829,00:09:30.604,"Rather how tiny is it? It will be
submicroscopic, real tiny, relatively.",Dr. Rashad Khalifa,,,
