Video Title,Link,Start Time,End Time,Text,Speaker
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:08.295,00:00:15.955,Sheikh Al-Banna had a particular slot on Cairo radio where he read the Quran.,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:15.955,00:00:22.200,"All the others were changed. The times, the dates changed but not sheikh Al-Banna. He always recited",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:22.200,00:00:29.760,"Quran at six o'clock in the morning 
every Tuesday on Cairo radio for as long as I",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:29.760,00:00:36.900,"lived in Egypt and after that. So, here I have a 
time, six o'clock in the morning, and the day",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:36.900,00:00:48.830,"Tuesday. OK. So, I went to Mecca for, 
for the pilgrimage. My parents were with me and we",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:48.830,00:00:56.260,"prayed the morning, the Fajr at the 
Kaaba and then we came back to our room.",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:00:56.260,00:01:04.270,and I was preparing... that was Tuesday... I was preparing to hear my favorite reciter on Cairo radio.,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:04.270,00:01:10.600,"So, I got my little radio and I sat in bed. My 
father, my mother sat in the same room in",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:10.600,00:01:21.714,"their beds and I turned the radio to Cairo and sure enough, here 
comes sheikh Al-Banna and I can tell you",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:21.714,00:01:28.000,"the reason I know I was fully awake is I never never never 
never fall asleep when sheikh Al-Banna is reading",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:28.000,00:01:38.080,"Quran. And when I... when I went for Hajj from here, 
I took with me a hundred cassette tapes and I gave them to my",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:38.080,00:01:44.230,"brother Atef and I told him, specifically, I want you 
to record anything that Al-Banna comes",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:44.230,00:01:49.720,"whenever it comes on the radio or the TV or anything, record it. This hundred tapes. I want them full",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:49.720,00:01:58.480,"of recitations of sheikh Al-Banna. OK. So, in Mecca now... back to Mecca, Tuesday, I'm sitting in my bed",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:01:58.480,00:02:05.132,turning the radio to Cairo radio. There comes sheikh Al-Banna and he recites SURAT Al-Rahman,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:05.132,00:02:06.250,بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:06.250,00:02:07.072,(55:1) ٱلرَّحْمَـٰنُ,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:07.072,00:02:07.894,(55:2) عَلَّمَ ٱلْقُرْءَانَ,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:07.894,00:02:09.894,(55:3) خَلَقَ ٱلْإِنسَـٰنَ,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:09.894,00:02:11.656,and I am in ecstasy.,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:13.300,00:02:23.010,"and then, I didn't hear Al-Banna anymore. I 
was taken to some place in the universe",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:23.010,00:02:33.420,"and I... and I know I was fully awake but here 
I am somewhere and I saw these... at the time",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:33.420,00:02:39.330,"nothing was explained to me. ""It is none 
of your business now but you are here",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:39.330,00:02:47.820,"for some reason."" And I was... I saw... all I was told was 
that these are all the Prophets: Jesus, Moses",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:47.820,00:02:56.100,"Muhammad, David, Solomon, Jonah, Lot, Noah, all 
of them. I was told this is all of them and they",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:02:56.100,00:03:06.300,"appeared like those oval pictures that many 
of us have, except these are alive people that people...",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:06.300,00:03:11.730,"God showed them to me the way they looked
in this world because I probably would have freaked out",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:11.730,00:03:17.940,"if God showed them to me in any other way and 
they have their different dresses, different",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:17.940,00:03:27.300,"turbans and different robes but the person 
was ovally was down from, like, the head to",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:27.300,00:03:35.670,"the knees. And one by one... they came in one by one 
and they looked straight in my face and they shake their",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:35.670,00:03:40.740,"heads approvingly. Something like this, approvingly. And then the person would go like that.",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:40.740,00:03:47.299,And another one will come this way and so on. They kept going like this and I didn't know which is which.,
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:49.530,00:03:57.150,"Only Abraham was identified to me. When Abraham came, I was told ""this is Abraham.""",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:03:57.150,00:04:05.240,"And he's the only one identified to me and I didn't know what this was all about. Then, this ended. And when I",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:05.240,00:04:12.879,"came back, I looked at my father and I said ""guess 
what! I just... I just met all the prophets and Abraham",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:12.879,00:04:19.370,"was identified to me and he looks like us.""
Because it struck me, the resemblance, I remember what",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:19.370,00:04:27.390,"they look like. Well, I can't tell which is which. So, I told him ""Abraham looks like",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:27.390,00:04:33.360,"us, the Khalifas, you know what I mean. Look at me. Look 
at my brother. Look at my sister. There's a particular look and",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:33.360,00:04:39.600,"Abraham looked like that."" So, but the first thing that 
my father said was ""what did Muhammad look like?""",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:42.742,00:04:52.034,"I said ""sorry dad. I don't know which one was he but when 
I see him I recognize him again and we'll tell him what the name is .""",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:04:53.408,00:05:03.210,"OK. So, I just... I enjoyed it very much and I 
told my... my parents and I told my friends. I think",
34 United Submitters International Conference Explaining the Fullfillment of the Covenant 1988,https://www.youtube.com/watch?v=NaMA9rybg5Y,00:05:03.210,00:05:09.330,"I mentioned it, maybe, to Soad in passing. It was 
not important to me. It was just... cause like I said it",
