Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:15.194,00:00:16.246,Roll call.,City Council Member,"A short clip from a Tucson city council meeting at which Dr. Rashad Khalifa, introduced as imam of the Islamic mosque of Tucson, delivers the evening's invocation. After the roll call and the clerk's announcement, he recites Sura 1, Al-Fatehah, in English translation, rendering it as praise to God, Lord of the universe, Master of the Day of Recompense, and a request to be guided in the right path. The recording runs just over a minute and closes with ""Amen.""",00:00:15.194,Roll Call
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:16.246,00:00:20.277,Mr. Miller. Here. Mr. Behram. Here. Ms. Heckman. Here. Mr. Ford.,Clerk,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:20.277,00:00:23.404,Mr. Ford is excused. Mr. Wallace. Here. Mr. Davis. Here.,Mr. Davis,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:24.000,00:00:27.018,Hear item 2. Invocation pledge of allegiance.,Clerk,,00:00:24.000,The Invocation Announced
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:27.018,00:00:33.557,The invocation of this evening will be given by Imam Rashad Khalifa of the Islamic mosque of Tucson.,City Council Member,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:33.557,00:00:37.020,Will you please remain standing for the pledge of allegiance to the flag?,City Council Member,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:42.306,00:00:45.533,"In the name of God, the Most Gracious, the Most Merciful.",Dr. Rashad Khalifa,,00:00:42.306,Al-Fatehah in English
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:46.289,00:00:48.902,"Praise be to God, Lord of the universe.",Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:49.318,00:00:51.318,"The Most Gracious, the Most Merciful.",Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:51.892,00:00:54.055,Master of the Day of Recompense.,Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:54.920,00:00:58.751,Only You we worship. Only You we ask for help.,Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:59.483,00:01:01.857,Guide us in the right path.,Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:02.190,00:01:05.377,The path of those who deserve Your blessings.,Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:05.377,00:01:08.683,Not of those who incurred Your displeasure,Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:08.683,00:01:11.092,Nor of those who go astray.,Dr. Rashad Khalifa,,,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:11.092,00:01:12.224,Amen.,Dr. Rashad Khalifa,,00:01:11.092,Closing
