Video Title,Link,Start Time,End Time,Text,Speaker
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:00:30.300,00:00:37.380,"Ladies and gentlemen. My name is Rashad Khalifa 
and what I'm about to share with you is the",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:00:37.380,00:00:43.320,"most important news in the history of the 
world. Because this is the most important",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:00:43.320,00:00:51.330,"news, it comes with something unique, something 
never witnessed before, a built-in irrefutable",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:00:51.330,00:00:58.860,"proof of authenticity. The world's leaders 
are invited as well as each and every one",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:00:58.860,00:01:07.800,"of you invited to examine the evidence, then take 
action in accordance with this news. Here are the",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:01:07.800,00:01:17.610,"headlines: this year, 1986, is the last year to 
experience the world as we know it today. A new",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:01:17.610,00:01:27.540,"worldwide era or worldwide system will begin 
sometime between September, 6, 1986 and August",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:01:27.540,00:01:42.270,"25th, 1987. We are recording this bulletin on May 15th, 
1986. The new era will last 303 lunar years which",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:01:42.270,00:01:50.510,"is equivalent to 294 regular 
years after which the world will come to an end.",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:01:50.510,00:01:59.609,"In other words, after 300 years of a new 
era, the word will end in the year 2280.",
48 World News Bulletin,https://www.youtube.com/watch?v=olqh4qUiLMU,00:02:28.793,00:02:34.170,"Up until now, the world has served 
as the testing ground for Satan's",
