Video Title,Link,Start Time,End Time,Text,Speaker
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:30.000,00:02:35.700,"BISM ALLAH ARRAHMAN ARRAHIM
My dear lucky viewers, Al-Salaamu ‘Alaykum",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:35.700,00:02:42.239,"This tape will present to you how to observe
the Contact Prayer, the Salat.",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:42.239,00:02:49.379,"And you are very lucky because you are trying
to learn how to make contact with your creator,",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:49.379,00:02:51.680,which is the greatest of all worships.,Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:52.403,00:02:56.980,"In this tape, I will explain to you the meaning
of the word Salat.",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:56.980,00:02:59.711,You already heard me call it contact.,Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:02:59.711,00:03:05.060,"The word Salat (‏صلاة) is an Arabic
word derived from the root Silah (صلة),",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:03:05.060,00:03:11.499,"which means connection or contact. So, when
you observe the Salat prayers, you make contact",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:03:11.499,00:03:12.680,with your creator.,Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:03:12.680,00:03:16.620,It is wrong to translate it as pray.,Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:03:16.620,00:03:23.018,"As a Muslim, when you tell somebody “I pray
five times a day”, that is the wrong expression,",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:03:23.018,00:03:26.730,"because other people can tell you “I pray
all day.”",Dr. Rashad Khalifa
05 Principles of Contact Prayers Salat,https://www.youtube.com/watch?v=tbxOH3KNOvA,00:03:26.730,00:03:34.269,"The correct expression for the Muslim is “I
make contact with my creator five times a",Dr. Rashad Khalifa
