Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:01:37.170,00:01:43.050,"BISMI ALLAH AL-RAHMAN AL-RAHIM. In the name
of God, Most Gracious, Most Merciful.",Dr. Rashad Khalifa,"Dr. Rashad Khalifa explains the procedure for the Friday congregational prayer, citing Sura 62:9 as an obligation on both men and women, and walks through each required element: an Azan mentioning God's name alone, two sermons that each open with ""Alhamdu Lillah, La Elaha Ella Allah,"" a pause for repentance after the first, the closing call ""Aqem Al-Salah,"" and a two-unit prayer in place of the usual four. The second half of the tape presents sample sermons, the first on seeking God's kingship, which opens from Luke 12:29-31 and covers religious priorities, the order of Zakat recipients, Hajj, and God as Al-Razaq the provider who gifts the prayers themselves to the believer. A further sermon treats marriage in Islam, which he says requires love built on real acquaintance and a dowry serving as the wife's security, then extends into self-discipline, the soul's strength over the body, polygamy in light of Muhammad's long monogamous marriage, and the argument that God hates divorce and protects the rights of women. Related recordings: the two sample sermons in the second half of this tape also appear separately as ""32 - Friday Sermon Seek GOD's Kingship Over You and Everything Else Follows (03-25-1988)"" and ""33 - Friday Sermon Marriage Importance of Love, Muhammad's Example (04-08-1988)""; the companion tape on the five daily prayers referred to here is ""17 - Principles of Contact Prayers Salat.""",00:01:37.170,Friday Prayer as Obligatory Duty
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:01:43.050,00:01:49.240,"Brothers and sisters AL-Salãmu ‘Alaykum.
The Friday congregational prayer is an",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:01:49.240,00:01:55.270,"obligatory duty upon every Muslim man
and woman. This is a social function",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:01:55.270,00:02:01.090,"decreed by God Almighty for the Muslims
to get together and to know each other",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:01.090,00:02:07.479,"and to be familiar with their problems
and their joys. And we find in SURA",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:07.479,00:02:14.410,"number 62 verse number 9, the commandment
from God says ""o you who believe when the",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:14.410,00:02:20.230,"contact prayers, the SALAT for Friday, is
announced, you shall go to the mosque and",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:20.230,00:02:26.130,"observe the SALAT prayer,
and drop all business. This is better for",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:26.130,00:02:31.440,"you if you only knew."" So, if anyone is
afraid that he or she may lose some",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:31.440,00:02:35.790,"business during the Friday prayer, God is
saying ""this should be better for you""",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:35.790,00:02:39.270,"God will make it up to you.
God runs the world and He is the only",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:39.270,00:02:44.760,"provider and He guarantees you doing
better if you go to the Friday prayer.",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:44.760,00:02:48.930,"And notice that the commandment said ""o
you who believe.""",Dr. Rashad Khalifa,,00:02:44.760,Women's Attendance and Education
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:48.930,00:02:54.030,"It didn't say ""o you believing men or o you believing women."" It says ""o you who",Dr. Rashad Khalifa,,,
06 Principles of Friday Prayer,https://www.youtube.com/watch?v=K7suTQM7fno,00:02:54.030,00:02:59.970,"believe when the contact prayer on
Friday is called for, you shall go and",Dr. Rashad Khalifa,,,
