Video Title,Link,Start Time,End Time,Text,Speaker
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:01:50.075,00:01:52.075,BISM ALLAH AL-RAHMAN AL-RAHIM,Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:01:52.075,00:01:57.070,"Brothers 
and sisters AL-SALAM ALAYKOM. This is the lessons",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:01:57.070,00:02:04.090,"in Arabic language program and it is designed 
for beginners who know nothing about the Arabic",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:02:04.090,00:02:10.180,"language. I will try to cover as much ground 
as possible. I want you to know how to read",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:02:10.180,00:02:16.150,"and write, by the end of this program. So, let 
us get to work and I'm going to start with",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:02:16.150,00:02:24.160,"the alphabet. The first letter is Alef. This 
is the letter, just a straight line. The name",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:02:24.160,00:02:39.610,"of the letter is Alef and it is equivalent to A 
in English. The second letter is BA. The name of",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:02:39.610,00:02:52.300,"the letter is BA and it's equivalent to 
the English B. The next letter is Ta. Two",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:02:52.300,00:03:05.690,"dots. Ta. And it's equivalent to the English 
letter T. The next letter has three dots. Tha.",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:03:05.690,00:03:14.810,"Tha. I want you to look at me now. Tha. You stick 
your tongue out. Tha. TH as in think, through. TH.",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:03:14.810,00:03:35.620,"Tha. TH. As in think. And the name of the letter is 
Tha. The next letter is Jeem. Jeem. And it looks",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:03:35.620,00:03:50.410,"like this, has a dot right here. The name of the 
letter is Jeem. It is equivalent to G or J. G as",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:03:50.410,00:03:59.770,in go or J as in John. It can be used either way. The next letter looks exactly the same except,Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:03:59.770,00:04:10.270,it doesn't have a dot and this is the letter Ha. Ha. It's like a loud whisper. Ha. A lot of English,Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:10.270,00:04:16.360,speaking people you have trouble with this letter. They confuse it with the next letter which is the,Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:16.360,00:04:24.850,"letter Kh. They pronounce this letter which is Ha. They pronounce it Kh. And that is wrong. So,",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:24.850,00:04:37.390,"you have to watch for this. The letter, this letter 
is Ha, a loud whisper. And we write it as an H",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:37.390,00:04:43.210,"with the dot under it. So, this is the letter Ha represented by the letter H with a dot under it.",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:43.210,00:04:50.650,and you can think of it as a loud whisper.  The next letter looks exactly the same except it,Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:50.650,00:04:58.480,"has a dot on the top. Now this is the letter 
Kh. This is the letter Kh, not the other one. The",Dr. Rashad Khalifa
Arabic Language Lessons   By Dr  Rashad Khalifa Ph D,https://www.youtube.com/watch?v=2Z7j7dqe6gQ,00:04:58.480,00:05:10.630,other one is Ha. The letter before this one is Ha. This is Kh. It comes from the throat. The other,Dr. Rashad Khalifa
