Video Title,Link,Start Time,End Time,Text,Speaker
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:00:35.480,00:00:46.680,"All united in this place of prayer, each individual soul joined in community of worship. One God.",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:00:46.680,00:00:50.929,La Elaha Ella Allah,
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:00:56.840,00:01:02.375,Alhamdu Lillah. Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah,
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:04.580,00:01:11.363,"This, IN SHAA ALLAH, will be the most
important KHUTBA I've ever delivered so far.",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:11.363,00:01:16.731,"So, please pay attention,
a special attention this time.",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:16.731,00:01:23.120,"I will try to repeat the important points
and I want you to bear in mind that I'm",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:23.120,00:01:28.979,"talking to you, you.
Don't say ""he's talking to somebody else"".",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:30.799,00:01:37.350,"Recently, I have come to a very important
conclusion about believing in God,",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:37.350,00:01:44.570,"and this started in the Muslim
Perspective issue of February 1987,",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:44.570,00:01:47.400,"with the title ""Satan Believes in God.""",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:47.400,00:01:52.900,"It dawned on me that throughout the Quran
we are taught",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:52.900,00:01:58.479,"that the majority of believers in God
are going to Hell.",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:01:58.480,00:02:05.460,"In SURA 12, verse 103 says ""most
people no matter what you do will not believe""",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:05.460,00:02:13.940,"and then in 106, we're told that
""the majority of those who believe will go to Hell.""",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:13.940,00:02:20.773,"This is in SURA 12 verse 106, and then we read",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:20.773,00:02:29.030,"in SURA Al-Mu'minûn, number 23
verses 84 through 90.",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:29.030,00:02:36.360,"I'm gonna quote starting at 84.
""Say, to whom belongs the Earth and",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:36.360,00:02:44.130,"everyone in it if you know? They will say
to God! Say would you then take need?",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:44.130,00:02:47.420,"or how come you do not take heed?""",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:47.420,00:02:55.760,"""Say, who is the Lord of the Heavens, the seven
universes, the Lord with the great Dominion?",
12 Friday Sermon by dr Rashad Khalifa the Most Important Sermon GOD is Doing Everything 1987 06 05,https://www.youtube.com/watch?v=pHVYKB7wnCY,00:02:55.760,00:02:59.250,"They will say ""God!"" Say ""how come you do",
