Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:08.793,00:00:16.015,"United in this place of Prayer, each individual soul joined in
community of worship",Dr. Rashad Khalifa,"Dr. Rashad Khalifa continues the previous sermon's conclusion that God is doing everything and turns to the rearranging of priorities, diagramming the human being as a body that lasts perhaps a hundred years and a soul that lasts forever. He argues that people devote schooling, careers and money to the vanishing body while starving the real person, citing Rock Hudson and Liberace as cases of fame and wealth that left the soul undeveloped, and reads Sura 18:45-47 on this world as vegetation turning to hay and on money and children as its adornments. The second sermon contrasts a believer's morning with a neighbor's and stresses commemorating God throughout the day, then presents a passage he asks the congregation to identify, which argues that no letter of a prayer text may be added or omitted because any change destroys an inherent numerical harmony. He applies that argument to the addition of ""Amen"" to Al-Fatehah and to the Quranic warning addressed to those who are heedless of their prayers.",,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:16.015,00:00:19.371,One God,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:19.371,00:00:23.716,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:29.220,00:00:34.724,Allahu Akbar,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:45.084,00:00:50.625,Praise God. We bear witness that there is no god except the One God.,Dr. Rashad Khalifa,,00:00:45.084,Recap: God Is Doing Everything
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:50.625,00:00:55.021,There's no other gods or idols besides Him.,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:00:56.860,00:01:03.648,"In the last KHUTBA, we reached the
conclusion that you do not really believe in God",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:03.648,00:01:08.914,unless you know that He's doing everything.,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:09.790,00:01:13.418,"You make the initial decision, this is our
role.",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:13.418,00:01:14.328,"We make a decision,",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:14.328,00:01:17.684,a decision to be with God or not,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:17.684,00:01:20.000,"and ""not"" means
you'll be with Satan",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:20.000,00:01:23.508,"because there's no other choice. You're either with God or with
Satan.",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:23.508,00:01:30.010,And this is the decision where we have absolute freedom of choice.,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:30.310,00:01:35.890,"After that you're either guided by God
or messed up by Satan,",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:35.890,00:01:39.174,"but the Ultimate Doer of everything is
God.",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:39.442,00:01:44.160,And everything's happening in accordance with God's will.,Dr. Rashad Khalifa,,00:01:39.442,Comparing Our Priorities
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:01:49.119,00:02:01.704,I want today to compare our priorities.,Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:02:02.630,00:02:07.028,"I just remembered an idea, I have to write it down so I don't forget.",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:02:07.028,00:02:14.475,"I want to use the board
here to illustrate something about priorities.",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:02:21.400,00:02:24.584,Most people do not know who they are.,Dr. Rashad Khalifa,,00:02:21.400,The Body and the Soul
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:02:24.584,00:02:30.261,"We recognize now the human being as consisting of two entities,",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:02:30.261,00:02:37.171,"just to make it very simple, the body and the soul.",Dr. Rashad Khalifa,,,
13 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Rearranging Our Priorities 1987 07 No2,https://www.youtube.com/watch?v=Kk-DvqUSJ1M,00:02:37.910,00:02:48.774,"The body goes on for, let's be optimistic, about 100 years",Dr. Rashad Khalifa,,,
