Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:18.973,00:00:21.689,One God,Dr. Rashad Khalifa,"Dr. Rashad Khalifa contrasts the Quran's mathematical structure with a computer study of the Torah conducted at the Hebrew University, playing a clip in which Professor Richard Elliott Friedman dismisses that work on Larry King as statistically bogus because the letter interval was chosen by trial until a word appeared. He argues that the Quran's case is different because its initials were fixed in the text, walking through counts of Q, N and Saad, the seven H.M. chapters, ALM in Sura 2 and the five initials of Sura 19, each a multiple of 19, and notes that he has offered to abandon the entire finding if a single error is produced. The second sermon defends his claim that the Quran dates the end of the world, deriving 1709 years from the numerical total of the fourteen initial sets in light of the ""seven pairs"" mentioned in Sura 15, corresponding to 1710 AH and 2280 AD, and citing the 309 years of the people of the cave in Sura 18 as confirmation. He stresses that this dating is a piece of information rather than a condition of salvation, since he reads the Quran's minimum requirements as belief in God, belief in the Hereafter and a righteous life under any religious name.",,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:21.689,00:00:26.165,"La Elaha Ella Allah
(There is no god, except the One God)",Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:32.181,00:00:36.521,"Allahu Akbar
(God is great).",Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:36.754,00:00:39.544,One God,Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:39.544,00:00:43.795,"La Elaha Ella Allah
(There is no god, except the One God)",Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:50.272,00:00:54.213,"Allahu Akbar
(God is great).",Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:54.940,00:00:59.003,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa,,00:00:54.940,Nineteen Years of Quran Research
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:00:59.223,00:01:05.005,"We continue to record these KHTUBAs because they are very
important.",Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:01:05.005,00:01:08.440,"Now, I know what I'm going to talk about.",Dr. Rashad Khalifa,,,
14 Friday Sermon by dr Rashad Khalifa Quran vs Bible Code End of the World Revealed 2280AD 1987 07 N,https://www.youtube.com/watch?v=MR6UI5rp8OM,00:01:10.509,00:01:18.400,"About, in fact, exactly 19 years ago,
I started the research on the Quran. I put",Dr. Rashad Khalifa,,,
