Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:00:04.459,00:00:14.911,Allahu Akbar,Dr. Rashad Khalifa,"Dr. Rashad Khalifa reviews the latest issue of the Muslim Perspective and the accumulating numerical findings it reports, opening with an account of a Saudi visitor who disputed that Bismillah contains nineteen letters by counting letters not written on the page, and with the two different spellings of bism in the first revelation. He restates the findings credited to Lisa concerning the 5263 verses between the first and last Quranic initials, the nineteen alternating groups of chapters, and the occurrences of the word Allah, arguing that these confirm the verse numbers, chapter numbers and chapter sequence as divinely fixed rather than editorial. He then presents work by Ihsan on the refrain ""which of God's marvels can you deny"" in Sura 55, its patterning across odd and even verse numbers, and the related occurrences in Suras 7 and 53, whose chapter and verse numbers and letter counts he reports as multiples of 19. The second sermon turns to Sura 38:67 on the momentous event people disregard, describing the Day of Resurrection as a universal conference at which an eternal rank is assigned and this life as a school in which credits are accumulated through the Friday and daily prayers, credits he says begin paying off in the present as an inner happiness only God controls.",,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:00:18.896,00:00:32.252,Allahu Akbar,Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:00:37.292,00:00:49.192,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:04.234,00:01:10.635,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa,,00:01:04.234,Reviewing the New Muslim Perspective
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:10.635,00:01:15.109,We praise God and we bear witness that there is only One God.,Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:18.529,00:01:24.326,"I would like to review with you very quickly,
the new issue of the Muslim Perspective.",Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:24.326,00:01:26.399,"As you know,",Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:26.399,00:01:30.962,we are witnessing the emergence of a fantastic miracle,Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:30.962,00:01:39.828,"that tells the world, this is a message from
God to the world, that this is a supernatural",Dr. Rashad Khalifa,,,
17 Friday Sermon by dr Rashad Khalifa Evidence is Increasing This Life is a School for the Eternal L,https://www.youtube.com/watch?v=IosZLCyLshg,00:01:39.828,00:01:43.744,scripture that could not possibly be human-made.,Dr. Rashad Khalifa,,,
