Video Title,Link,Start Time,End Time,Text,Speaker
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:00:04.198,00:00:28.368,"Allahu Akbar x 4
La Elaha Ella Allah x 1",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:00:31.010,00:00:33.652,"I'm gonna get you going on time, IN SHAA ALLAH.",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:00:34.539,00:00:35.527,Don't worry. I'm late.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:07.251,00:01:15.510,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:15.510,00:01:23.156,The idea of mathematical composition of literature is an original idea. It's a new idea,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:23.156,00:01:25.847,and it is monopolized by God Alone.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:26.527,00:01:29.857,This is mathematical composition of literary works.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:29.857,00:01:35.257,"If you go to the library and look at millions of books, you will not find one",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:35.257,00:01:41.572,that is mathematically composed. The idea is not known in human-made books.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:41.572,00:01:44.755,And the Quran is the only book in the world,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:44.755,00:01:49.592,that is mathematically composed and is intact.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:49.592,00:01:56.174,There have been fragments of mathematically composed materials,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:01:56.174,00:02:01.287,"like liturgies and small pieces of the original scripture,",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:01.287,00:02:05.652,but the Quran is the only book in the world that's mathematically composed.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:05.652,00:02:13.269,"And the idea of mathematical composition is that everything is calculated, the words, the letters, the verses, the chapters.",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:14.097,00:02:21.447,"I can ask you to write a book where chapter 2 contains 500 S's, for example.",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:21.447,00:02:28.503,This is a mathematical composition because you'll get to chapter 2 and you will write and count the S's and keep track of them.,Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:28.503,00:02:32.993,"So, you'll end up with 500 S's in chapter 2.",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:32.993,00:02:38.422,"So, this is the simplest form of mathematical composition.",Dr. Rashad Khalifa
18 Friday Sermon by dr Rashad Khalifa Quran is the Only Book in the World That is Mathematically Com,https://www.youtube.com/watch?v=r--5GDUhUn8,00:02:38.422,00:02:43.851,This can be made difficult by adding more specifications: chapter two has 500 S's,Dr. Rashad Khalifa
