Video Title,Link,Start Time,End Time,Text,Speaker
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:12.569,00:00:18.044,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:36.044,00:00:40.783,The message of worshipping God Alone,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:40.783,00:00:43.127,is... there's a big,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:43.127,00:00:44.747,switch,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:44.747,00:00:47.168,this year. This marks,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:47.168,00:00:49.262,a new era,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:49.262,00:00:53.283,and the switch is from the religious leaders,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:53.283,00:00:55.713,like the Pope,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:55.713,00:00:59.616,and Jewish leaders and Muslim,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:00:59.616,00:01:00.885,leaders,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:00.885,00:01:02.255,to,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:02.255,00:01:04.680,"Academia, the Academic people",Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:04.680,00:01:08.820,"who include Jews, Christians, and Muslims",Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:08.820,00:01:12.140,and who will look at the,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:12.140,00:01:13.683,data,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:13.683,00:01:16.560,of the Quran objectively,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:16.560,00:01:18.618,and then they will tell the world,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:18.618,00:01:22.204,adding the credibility of academic research,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:22.204,00:01:25.855,and they will tell the world about it. This is what's happening this coming year.,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:27.168,00:01:28.979,"Yesterday,",Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:28.979,00:01:38.908,we had the president of the... the vice president of the biggest Islamic university in Saudi Arabia and three of his people,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:38.908,00:01:43.565,come here and discuss,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:43.565,00:01:45.889,the matter of worshipping God Alone.,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:45.889,00:01:48.331,And you know all their arguments.,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:48.556,00:01:51.937,But one thing happened that stands out,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:51.937,00:01:55.523,that I don't think I or you will ever forget,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:01:55.523,00:01:59.393,and it's something that I don't think Satan himself will dare do.,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:02:00.894,00:02:07.021,That man objected to having this on the wall by itself.,Dr. Rashad Khalifa
20 Friday Sermon by dr Rashad Khalifa the Mohammadans Discoveries by Atef and Lisa 1987 12 04,https://www.youtube.com/watch?v=eV39kJ4M28g,00:02:07.771,00:02:09.547,He wanted Muhammad next to it.,Dr. Rashad Khalifa
