Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:00:06.200,00:00:25.937,"Allahu Akbar
Allahu Akbar
La Elaha Ella Allah",Dr. Rashad Khalifa,"Delivered on January 1, 1988, this sermon presents repentance as a means of starting over and then sets out what Dr. Rashad Khalifa calls the secret of happiness, reading the theme he has written for his new Quran translation: that happiness is a quality of the soul rather than the body. He cites Eddie Murphy's interview with Barbara Walters and a televised account of Barbara Hutton's life as cases of wealth and fame without happiness, and describes the utterances Bismillah, Ma Sha Allah, Alhamdu Lillah, Subhan Allah and In Sha Allah as snacks for the soul, with the five daily contact prayers as its full nourishment. Reading Sura 21:1-3 on a reckoning that approaches while people remain heedless, he contrasts this with the previous night's New Year celebrations, and draws on Sura 56 to describe a crowded lower Heaven and an uncrowded first class in which his own generation, as witnesses of the miracle, will be numerous. He closes with a new zikr, the visualization that God is present in the room and hears one's secrets, and with plans for a language-neutral video and a set of flashcards presenting the numerical facts of the code.",,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:00:27.195,00:00:29.122,La Elaha Ella Allah.,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:00:30.030,00:00:36.270,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:00:36.270,00:00:41.671,"We praise God and we bear witness that 
there is no god except the One God.",Dr. Rashad Khalifa,,00:00:36.270,"A New Year, A New Beginning"
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:00:42.910,00:00:52.447,"Today is the first day of a new year. It is January 1st, and I don't see a single person with a hangover in here.",Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:00:55.490,00:01:00.680,The first day of the new year of 1988,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:00.680,00:01:04.229,is also the first day of the rest of your life.,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:05.560,00:01:13.060,"And the Quran provides the ways and means of starting all over again, anytime you want to.",Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:13.060,00:01:21.487,We can forget completely about the past and start as a totally new person beginning a totally new life.,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:21.487,00:01:27.218,"The concept of repentance. Repentance:
returning to God.",Dr. Rashad Khalifa,,00:01:21.487,The Concept of Repentance
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:27.218,00:01:30.000,Being unaware for a while,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:30.000,00:01:32.605,and now deciding to return and be with God.,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:34.046,00:01:36.248,I have put,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:36.248,00:01:39.612,the theme of the new translation of Quran on the wall here,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:39.612,00:01:41.894,for you and I'm gonna read it,Dr. Rashad Khalifa,,,
21 Friday Sermon by dr Rashad Khalifa the Power of Repentence the Secret of Happiness GOD Controls E,https://www.youtube.com/watch?v=SkZHcXGbIL4,00:01:41.894,00:01:43.794,because I wanted to share it with you.,Dr. Rashad Khalifa,,00:01:41.894,The Secret of Happiness
