Video Title,Link,Start Time,End Time,Text,Speaker
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:04.459,00:00:21.418,"La Elaha Ella Allah 
(There is no god but One God)",Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:21.418,00:00:26.653,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:27.777,00:00:32.016,We praise God and we bear witness there is only One God.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:32.960,00:00:35.990,God is doing everything.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:37.216,00:00:41.804,And this is the conclusion that we must reach,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:41.804,00:00:43.804,if we are to be saved.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:44.485,00:00:48.596,That God is doing everything is a quality of God.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:48.970,00:00:54.000,"If you don't know this quality, then you don't know God.",Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:55.145,00:00:58.493,And this is why the Quran is full of those verses,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:00:58.493,00:01:02.125,talking about people who do believe in God,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:02.125,00:01:04.343,but they're going to Hell,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:04.343,00:01:06.854,because they do not know God as He really is.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:07.569,00:01:10.325,"In Sura 8, verse 17,",Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:10.325,00:01:13.533,we're told that God...,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:13.533,00:01:16.725,There was the appearance of a battle,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:16.725,00:01:23.049,with a small handful of believers fighting a big huge army of disbelievers.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:23.219,00:01:29.692,"And the believers were busy running around and stabbing and throwing arrows and shooting, thinking they are fighting,",Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:29.692,00:01:36.173,but the verse tells us that God is the One who's fighting; God is the One who did the killing and the throwing of the arrows.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:37.144,00:01:38.796,God is doing everything.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:39.579,00:01:43.316,We only do the decision to be with God or not.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:43.316,00:01:55.877,And the whole design of this life is to effect a test for each one of us.,Dr. Rashad Khalifa
22 Friday Sermon by dr Rashad Khalifa GOD is Doing Everything Story About Ahmed Subhy Mansour 1988 0,https://www.youtube.com/watch?v=TjuvAGtg0F4,00:01:55.877,00:01:57.463,"This whole life is a test,",Dr. Rashad Khalifa
