Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:02.790,00:00:05.879,"Alhamdu Lillah, praise be to God",Dr. Rashad Khalifa,"Dr. Rashad Khalifa presents the Quranic law of marriage as resting on two requirements: love, which he grounds in Sura 4:24 and Sura 30:21 and says cannot exist without a real period of acquaintance, and a dowry, whose purpose he identifies as security for the wife. He extends the security argument to divorce, citing Sura 2:240-241 on alimony and Sura 65:1 on the prohibition against turning a wife out of the house, and describes the Middle Eastern practice of an official marriage followed by a long interval before consummation as one way of satisfying the first requirement. The second sermon treats self-discipline as the foundation of all religious practice, invoking Sura 7:179 on people who become worse than animals, contrasting the televangelists Jimmy Swaggart and Jim Bakker with a believer whose soul is stronger than the body, and offering his own experience at scientific conferences as illustration. He closes on polygamy, which he says the Quran permits under many conditions while Muhammad's twenty-five years with one wife and his later marriages to widows set the example, and on divorce, which he says God hates and hedges with protections for women drawn from Sura 28:5. Related recording: this sermon also appears as a sample sermon in the second half of ""18 - Principles of Friday Prayer"" in this collection.",,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:06.830,00:00:10.000,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:10.000,00:00:13.389,And I bear witness there's no god except the One God.,Dr. Rashad Khalifa,,,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:13.936,00:00:24.447,"Our topic today is a very important one, marriage in Islam. God has prescribed for us laws",Dr. Rashad Khalifa,,00:00:13.936,Marriage in Islam
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:24.447,00:00:32.930,to govern the important aspects of our lives and He left a lot of freedom for many other aspects in our lives.,Dr. Rashad Khalifa,,,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:33.844,00:00:46.497,And we're told that these laws are recommendations or Commandments. They are Commandments because we should do them.,Dr. Rashad Khalifa,,,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:46.497,00:00:50.548,And they are recommendations because we have the freedom not to do them,Dr. Rashad Khalifa,,00:00:46.497,Commandments and Their Price
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:50.951,00:00:58.959,as long as we are ready to pay the price. God tells us in SURAH 10 verse 62,Dr. Rashad Khalifa,,,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:00:58.959,00:01:05.862,"that if you follow these Commandments, you are guaranteed happiness, perfect happiness in this world",Dr. Rashad Khalifa,,,
25   Friday Sermon by Dr  Rashad Khalifa   Marriage    Importance of Love    Muhammad's Example,https://www.youtube.com/watch?v=KPGPbbkGsw4,00:01:06.923,00:01:15.279,"and tells us in SURAH 21 verse 142 that if you disregard these Commandments, you are guaranteed a miserable life.",Dr. Rashad Khalifa,,,
