Video Title,Link,Start Time,End Time,Text,Speaker
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:00.000,00:00:07.829,أعوذ بِٱللَّهِ مِنَ ٱلشَّيْطَـٰنِ ٱلرَّجِيمِ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:07.829,00:00:15.486,بِسْمِ اللهِ الرَّحْمٰنِ الرَّحِيْمِ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:15.486,00:00:20.334,(36:1) يسٓ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:20.334,00:00:25.972,(36:2) وَٱلْقُرْءَانِ ٱلْحَكِيمِ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:26.283,00:00:29.484,(36:3) إِنَّكَ لَمِنَ ٱلْمُرْسَلِينَ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:29.484,00:00:33.944,(36:4) عَلَىٰ صِرَٰطٍ مُّسْتَقِيمٍ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:33.944,00:00:42.051,(36:5) تَنزِيلَ ٱلْعَزِيزِ ٱلرَّحِيمِ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:42.051,00:00:51.482,(36:6) لِتُنذِرَ قَوْمًا مَّآ أُنذِرَ ءَابَآؤُهُمْ فَهُمْ غَـٰفِلُونَ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:00:53.128,00:01:02.539,(36:7) لَقَدْ حَقَّ ٱلْقَوْلُ عَلَىٰٓ أَكْثَرِهِمْ فَهُمْ لَا يُؤْمِنُونَ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:01:05.075,00:01:18.424,(36:8) إِنَّا جَعَلْنَا فِىٓ أَعْنَـٰقِهِمْ أَغْلَـٰلًا فَهِىَ إِلَى ٱلْأَذْقَانِ فَهُم مُّقْمَحُونَ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:01:20.916,00:01:37.206,"وَجَعَلْنَا مِنۢ بَيْنِ أَيْدِيهِمْ سَدًّا وَمِنْ خَلْفِهِمْ سَدًّا فَأَغْشَيْنَـٰهُمْ فَهُمْ 
(36:9) لَا يُبْصِرُونَ",
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:01:39.698,00:01:51.885,(36:10) وَسَوَآءٌ عَلَيْهِمْ ءَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:01:54.332,00:02:10.556,"إِنَّمَا تُنذِرُ مَنِ ٱتَّبَعَ ٱلذِّكْرَ وَخَشِىَ ٱلرَّحْمَـٰنَ بِٱلْغَيْبِ ۖ فَبَشِّرْهُ 
(36:11) بِمَغْفِرَةٍ وَأَجْرٍ كَرِيمٍ",
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:13.226,00:02:32.541,"إِنَّا نَحْنُ نُحْىِ ٱلْمَوْتَىٰ وَنَكْتُبُ مَا قَدَّمُوا۟ وَءَاثَـٰرَهُمْ ۚ وَكُلَّ شَىْءٍ 
(36:12) أَحْصَيْنَـٰهُ فِىٓ إِمَامٍ مُّبِينٍ",
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:33.208,00:02:38.679,We praise God and we bear witness that there is no god except the one God.,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:40.414,00:02:46.374,And we declare that all devotion and all worship is directed to God Alone.,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:46.596,00:02:48.196,SURA 39,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:48.196,00:02:50.000,(39:3) أَلَا لِلَّهِ ٱلدِّينُ ٱلْخَالِصُ,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:50.000,00:02:52.756,devotion and worship belong to God Alone.,
26 Friday Sermon by dr Rashad Khalifa Rashad Proclaims His Messengership Abraham's Religion 1988 04,https://www.youtube.com/watch?v=n5Xflm_Z4jA,00:02:56.672,00:03:07.924,Some of you probably saw this bombshell where,
