Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:04.727,00:00:08.853,We praise God and we bear witness that there is only one God.,Dr. Rashad Khalifa,"Dr. Rashad Khalifa offers a summary overview of the message as he understands it, addressed partly to guests, beginning with the claim that this generation is the first to receive a divine message supported by tangible physical evidence. He describes a covenant taken before creation in which all human beings bore witness that God alone is their Lord, which he identifies as the natural instinct each person is born with, and then answers what he presents as the questions most people cannot answer: who we are, given that a person consists of a body and a soul; why we are here; and what we actually need. The second sermon traces the arrangement back to Satan's claim that he could be a god, which God tested by granting him the planet Earth as a dominion and those humans who choose him as constituents, so that every person stands in one of two kingdoms, one free of problems and one full of them. He closes with the mechanism he offers for perfect happiness, the nourishment of the soul through the Friday and five daily prayers, charity taken from what the body loves, fasting as mastery over the body, and pilgrimage commemorating Abraham, noting that some earlier scriptures also carry the mathematical code.",00:00:04.727,A Message with Tangible Evidence
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:08.853,00:00:10.742,The one true God who created all of us.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:14.378,00:00:23.925,We've been fortunate to receive a message from God,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:23.925,00:00:29.561,"that is proven with tangible evidence, physical evidence for the first time in history.",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:29.561,00:00:37.016,"Something that the world is going to recognize, maybe it will take the world 20 years or 50 years.",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:37.016,00:00:48.327,But we are fortunate to be the first pioneers who see this evidence and realize what God is telling us.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:48.327,00:00:56.257,"There is a definite message from God to all of us, giving us the most vital information that we need.",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:56.257,00:01:01.642,And I will try to draw a picture of the whole thing in this KHUTBAH,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:01.642,00:01:07.698,"to summarize for all of us the things that we've been witnessing for the last few years,",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:07.698,00:01:14.174,and also for our guests to catch up with this... a summary of the whole thing.,Dr. Rashad Khalifa,,00:01:07.698,God Did Not Leave Us Without Support
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:14.174,00:01:19.660,God created us and He did not leave us without support.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:19.660,00:01:23.883,He didn't just leave us in the wild without direction or guidance.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:23.883,00:01:31.893,He did quite a few things to help us attain our objective,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:31.893,00:01:36.000,which is one of the things that most people don't know.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:36.000,00:01:38.451,"People in the street, they don't know what our objective is.",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:38.451,00:01:49.649,"So, God sent messages and messengers and told us exactly the things that we need.",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:49.649,00:01:52.446,The first thing that God did was,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:52.446,00:01:57.358,"that He gathered all of us, all the human beings",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:57.358,00:02:00.650,who came to this earth and will come to this earth,Dr. Rashad Khalifa,,00:01:57.358,The Covenant Before Creation
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:00.650,00:02:04.094,"and that was before creation of the heavens and the earth,",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:04.094,00:02:08.970,"and He had us witness, bear witness that He alone is our Lord,",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:08.970,00:02:11.611,that we'll worship God alone.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:13.569,00:02:17.396,"God called all the people, said, ""do you bear witness that I am your Lord?""",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:17.396,00:02:18.000,"And we said ""yes.""",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:18.000,00:02:23.458,"So, this constitutes natural instinct in each one of us.",Dr. Rashad Khalifa,,00:02:18.000,Natural Instinct to Worship God
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:23.458,00:02:28.820,"So, each one of us comes to this world, we are born with a natural instinct to worship God alone,",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:28.820,00:02:32.577,and not to worship or idolize anybody else.,Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:32.577,00:02:39.301,"We are born... born with the knowledge and recognition that God is the One who created us,",Dr. Rashad Khalifa,,,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:39.301,00:02:41.103,that He's the One who provides for us.,Dr. Rashad Khalifa,,,
