Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:04.957,00:00:06.957,Allahu Akbar,Dr. Rashad Khalifa,"Dr. Rashad Khalifa recounts a cosmology in which Satan's claim to be a god was tested by granting him the planet Earth as a dominion and, as constituents, those descendants of Adam who share his view that God alone is not enough, with every human being consulted beforehand and agreeing to take the test. He describes the instinctive knowledge and the messengers given on one side and, on the other, a jinn born alongside each person to whisper Satan's argument, and reads the surrounding universe of a billion galaxies as Satan's prison cell, too small for him to leave. The second sermon argues that Satan's method is to capture leaders rather than followers, naming the Pope, the imams of jurisprudence and students at Al-Azhar and the Islamic University in Medina, and inserts a newly reported finding that the distinct numbers appearing in the Quran sum to a multiple of 19. He closes with an account of how the discovery came about: a six-month computer course at Monsanto that coincided with his curiosity about the Quranic initials, and a move to the food research department of Anheuser-Busch where the work was completed, which he reads as the miracle having been hidden in Satan's own pocket and as evidence that Satan's knowledge is limited.",,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:11.565,00:00:20.896,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:25.619,00:00:33.630,Alhamdu Lillah. We praise God. Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:33.630,00:00:36.946,"And we bear witness that there is 
no god except the one true God.",Dr. Rashad Khalifa,,00:00:33.630,Satan's Supercilious Thoughts
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:38.710,00:00:46.080,"It all began a few billion years ago 
when an angel named Satan",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:46.080,00:00:50.997,"entertained supercilious thoughts 
that he can be a god besides God.",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:00:53.970,00:01:02.456,And God decided that one way of letting Satan find out is to call his bluff,Dr. Rashad Khalifa,,00:00:53.970,A Dominion and Constituents
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:02.456,00:01:16.214,"and make him a god. Now, a god cannot be a god without two things: a dominion and constituents and to",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:16.214,00:01:27.023,"provide Satan with a dominion, God created a billion galaxies containing a billion trillion stars",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:29.860,00:01:36.560,"contained in a universe that is 
26 billion light years across.",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:39.230,00:01:44.366,And to emphasize the insignificance,Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:44.366,00:01:52.100,"the insignificance of Satan's dominion 
to be which is the planet Earth,",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:52.100,00:01:56.444,"God created six other universes 
even bigger than this one.",Dr. Rashad Khalifa,,00:01:52.100,Seven Universes and a Mote
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:01:58.470,00:02:05.810,"And then eventually, God told Satan that this little 
mote in the smallest and innermost universe",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:02:05.810,00:02:13.520,"called planet Earth will be your dominion. 
God equipped the planet Earth with the means",Dr. Rashad Khalifa,,,
29 Friday Sermon by dr Rashad Khalifa The Meaning of Life Discovering the Miracle Satan Created Reli,https://www.youtube.com/watch?v=vx22QER90B4,00:02:13.520,00:02:21.243,"to support life for plants, animals and humans. 
No other place in the universe is so equipped.",Dr. Rashad Khalifa,,00:02:13.520,Adam and the Refusal to Prostrate
