Video Title,Link,Start Time,End Time,Text,Speaker
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:02:39.835,00:02:43.776,"ALHAMDU LILLAAH, We praise God",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:02:43.776,00:02:47.431,"WA ASHHADU AN LA ILLAAHA ILLAA ALLAH, WAHDAHU LAA SHARIKA LAH",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:02:47.431,00:02:50.887,And we bear witness that there is no god except the One God.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:02:50.887,00:02:57.020,It is very important for any person to know who God is,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:02:57.020,00:03:02.870,to really appreciate why millions of people fall into idol worship.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:02.870,00:03:14.001,"Why do they leave God and idolize Muhammad, or Jesus, or Marry or St. Francis or St. Jude or some helpless creature?",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:14.001,00:03:21.172,And the main reason is that the people do not know who God is. They do not appreciate the greatness of God.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:21.172,00:03:29.536,"So, my purpose in this sermon is to share with you some idea about the greatness of God.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:29.536,00:03:38.825,"And to appreciate the greatness of God, we have to think of this universe that we are living in.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:38.825,00:03:43.861,"Our planet earth is part of the solar system, as you all know.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:43.861,00:03:49.819,"And by the way, I'm gonna talk to you strictly about scientific facts,",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:49.819,00:03:52.196,established scientific facts.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:54.000,00:03:56.557,This earth is part of the solar system.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:03:56.557,00:04:01.578,It is the only planet in the solar system that has life.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:01.578,00:04:07.127,"We went to the moon and we didn't see a single tree there or a mouse, nothing.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:07.127,00:04:11.061,We sent cameras to Mars and we didn't see a creature there,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:11.061,00:04:16.053,"unless those rocks are creatures, as we saw in one of the cartoons.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:16.053,00:04:20.650,"There is no life in the solar system except here, on the planet Earth,",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:20.650,00:04:30.226,"Our Sun, the center of this solar system is 93 million miles away.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:30.226,00:04:33.292,"Now, I want you to watch these distances.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:33.292,00:04:38.380,"93 million miles away from us, the Sun.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:38.821,00:04:42.404,And the light comes to us from the Sun in 4 minutes.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:42.404,00:04:44.535,"So, remember this relationship.",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:44.535,00:04:51.195,The light travels from the Sun to the Earth 93 million miles in 4 minutes.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:04:51.195,00:05:01.284,The solar system itself spans a distance of 2 billion to 4 billion miles.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:05:01.284,00:05:03.294,This is our solar system.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:05:03.294,00:05:15.173,"So, when you go to the edge of our solar system, if you travel 2 billion, with a ""b"", 2 billion miles away,",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:05:15.173,00:05:17.983,"how big is the planet Earth, from that point?",Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:05:17.983,00:05:20.841,It will seem small.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:05:20.841,00:05:23.693,OK. Let us now go a little further.,Dr. Rashad Khalifa
30 Friday Sermon by dr Rashad Khalifa Who is GOD Understanding Our Universe 1988 08 04,https://www.youtube.com/watch?v=hqNE7n4fRs0,00:05:23.693,00:05:26.666,"Let us talk about the galaxy, our galaxy.",Dr. Rashad Khalifa
