Video Title,Link,Start Time,End Time,Text,Speaker
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:11.632,00:00:13.342,Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:13.342,00:00:17.598,"We praise 
God and we bear witness that there is no god except He.",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:19.130,00:00:23.736,"The title of this KHUTBA is ""who is your god?""",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:25.210,00:00:34.480,"and I bet you anything quite a few of you 
will be shocked because the natural answer,",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:34.480,00:00:41.408,"the immediate answer is ""what do you mean who is 
my god? God is my god, the One who created me.""",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:43.642,00:00:53.834,"But the Quran is full of verses that tell us that 
millions of people would say that their god is God.",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:55.010,00:00:59.720,"You're familiar with the verses that 
say ""if you ask them who created the",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:00:59.720,00:01:04.705,"heavens and the earth? They will 
say ""God"" but they're going to Hell.""",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:06.190,00:01:12.430,"The verses that say ""if you ask them who is 
the Lord of the heavens and the Earth and",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:12.430,00:01:17.419,"the Lord with the great Dominion and 
the great throne? They will answer ""God.""",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:19.260,00:01:26.610,"But they're going to Hell. You ask them ""who created 
you?"" They will say ""God."" So, these are millions of",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:26.610,00:01:32.430,"people who recognize God as the One who created 
the Heavens and the Earth, the One who created",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:32.430,00:01:40.780,"them. The One with the great Authority. The Lord of 
the heavens and the Earth, but they're still going",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:40.780,00:01:48.550,"to Hell. Now, I know this is your answer ""who's your 
god?"" And you're gonna say ""God is the One God who created",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:01:48.550,00:01:56.322,"me."" But we have this... this KHUTBA is to examine 
this question and for you to examine your answer.",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:00.080,00:02:09.220,"We know that your happiness in this world 
and forever depends on knowing who your god",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:09.220,00:02:17.416,"is and worshipping God. God guarantees you 
perfect happiness in this world and forever.",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:19.070,00:02:24.050,And this is repeated in the Quran 23 times. Perfect,Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:24.050,00:02:30.440,"health, perfect wealth, perfect peace of mind 
guaranteed. God is the One who runs the",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:30.440,00:02:35.690,"universe and He's guaranteeing this for you. 
No problems whatsoever. ""Read my lips"" like",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:35.690,00:02:46.375,"Bush says. No problems whatsoever if you are 
worshiping God alone, worshipping your god.",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:02:47.380,00:02:59.683,"And you and I are going to detect flaws in 
us as we examine this question: who is your god?",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:03:05.010,00:03:11.640,"It turns out... I'm gonna give you the answer 
first then we'll discuss the specifics... it",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:03:11.640,00:03:18.570,"turns out that whatever is preoccupying 
your mind the majority of the day that is your",Dr. Rashad Khalifa
31 Friday Sermon by dr Rashad Khalifa Who is Your GOD Majority of Believers Are Going to Hell 1988 1,https://www.youtube.com/watch?v=mw2PxMFm6r4,00:03:18.570,00:03:27.400,"god. Whatever you are thinking of in your mind, 
this is your god. And the Quran explains this",Dr. Rashad Khalifa
