Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:00:06.758,00:00:40.387,Allahu Akbar (God is Supreme) x4,Dr. Rashad Khalifa,"Speaking without prepared notes, Dr. Rashad Khalifa asks why believers should love God most, and answers by reconstructing an account in which unclassified creatures divided when Satan claimed he could be a god: those who accepted God's absolute authority without question became angels, Satan became a jinn, and those who agreed with him mentally became human beings. He says that when God offered these humans a second chance on Earth, the angels of Sura 2 asked whether God would place corrupters there, which he reads as a call to send them straight to Hell, and he finds parallel traces in Romans 3:23, Romans 6:23 and Hebrews 1:3. The second sermon argues that the human race remains bad enough to justify that judgment, pointing to mosques he says violate Sura 72:18 and churches that call Jesus God, and then explains why he believes two false verses in Sura 9 were allowed to stand for fourteen centuries: a proposal during Uthman's committee to add praise of the prophet, which he says Ali opposed, leading to fifty years of war, the killing of the prophet's family at Karbala, and Marwan burning the original copy. He closes with the retribution described in Sura 22:19-22, an account of a Los Angeles meeting where Muslim attendees attacked his presentation rather than a professor who had called the Quran a hallucination, and the point that summing the Quran's numbers leaves no room for disputes about letter counts.",,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:00:40.387,00:00:41.645,La Elaha Ella Allah (There is no god except the one God.),Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:00:41.645,00:00:49.035,"Alhamdu Lillah, Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.",Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:00:49.035,00:00:53.690,We praise God and we bear witness that there is no god except the One God.,Dr. Rashad Khalifa,,00:00:49.035,Should We Love God?
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:00:58.642,00:01:03.897,I will be just chatting with you since I did not really prepare anything.,Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:01:03.897,00:01:10.431,And I want to talk about loving God.,Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:01:10.431,00:01:15.399,A rhetorical question: Should we love God? And why?,Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:01:16.558,00:01:22.204,And to understand this why we should love God and how much,Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:01:22.204,00:01:26.317,"The Quran describes the believers as loving God the most,",Dr. Rashad Khalifa,,,
32 Friday Sermon by dr Rashad Khalifa Classification of Creatures Loving GOD Hell is not Enough 1988,https://www.youtube.com/watch?v=2sydJIGEp1I,00:01:26.317,00:01:28.957,that is more than anything else.,Dr. Rashad Khalifa,,00:01:26.317,Unclassified Creatures Before the Test
