Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:00:07.817,00:00:20.118,"Allahu Akbar
Allahu Akbar",Dr. Rashad Khalifa,"Dr. Rashad Khalifa, working on the final pages of his new translation, takes up the recurring question of what becomes of earlier generations who lacked the complete message, recalling Pharaoh's question to Moses. He answers with a population estimate: about 6 billion people have lived from Adam until 1989, against some 75 billion still to come before the end of the world in 2280, so that the vast majority of humanity will receive the message intact. He revisits the classification of creatures into angels who never doubted God's absolute authority, jinns who accepted Satan's claim, and humans who remained undecided, and argues from Sura 19:71-72, Sura 21:101 and Sura 7:32 that this world is itself a mild or halfway Hell, defined as the absence of God's physical presence and distinguished from the eternal Hell by the fact that God still provides for believer and disbeliever alike, as in Sura 2:126. The second sermon previews a finding credited to Abdullah that stringing together the chapter and verse numbers of the Quran, stopping Sura 9 at verse 127, yields a number miles long that is a multiple of 19, and that the same holds for the units of the five prayers, then reads Malachi 3 on the Messenger of the Covenant and disputes the Christian identification of that figure with John the Baptist.",,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:00:24.752,00:00:41.608,"Allahu Akbar
Allahu Akbar",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:00:46.171,00:00:58.257,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:02.891,00:01:04.011,Alhamdu Lillah.,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:04.367,00:01:05.574,We praise God.,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:06.394,00:01:09.654,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:10.260,00:01:14.950,"And we bear witness that there is no god except
the One God.",Dr. Rashad Khalifa,,00:01:10.260,Work on the New Translation
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:17.695,00:01:24.654,"As you know, I have been working on the main, the new
translation, now",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:24.654,00:01:29.527,"down to the serious business of preparing
the pages for the printer.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:30.169,00:01:32.488,"So, this seems to be the final developments.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:32.953,00:01:37.112,"And there is a lot of information that is
developing right now.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:37.754,00:01:39.181,There's a lot to be learned.,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:39.680,00:01:45.187,"But I want to share with you, the developments
as they are happening.",Dr. Rashad Khalifa,,00:01:39.680,What About Previous Generations?
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:46.756,00:01:51.659,"One of the main questions that people always
asked, since the time of Moses, ""What about",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:51.659,00:01:55.009,"all those people in the past? They had the
wrong information.""",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:56.221,00:01:58.544,Remember that question Pharaoh asked Moses?,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:01:59.372,00:02:01.936,"""What about all those people of the past generation?""",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:03.326,00:02:09.454,"And Moses said, ""their knowledge is with my
Lord. My Lord is never wrong.""",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:10.871,00:02:15.577,"So, this question keeps coming up. ""What about all those millions of people in the past?""",Dr. Rashad Khalifa,,00:02:10.871,Population Statistics to 2280
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:16.397,00:02:23.690,"So, I wanna just do some statistics with
you. If we divide the population of the world,",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:23.690,00:02:30.859,"if we just draw a bar like this and divide it into
15 sections.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:45.814,00:02:47.563,These are 15 sections.,Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:48.922,00:02:56.792,"From the time of Adam, from the beginning;
the first man until now, we occupy this section here.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:02:57.819,00:03:04.314,"These are the people who lived on Earth, from the time of Adam until now. About 6 billion people.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:03:07.834,00:03:25.823,"And from now, from 1989... Happy New Year... to the end of the world, 2280, there will be this many people, 75 billion.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:03:28.000,00:03:43.405,"So, as you see, we're still at the beginning
of humanity. And the vast majority of human beings will receive the message, the complete message, all put together.",Dr. Rashad Khalifa,,,
33 Friday Sermon by dr Rashad Khalifa What About Previous Generations Messenger of the Covenant 1988,https://www.youtube.com/watch?v=WZpZHLONMeM,00:03:44.641,00:03:49.463,"So, God is not neglecting all those people
in the past",Dr. Rashad Khalifa,,,
