Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:00:07.354,00:00:24.919,La Elaha Ella Allah (There is no god except the one God),Dr. Rashad Khalifa,"Dr. Rashad Khalifa opens with a finding he credits to Mahmood, that placing the numerical values of the letters of La Elaha Ella Allah side by side produces a multiple of 19, and connects it to counts he associates with the bones of the body and the length of gestation. The main sermon is an examination of conscience built around the question ""who was your god last week,"" walking the congregation through an ordinary Saturday, waking with Bismillah, praying before sunrise, and pausing over the milk drawn from blood, the grain, the fruit, the clothing, the heater, the car and the traffic light, asking at each point whether God was actually in mind. He returns to Luke 12:29-31 and the argument that God runs everything, leaving a person only the choice between two kingdoms, and reassures listeners that the habit will take months to form. The second sermon divides humanity into submitters, who accept whatever God does and are therefore always happy, and objectors, who are always miserable, then asks why God named the longest chapter of the Quran after a cow, answering that the Israelites' haggling over which cow to sacrifice illustrates the arguing that total submission excludes, as with disputes over the four steps of ablution.",,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:00:24.919,00:00:44.891,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:00:44.891,00:01:05.832,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:05.832,00:01:10.526,"Alhamdu Lillah, We praise God.",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:10.526,00:01:14.392,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:14.392,00:01:18.040,And we bear witness that there is no god except the one God.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:19.009,00:01:22.561,"I started the machine here and all it said was ""La Elaha Ella Allah.""",Dr. Rashad Khalifa,,00:01:19.009,La Elaha Ella Allah
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:22.561,00:01:24.138,It was not planned this way.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:24.138,00:01:27.157,But La Elaha Ella Allah is the greatest statement.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:27.157,00:01:32.487,It is the statement that will redeem us and will take us back to God's kingdom.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:32.487,00:01:38.896,"God will accept us back if we believe the statement, La Elaha Ella Allah.",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:38.896,00:01:41.215,In words and in deeds.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:41.215,00:01:43.849,"And yesterday, Mahmood made a discovery,",Dr. Rashad Khalifa,,00:01:41.215,Mahmood's Numerical Discovery
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:43.849,00:01:47.356,"I hope I'm not stealing his Khutba next week, but",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:47.356,00:01:55.668,"La Elaha Ella Allah, you know in Arabic looks like this: لا إلهَ إلاَّ اللَّه",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:55.668,00:01:59.003,"What Mahmood did, he put the gematrical value of these...",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:01:59.003,00:02:09.987,"L is 30, Alif is 1, 1, 30, 5, these are the numerical values of these letters next to each other",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:09.987,00:02:22.755,"30 1 1 30 5 1 30 1 1 30 30 5 = (19 X 1,584,897,436,901,595)",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:22.755,00:02:26.243,"This is La Elaha Ella Allah next to each other,",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:26.243,00:02:27.944,expressed in numbers.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:27.944,00:02:29.868,And this is a multiple of 19.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:29.868,00:02:33.173,It's quite a discovery.,Dr. Rashad Khalifa,,00:02:29.868,The Number 19 in the Body
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:33.173,00:02:40.801,"Cause as you know, God's stamp on everything is the number 19.",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:40.801,00:02:48.658,"On you, the number of bones in your body is 19 x 14 = 266.",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:48.658,00:02:52.608,"Excuse me, number of bones is 209 = 19 x 11",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:02:52.608,00:03:00.289,"and you were in your mother's womb, if you were a full-term baby, 266 days.",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:00.289,00:03:03.439,This is what we have in the science books.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:03.439,00:03:07.747,The embryology textbook at the school of medicine right here.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:07.747,00:03:10.236,266 days for a full-term baby.,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:10.236,00:03:16.102,"and La Elaha Ella Allah, the gematrical value is 19 multiple.",Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:16.102,00:03:29.553,"I want to reflect together with you, myself and you on the question ""who was your god last week?""",Dr. Rashad Khalifa,,00:03:16.102,Who Was Your God Last Week?
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:31.762,00:03:33.635,Who was your god last week?,Dr. Rashad Khalifa,,,
35 Friday Sermon by dr Rashad Khalifa Remember GOD Constantly Submitter vs Objector 1989 01 13,https://www.youtube.com/watch?v=Giya8_xs2iE,00:03:33.635,00:03:37.317,Don't answer me. Don't even shake your head. This is between you and yourself.,Dr. Rashad Khalifa,,,
