Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:07.348,00:00:20.561,La Elaha Ella Allah,Dr. Rashad Khalifa,"Prompted by a question relayed from Canada about the interval between the revelation of the Quran and the revelation of its mathematical code, Dr. Rashad Khalifa traces the early history of Islam: the Quran placed in the prophet's heart in one night of Ramadan, its gradual release through Gabriel, three years of secret preaching, a boycott outside Mecca, Omar's conversion, and the Hijra thirteen years later. He dates his own identification of 19 as the code's common denominator to January 1974, corresponding to the close of 1393 after the Hijra, and reports that adding the Christian and Hijra figures gives 1406, or 19 times 74, the number of the chapter in which 19 is mentioned, which he reads as evidence that this history was predestined. The second sermon urges attention to the Dawn Prayer, arguing that the Quran's own name for it requires it before sunrise, that rising for it lubricates the joints and strengthens the soul against the body, and that varying sunrise times work as a sifting process which gradually reduces the number who keep it. He also defends a previous week's khutba by Mahmood Abib, citing Abraham's request to have his heart assured, and returns to his own eight years of resistance to announcing his messengership, the test he now reads in Sura 17:94, and the case of Kassim Ahmad in Malaysia as a believer who accepted everything else but not the announcement. Related recording: the Dawn Prayer segment also appears appended to ""16 - Essentials of Submission (Islam)"" in this collection.",,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:29.089,00:00:30.410,Alhamdu Lillah.,Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:30.648,00:00:31.875,We praise God.,Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:31.875,00:00:35.532,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:35.532,00:00:41.741,And we bear witn. ss that there's only one God. We worship the one God who created the heavens and the Earth.,Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:41.741,00:00:49.475,"Douglas was supposed to give this KHUTBAH, but somebody called and apologized on his behalf. So, I'm stuck with the KHUTBAH.",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:00:49.475,00:01:00.740,"I just chat with you. I will have to go through a lesson in 
history for a while. Carl Skinner called from Canada",Dr. Rashad Khalifa,,00:00:49.475,A Question from Canada
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:00.740,00:01:09.555,"yesterday. He was talking about Islam to 
a bunch of students and one student asked him",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:09.555,00:01:15.500,"He was talking about the miracle in the Quran and 
how the Quran is mathematically composed beyond",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:15.500,00:01:21.110,"the human ability on the basis of the number 19. Every letter, every word in the Quran",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:21.110,00:01:26.630,"mathematically composed beyond the human ability, so 
we know that this is a book from God. So, that was",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:26.630,00:01:37.010,"the topic of his lecture. One student asked him 
""how long was it from the time the Quran was",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:37.010,00:01:43.957,"revealed to the time the miracle was revealed?"" 
And this is what I'm going to go through with you.",Dr. Rashad Khalifa,,00:01:37.010,The Night the Quran Was Revealed
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:45.270,00:01:54.240,"The prophet Muhammad was taken 
to heaven, to the seventh heaven and the Quran",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:54.240,00:01:58.740,"was placed in his heart in one night, 
the blessed night that's mentioned in",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:01:58.740,00:02:07.578,"SURA 44, specifically in the month of 
Ramadan. So, let's call this time zero.",Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:02:07.578,00:02:10.638,This is revelation of the Quran.,Dr. Rashad Khalifa,,,
36 Friday Sermon by dr Rashad Khalifa Revelation of Quran to Revelation of Miracle Importance of Daw,https://www.youtube.com/watch?v=zQLIUjxFIRw,00:02:18.054,00:02:27.170,"The prophet was sent back in the same night 
and the Quran was with the person, with the soul",Dr. Rashad Khalifa,,,
