Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:00:07.057,00:00:18.757,"Subhan Allah, Wa Alhamdu Lillah, Wa La Elaha Ella Allah (God be glorified, praise be to God, There is no other god besides God)",Dr. Rashad Khalifa,"Dr. Rashad Khalifa returns to the account of a crime committed billions of years ago in which creatures failed to uphold God's absolute authority, and to the angels' suggestion in Sura 38 that all such creatures be sent to Hell. Drawing on Sura 12:103 and 12:106, he argues that this explains why most people will not believe and why most who do believe will still idolize something, so that the whole universe exists for the redemption of a small minority, a fortune he compares to matching every number on a lottery ticket with a million numbers. The core of the sermon is his reading of Sura 21:51 on Abraham given his guidance because God already knew him, Sura 12 on Joseph diverted from sin, and Sura 28:68-69 on God creating and choosing, which he takes to mean that each person arrives already marked for the High Heaven, the lower Heaven or Hell, and that this explains the circumstances which brought each listener to the mosque. The second sermon notes that only a few years earlier they too were praying wrongly, restates that people who name God as creator can still be destined for Hell because they do not know God, and criticizes those who invoke God's will as an excuse for idolatry or for prohibiting what God did not prohibit.",,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:00:19.122,00:00:37.704,"Allahu Akbar, Allahu Akbar (God is the Supreme X2)",Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:00:37.704,00:00:59.143,"Allahu Akbar, Allahu Akbar (God is the Supreme X2)",Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:00:59.143,00:01:16.057,La Elaha Ella Allah (There is no other god besides God),Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:01:16.057,00:01:37.446,La Elaha Ella Allah (There is no other god besides God),Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:01:37.446,00:01:43.206,"Alhamdu Lillah, We praise God",Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:01:43.206,00:01:46.694,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:01:46.694,00:01:50.258,And we bear witness that there is no god except the one God.,Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:01:50.258,00:01:52.929,The Creator of the heavens and the Earth.,Dr. Rashad Khalifa,,,
37 Friday Sermon by dr Rashad Khalifa Original Sin Only GOD Guides Majority of Believers Are Going t,https://www.youtube.com/watch?v=TjVsEBcoQro,00:01:55.675,00:02:00.239,"As you know by now from Sura 38, verse 60 and 69,",Dr. Rashad Khalifa,,00:01:55.675,The Ancient Crime
