Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:08.578,00:00:14.400,ALLAH-O AKBAR,Dr. Rashad Khalifa,"Marking one year since his announcement, Dr. Rashad Khalifa devotes the sermon to the question posed by the May 1989 Muslim Perspective: why God would send a messenger now. He grounds the answer in Sura 2:151 and the three modes of divine communication described in Sura 43, then sets out his reasons, beginning with the projection that some 70 billion people are still to come against 6 billion who have lived so far, and the claim that the pure Quran God intends has never existed, since Uthman's committee arranged the chapters from the prophet's chronological copy and two verses were added at the end. The bulk of the sermon catalogues practices he says Muslims perform wrongly, the Azan, the nine steps of ablution, names added to the salat, zakat delayed a year rather than paid on receipt, the timing of Ramadan, a hajj compressed into a single day, and visits to the prophet's tomb, alongside a critique of laws prescribing execution and of contemporary events including the Pan Am bombing and Khomeini's suppression of free expression. The second sermon promises a gentler second year, reads Sura 43:21, Sura 23:44 and Sura 40 on messengers rejected in succession and on belief that arrives too late, and closes with the nineteen-word chapter of victory and his sense that this message has reached more people in a messenger's lifetime than any before it. Related recording: the segment arguing that zakat is due on receipt rather than annually also appears in ""16 - Essentials of Submission (Islam)"" in this collection.",,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:18.689,00:00:19.746,ALHAMDULILLAH.,Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:20.425,00:00:21.746,We praise God.,Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:22.043,00:00:25.681,"WA ASHHADU AN LA ILAHA ILLA ALLAH, WAHDAHU LA
SHAREEKA LAH.",Dr. Rashad Khalifa,,00:00:22.043,Opening and Welcomes
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:27.167,00:00:38.553,"I was hoping today that the sermon would be given by General Spooner, but he didn't make it yet. He'll be here tonight.",Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:38.553,00:00:47.314,"Meanwhile, I'm stuck. Cause he graduates this morning... he graduated this morning, 4 hours ago.",Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:48.036,00:00:54.091,And I was hoping I was gonna catch him to tell us about his experiences in the Marines.,Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:00:55.068,00:01:04.255,"I don't know if he'll call me ""sir"" when he comes here. On the telephone he said ""no way!""",Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:01:06.506,00:01:14.443,"And I notice we have a new member. She just joined us. And her name is Rashide, by the way.",Dr. Rashad Khalifa,,,
38 Friday Sermon by dr Rashad Khalifa Purpose of Messengers the Advent of the Pure Quran 1989 03 17,https://www.youtube.com/watch?v=ykEO0HzdgvM,00:01:14.443,00:01:21.539,"That's a dangerous name these days. Salman Rushdie, and Rashad Khalifa. Now, we have Rashide. What's your first name? What do they...",Dr. Rashad Khalifa,,,
