Video Title,Link,Start Time,End Time,Text,Speaker
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:00:14.122,00:00:27.641,"Subhan Allah, Wa Alhamdu Lillah, Wa La Elaha Ella Allah",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:00:27.641,00:01:09.290,Allahu Akbar (x4),
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:09.290,00:01:25.775,La Elaha Ella Allah,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:26.295,00:01:28.295,La Elaha Ella Allah.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:32.896,00:01:35.671,"Alhamdu Lillah, We praise God.",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:35.671,00:01:40.392,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:40.392,00:01:44.685,And we bear witness that there is no god except the one true God.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:47.806,00:01:52.612,Mat was supposed to give this Khutba but he was kind enough to make an exchange with me.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:52.612,00:01:55.364,"So, he will give the Khutba, IN SHAA ALLAH, next Friday.",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:01:55.364,00:02:00.480,"And I will give it today since I'll be out of town, IN SHAA ALLAH.",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:04.521,00:02:08.422,"Also, there are some exceptional circumstances, I think,",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:08.422,00:02:10.557,"in my opinion,",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:10.557,00:02:19.713,where there has been... the question has been increasingly bugging me,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:19.713,00:02:27.334,"because it is, some of my best friends, some of the people that I love very much are asking the question",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:27.334,00:02:29.580,"""Why announce messengership?""",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:29.580,00:02:33.643,"""Why does Rashad say that he is messenger of God?""",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:33.643,00:02:38.664,And I want to deal with this question.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:38.664,00:02:46.047,"""Why can't we worship God alone and forget about messengers, and messengership and all this business?""",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:46.047,00:02:50.133,And it is a very good question.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:50.133,00:02:52.229,A very important question.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:52.229,00:02:55.926,"But I want to start out by saying that,",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:55.926,00:02:59.063,"when you walk through this door,",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:02:59.063,00:03:03.483,"you carry a great responsibility,",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:03:03.483,00:03:08.300,you are either extremely fortunate or extremely miserable.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:03:08.300,00:03:15.210,"And hopefully, if our destiny Inshã Allah is Heaven for worshiping God alone,",
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:03:15.210,00:03:19.863,we will not see any of our friends become extremely miserable.,
39 Friday Sermon by dr Rashad Khalifa Why Announce Messengership 1989 08 11,https://www.youtube.com/watch?v=SjLp8919uQo,00:03:19.863,00:03:27.170,"We have to be all, we must all catch up with being extremely fortunate.",
