Video Title,Link,Start Time,End Time,Text,Speaker
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:00:12.104,00:00:25.193,Subhan Allah. Wa Alhamdu Lillah. Wa La Elaha Ella Allah.,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:00:30.169,00:01:05.858,"Allahu Akbar
Allahu Akbar
Allahu Akbar
Allahu Akbar",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:01:10.363,00:01:44.106,"La Elaha Ella Allah
La Elaha Ella Allah",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:01:44.772,00:01:46.643,La Elaha Ella Allah,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:01:46.643,00:01:48.511,There's an extra La Elaha Ella Allah.,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:01:56.560,00:01:59.841,Alhamdu Lillah. We praise God.,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:00.361,00:02:03.565,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:03.565,00:02:07.048,"And we bear witness that there is 
no god except the One God.",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:09.048,00:02:19.590,I think I have to explain this first. This is a gift from Naghmeh. And she got the biggest size they have. Extra large. She thinks I'm fat.,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:20.687,00:02:25.351,"So, may God bless her and send her a wonderful husband, IN SHAA ALLAH.",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:30.562,00:02:34.372,She and Apamea are inseparable. Edip is having rough time.,Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:40.635,00:02:47.370,"Today is really a fantastic day because we are going to share 
together God's gift to us as a result of the",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:47.370,00:02:57.510,"conference. As you know, God always gives us a gift every time we do something which is actually",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:02:57.510,00:03:04.303,"a gift from God. The conference itself is a gift 
from God but each one of us underwent efforts",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:03:04.303,00:03:14.457,"and financial sacrifices and time sacrifices. And where God sends... God is so generous. So, He sent us a gift",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:03:14.457,00:03:20.990,"that is two great miracles. Each one of them makes 
the parting of the Red Sea a tiny miracle.",Dr. Rashad Khalifa
40 Friday Sermon by dr Rashad Khalifa Proving Every Verse Word Letter with Irrefutable Evidence 1989,https://www.youtube.com/watch?v=z-T6559DUFc,00:03:21.734,00:03:29.700,"They're all God's miracles, the parting of the Red Sea, 
the miracles of Jesus and all the miracles we... we see",Dr. Rashad Khalifa
