Video Title,Link,Start Time,End Time,Text,Speaker
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:11.404,00:00:12.958,Alhamdu Lillah.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:12.958,00:00:14.755,We praise God.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:14.755,00:00:18.054,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:18.054,00:00:22.773,And we bear witness that there is no other god but the one God.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:22.773,00:00:34.063,"Last Friday, Abdullah presented to you evidence that the Friday prayer is mathematically coded. That it is required by God",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:34.063,00:00:41.663,to drop all business and come to the Friday prayer. He also presented evidence that the 2 sermons of the Friday prayer,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:41.663,00:00:48.208,are part of the prayer. They're counted as... in addition to the two units.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:48.208,00:00:58.763,"They complete the 4 units. So, I'm going to ask you to face this way. If you're not facing this way, to face this way. So, can you turn this way?",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:00:58.763,00:01:07.906,"Cause...as if you are in the prayer. You can stay on the chair. Ihsan, you can stay on the chair. As long as you are facing this direction, it's OK.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:01:11.559,00:01:18.661,"I have fantastic news for you, but I will keep it for the second KHUTBAH to ensure that everyone who is supposed to be here",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:01:18.661,00:01:29.512,"will be here. Meanwhile, I will... I want to thank many of you... most of you... all of you for wishing me a happy birthday last Friday.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:01:29.512,00:01:45.595,And I want to use this to reflect on God's omnipotence. And the predetermination of the world,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:01:45.595,00:01:48.813,so that we have the freedom of choice at the same time.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:01:55.347,00:02:07.179,"A submitter, by definition, submits to God and believes whatever God says. The opposite, the non-submitter will follow what the parents",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:02:07.179,00:02:19.284,"taught him or her. And this is repeated in the Quran in verse... SURA 2, verse 170. SURA 31, verse 21, and SURA 43, verses 22 and 23.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:02:19.284,00:02:25.789,"When they are told, the disbelievers, the non-submitters... when they are told ""follow what God says""",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:02:25.789,00:02:32.456,"They say ""no, we follow what our parents told us."" So, this is the difference between a submitter and non-submitter.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:02:32.456,00:02:41.396,"Because when you are born, you are a new generation. And in your lifetime, God will reveal new information and new knowledge.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:02:41.396,00:02:52.326,Knowledge is increasing in this world. And you are required to look at all this new knowledge and sift through it and accept or reject,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:02:52.326,00:03:05.364,whatever is... whatever God wants us to accept or reject. But God tells us in the Old Testament and the New Testament,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:03:05.364,00:03:20.756,"and the Final Testament, the Quran, that He will send the Messenger of the Covenant. So, I'm going to read some of these with you.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:03:20.756,00:03:38.462,"In the last book of the Old Testament. Here's the New Testament. In the last book of the Old Testament, Malachi, chapter 3",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:03:38.462,00:03:47.118,"under the subtitle, the Messenger of the Covenant: ""Lo, I am sending My messenger to prepare the way before Me.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:03:47.118,00:03:54.740,"And suddenly there will come to the temple, the Lord whom you seek and the Messenger of the Covenant whom you desire.""",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:03:54.740,00:04:16.527,"In the New Testament, in Luke 17:22. I'm gonna read it for you. Jesus is prophesying the coming of the Messenger of the Covenant.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:04:16.527,00:04:25.385,"Jesus said to the disciples ""a time will come when you will long to see one day of the son of man, but you will not see it.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:04:25.385,00:04:33.635,They will tell you he is to be found in this place or that. Do not go running about it excitedly. The son of man in his day,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:04:33.635,00:04:44.888,"will be like the lightning that flashes from one end of the day to the other. First, however, he must suffer much",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:04:44.888,00:04:52.691,"and be rejected by the present age. As it was in the days of Noah, so it will be in the days of the son of man.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:04:52.691,00:05:01.386,They ate and drank. They took husbands and wives right up to the day Noah entered the Ark. And when the flood came,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:01.386,00:05:14.465,it destroyed them all. It was much the same in the days of Lot. They ate and drank. They bought and sold. They built and planted.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:14.465,00:05:22.065,"But on the day, Lot left Sodom, fire and brimstone rained down from heaven and destroyed them all.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:22.065,00:05:30.193,It will be like that on the day of the son of man... It will be like that on the day the son of man is revealed.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:30.193,00:05:38.321,"On that day, if a man is on the rooftop and his belongings are in the house, he should not go down to get them.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:38.321,00:05:48.641,Neither should the man in the field return home. Remember Lot's wife. Whoever tries to preserve his life will lose it.,
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:48.641,00:05:56.448,"Whoever loses it keeps it."" And this is relevant to the second sermon... second KHUTBAH.",
42 Friday Sermon by dr Rashad Khalifa Proving Salat al Juma the Righteous Go Straight to Heaven 1989,https://www.youtube.com/watch?v=jKQBiifiywo,00:05:56.448,00:06:04.880,"""I tell you on that night, there will be two men in one bed. One will be taken and the other left.",
