Video Title,Link,Start Time,End Time,Text,Speaker,Description,TOC Time,TOC Title
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:00:32.073,00:00:45.589,Subhan Allah Wa Alhamdu Lillah Wa La Elaha Ella Allah,Dr. Rashad Khalifa,"Dr. Rashad Khalifa devotes the first sermon to numerical findings contributed by three people. He reviews what he calls the miracle of miracles, in which the units of the five daily prayers written alongside representations of Sura 1, including its verse count, letter counts and numerical values, produce multiples of 19 even when the order is reversed; presents Saeed Talari's tally of the Fatehahs, bowings, prostrations and tashahuds in each prayer; and adds Edip Yuksel's observation that the lips meet exactly nineteen times when Al-Fatehah is recited, together with Soad's finding that the letter-position values of Noah, Abraham and Muhammad match the verse counts of the chapters bearing their names. In the second sermon he speaks about his mother's death, which he learned of days after preaching that the righteous do not die but go straight to Heaven, and reads the sequence of events as an assurance of the kind promised in Sura 41:30. He describes a mocking telephone call that preceded the news, the circumstances of her death while waiting for a cup of tea, the funeral prayer in Egypt led unexpectedly by a believer who opened the Quran to the example of Pharaoh's wife, and contrasts his grief at his father's death, which he believes came in disbelief, with his present happiness. Related recording: the Sura 1 and prayer-unit finding reviewed at the start was first presented in ""48 - Friday Sermon The Heavenly Feud, The Importance of Killing the Ego (11-29-1989)"" in this collection.",,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:00:51.859,00:01:27.064,"Allahu Akbar
Allahu Akbar
Allahu Akbar
Allahu Akbar",Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:01:29.666,00:01:43.695,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:01:47.278,00:02:04.616,La Elaha Ella Allah,Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:02:06.419,00:02:08.764,Alhamdu Lillah. We praise God,Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:02:08.764,00:02:12.812,Wa Ash-hadu Alla Elaha Ella Allah Wahdahu La Shareeka Lah.,Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:02:12.812,00:02:16.672,And we bear witness that there is no other god beside the one God.,Dr. Rashad Khalifa,,00:02:12.812,Three Khutbas on Behalf of Three People
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:02:17.870,00:02:25.481,"Are we gonna have 
fun today? I'm giving 3 KHUTBAHs on behalf of three people.",Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:02:26.547,00:02:37.022,I'm giving KHUTBAH on behalf of Edip and a KHUTBAH on behalf of Soad and a KHUTBAH on behalf of Saeed Talari from Newhampshire.,Dr. Rashad Khalifa,,,
43 Friday Sermon by dr Rashad Khalifa Miracle of Miracles al fateha Proving the Five Salat 1989 12 0,https://www.youtube.com/watch?v=giPezcvmffA,00:02:37.832,00:02:50.000,I'm presenting to you some things that they discovered in the last week. And they're all fantastic. You have all witnessed,Dr. Rashad Khalifa,,,
