Video Title,Link,Start Time,End Time,Text,Speaker
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:04.017,00:00:06.000,We praise God.,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:06.000,00:00:09.177,"WA ASHHADU AN LA ILLAAHA ELLAA ALLAAH, VAHDAHU LAA SHARIKA LAH",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:09.177,00:00:14.247,and we bear witness that there is no god except the one God.,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:15.940,00:00:22.451,"Since I was not scheduled to give the Friday KHUTBA, I did not prepare anything. So, I will just chat with you.",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:24.760,00:00:38.873,And I will mix my Friday sermon with my scheduled welcome for all of you. It is really,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:38.873,00:00:46.883,a privilege and an honor for me to welcome the most important people on Earth. You are the most important people on Earth.,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:00:47.690,00:01:00.000,"You have come to the realization that God is omnipotent, omniscient and he sees the path ahead of us",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:00.000,00:01:11.168,"and can make better choices than we can do. Then, you decided to submit all your affairs in God's hand.",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:11.168,00:01:17.738,"God repeatedly says in the Quran that 
only those who possess intelligence will come to me.",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:17.738,00:01:28.184,"As you know from your own experiences by now, it is not easy to worship God alone",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:28.184,00:01:37.256,to uphold the word of God alone. You have come to realize that you are a privileged minority of a minority,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:37.256,00:01:40.573,"Better, better expression is elite of the elite.",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:41.526,00:01:42.467,"In the Quran, it is",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:42.467,00:01:44.709,(56:10) ٱلسَّـٰبِقُونَ ٱلسَّـٰبِقُونَ,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:44.709,00:01:54.935,"In SURA 56, God described the very special people who come to 
the realization that God alone possesses all power",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:01:54.935,00:02:04.835,"and decide to live their lives devoted to God 
alone. God is the only priority in their lives.",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:07.690,00:02:16.170,"So, you can see why it is indeed an honor to me 
to welcome the most important people on Earth.",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:16.170,00:02:22.722,"You've succeeded in attaining 
this worshipping God alone",Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:22.722,00:02:28.928,and upholding his word alone. God says in the Quran in SURA number 3,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:28.928,00:02:30.939,God ordered us to say...,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:30.939,00:02:31.916,قل say,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:31.916,00:02:33.264,ٱللَّهُمَّ,Dr. Rashad Khalifa
44 United Submitters International Conference Friday Sermon by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=P-G9Y2ayqkM,00:02:33.264,00:02:34.178,our God,Dr. Rashad Khalifa
