Video Title,Link,Start Time,End Time,Text,Speaker
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:06.073,00:00:08.073,1987,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:08.876,00:00:10.977,A summary of what you call to,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:11.978,00:00:15.515,"We call to the worship of GOD alone, associating nothing with Him",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:15.749,00:00:17.584,That is the best thing one can say,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:28.128,00:00:30.664,"That is in general terms, but what are the specifics?",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:31.197,00:00:34.701,"No, by GOD, that statement is both the general principle and the detail",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:34.768,00:00:39.506,"""We did not send any messenger before you except with the inspiration: 'There is no god except Me; you shall worship Me alone.'"" [21:25]",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:39.572,00:00:41.241,This is the message of all the messengers,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:41.374,00:00:45.645,Meaning there is no disagreement on this — praise be to GOD — and it is a good sign,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:45.779,00:00:49.549,But there may be branches that stem from the conclusions,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:50.650,00:00:53.620,Reaching certain matters through his reasoning,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:00:54.020,00:00:57.590,Which could be a ground for...,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:06.734,00:01:14.841,GOD Almighty has made the purpose of human existence the realization of servitude to Him,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:15.375,00:01:20.847,"But for this servitude, He has legislated means by which it is to be fulfilled",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:20.915,00:01:26.419,"Among them: remembrances, acts of worship, and dealings",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:27.120,00:01:32.926,And He made the path to achieving this through following the messenger (PBUH),
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:32.926,00:01:36.729,"""Proclaim: 'If you love GOD, you should follow me.' GOD will then love you"" [3:31]",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:36.996,00:01:38.996,"""Whoever obeys the messenger is obeying GOD"" [4:80]",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:40.166,00:01:42.502,So the goal is correct — it is servitude,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:42.502,00:01:45.472,But the means to achieve this goal,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:46.072,00:01:47.740,For us Muslims,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:47.740,00:01:51.244,Can only come through following the messenger (PBUH),
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:51.244,00:01:51.945,Correct,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:53.680,00:01:55.648,That is the issue at hand,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:55.682,00:01:56.516,Right,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:01:58.700,00:02:00.186,"Correct, that's right",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:00.720,00:02:01.521,MashaAllah,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:01.588,00:02:03.356,There's no doubt,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:03.356,00:02:04.390,So the whole matter,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:04.524,00:02:10.363,"As I've started with the verse: ""We did not send any messenger before you except with the inspiration: there is no god except Me; you shall worship Me alone"" [21:25]",
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:11.197,00:02:12.332,This is the message of the messenger,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:12.332,00:02:13.099,Every messenger,
Debate: Dr Rashad Khalifa Ph D vs Sunni Scholars (1987),https://www.youtube.com/watch?v=iRB21i_238Q,00:02:14.801,00:02:18.138,"Our Lord, Glorified and Exalted, sent us the messengers telling us",
