appendix_number,title,pdf_start_page,pdf_end_page,printed_start_page,printed_end_page
1,Secret Quranic Proof Unveiled: An Historical Landmark,483,495,471,483
2,We Made the Quran Easy to Memorize,496,497,484,485
3,Why was the Quran Revealed in Arabic?,498,499,486,487
4,Heaven and Hell,500,500,488,488
5,Greatness of God,501,501,489,489
6,Why Were We Created?,502,503,490,491
7,The Myth of Intercession,504,504,492,492
8,Abraham: Founder of Islam,505,505,493,493
9,God’s Plural Tense Throughout Quran,506,506,494,494
10,The Day of Resurrection,507,510,495,498
11,Role of the Prophet,511,514,499,502
12,Predestination,515,515,503,503
13,Dietary Prohibitions,516,516,504,504
14,Death,517,517,505,505
15,Quran: All You Need,518,518,506,506
16,Hadith and the Quran’s Secret Code,519,520,507,508
17,Quran: Unlike Any Other Book,521,521,509,509
18,Satan: Fallen Angel,522,523,510,511
19,The Bible's Preview of Muhammad,524,537,512,525
