chapter_number,toc_title,pdf_start_page,pdf_end_page,printed_start_page,printed_end_page,chapter_verses,title_english_1981,title_parenthetical_1981
1,The Opener (Al-Fatihah),13,13,1,1,7,The Opener,Al-Fatihah
2,The Heifer (Al-Baqarah),14,44,2,32,286,The Heifer,Al-Baqarah
3,Ali-lmran (The Family of Imran),45,62,33,50,200,Ali-lmran,The Family of Imran
4,Women (Al-Nisaa’),63,81,51,69,176,Women,Al-Nisaa’
5,The Feast (Al-Maa’idah),82,96,70,84,120,The Feast,Al-Maa’idah
6,Livestock (Al-An’aam),97,113,85,101,165,Livestock,Al-An’aam
7,The Purgatory (Al-A'raaf),114,131,102,119,206,The Purgatory,Al-A'raaf
8,The Spoils of War (Al-Anfaal),132,137,120,125,75,The Spoils of War,Al-Anfaal
9,Repentance (Al-Tawbah),138,149,126,137,127,Repentance,Al-Tawbah
10,Jonah (Yoonus),150,158,138,146,109,Jonah,Yoonus
11,Hood,159,167,147,155,123,Hood,
12,Joseph (Yusuf),168,176,156,164,111,Joseph,Yusuf
13,Thunder (Al-Ra’d),177,181,165,169,43,Thunder,Al-Ra’d
14,Abraham (Ibrahim),182,185,170,173,52,Abraham,Ibrahim
15,Al-Hijr Valley (Al-Hijr),186,189,174,177,99,Al-Hijr Valley,Al-Hijr
16,The Bee (Al-Nahl),190,198,178,186,128,The Bee,Al-Nahl
17,The Children of Israel (Bani Israel),199,208,187,196,111,The Children of Israel,Bani Israel
18,The Cave (Al-Kahf),209,217,197,205,110,The Cave,Al-Kahf
19,Mary (Maryam),218,223,206,211,98,Mary,Maryam
20,T. H. (Ta Ha),224,230,212,218,135,T. H.,Ta Ha
21,The Prophets (Al-Anbyaa’),231,237,219,225,112,The Prophets,Al-Anbyaa’
22,Pilgrimage (Al-Hajj),238,244,226,232,78,Pilgrimage,Al-Hajj
23,The Believers (Al-Mu’minoon),245,250,233,238,118,The Believers,Al-Mu’minoon
24,Light (Al-Noor),251,256,239,244,64,Light,Al-Noor
25,The Statute Book (Al-Furqan),257,261,245,249,77,The Statute Book,Al-Furqan
26,The Poets (Al-Shu’araa’),262,269,250,257,227,The Poets,Al-Shu’araa’
27,The Ant (Al-Naml),270,275,258,263,93,The Ant,Al-Naml
28,History (Al-Qasas),276,281,264,269,88,History,Al-Qasas
29,The Spider (Al-'Ankaboot),282,287,270,275,69,The Spider,Al-'Ankaboot
30,The Romans (Al-Room),288,291,276,279,60,The Romans,Al-Room
31,Luqmaan,292,294,280,282,34,Luqmaan,
32,Prostration (Al-Sajdah),295,296,283,284,30,Prostration,Al-Sajdah
33,The Allies (Al-Ahzaab),297,303,285,291,73,The Allies,Al-Ahzaab
34,Sheba (Saba’),304,307,292,295,54,Sheba,Saba’
35,Initiator (Faatir),308,311,296,299,45,Initiator,Faatir
36,Y. S. (Ya Seen),312,315,300,303,83,Y. S.,Ya Seen
37,The Columns (Al Saaffaat),316,321,304,309,182,The Columns,Al Saaffaat
38,S. (Saad),322,325,310,313,88,S.,Saad
39,The Throngs (Al-Zumar),326,332,314,320,75,The Throngs,Al-Zumar
40,Forgiver (Ghaafir),333,339,321,327,85,Forgiver,Ghaafir
41,Elucidated (Fussilat),340,345,328,333,54,Elucidated,Fussilat
42,Consensus (Al-Shoora),346,350,334,338,53,Consensus,Al-Shoora
43,Vanity (Al-Zukhruf),351,355,339,343,89,Vanity,Al-Zukhruf
44,Smoke (Al-Dukhan),356,358,344,346,59,Smoke,Al-Dukhan
45,Humbled (Al-Jaathiyah),359,361,347,349,37,Humbled,Al-Jaathiyah
46,The Dunes (Al-Ahqaf),362,365,350,353,35,The Dunes,Al-Ahqaf
47,Muhammad,366,368,354,356,38,Muhammad,
48,Bounty (Al-Fatt-h),369,371,357,359,29,Bounty,Al-Fatt-h
49,The Dwelling (Al-Hujuraat),372,374,360,362,18,The Dwelling,Al-Hujuraat
50,Q,375,377,363,365,45,Q,
51,The Winds (Al-Dhaariyaat),378,380,366,368,60,The Winds,Al-Dhaariyaat
52,Mount Sinai (Al-Toor),381,382,369,370,49,Mount Sinai,Al-Toor
53,The Star (Al-Najm),383,385,371,373,62,The Star,Al-Najm
54,The Moon (Al-Qamar),386,388,374,376,55,The Moon,Al-Qamar
55,Most Gracious (Al-Rahmaan),389,392,377,380,78,Most Gracious,Al-Rahmaan
56,The Inevitable (Al-Waaqi’ah),393,396,381,384,96,The Inevitable,Al-Waaqi’ah
57,Iron (Al-Hadeed),397,399,385,387,29,Iron,Al-Hadeed
58,The Debate (Al-Majaadalah),400,402,388,390,22,The Debate,Al-Majaadalah
59,Exodus (Al-Hashr),403,405,391,393,24,Exodus,Al-Hashr
60,The Tested Woman (Al-Mumtahanah),406,407,394,395,13,The Tested Woman,Al-Mumtahanah
61,The Column (Al-Saff),408,408,396,396,14,The Column,Al-Saff
62,Friday (Al-Jumu’ah),409,409,397,397,11,Friday,Al-Jumu’ah
63,The Hypocrites (Al-Munaafiqoon),410,410,398,398,11,The Hypocrites,Al-Munaafiqoon
64,Mutual Blaming (Al-Taghaabun),411,412,399,400,18,Mutual Blaming,Al-Taghaabun
65,Divorce (Al-Talaaq),413,414,401,402,12,Divorce,Al-Talaaq
66,Prohibition (Al-Tahreem),415,416,403,404,12,Prohibition,Al-Tahreem
67,Kingship (Al-Mulk),417,418,405,406,30,Kingship,Al-Mulk
68,The Pen (Al-Qalam),419,420,407,408,52,The Pen,Al-Qalam
69,The Reality (Al-Haaqqah),421,422,409,410,52,The Reality,Al-Haaqqah
70,The Heights (Al-Ma’aarij),423,424,411,412,44,The Heights,Al-Ma’aarij
71,Noah,425,426,413,414,28,Noah,
72,The Jinns (Al-Jinn),427,428,415,416,28,The Jinns,Al-Jinn
73,Wrapped Up (Al-Muzzammil),429,430,417,418,20,Wrapped Up,Al-Muzzammil
74,The Hidden Secret (Al-Muddath-thir),431,433,419,421,56,The Hidden Secret,Al-Muddath-thir
75,Resurrection (Al-Qiyaamah),434,435,422,423,40,Resurrection,Al-Qiyaamah
76,The Human (Al-Insaan),436,437,424,425,31,The Human,Al-Insaan
77,Dispatched (Al-Mursalaat),438,439,426,427,50,Dispatched,Al-Mursalaat
78,The Event (Al-Naba’),440,441,428,429,40,The Event,Al-Naba’
79,The Snatchers (Al-Naazi’aat),442,443,430,431,46,The Snatchers,Al-Naazi’aat
80,He Frowned (’Abasa),444,445,432,433,42,He Frowned,’Abasa
81,The Rolling (Al-Takweer),446,446,434,434,29,The Rolling,Al-Takweer
82,The Shattering (Al-Infitaar),447,447,435,435,19,The Shattering,Al-Infitaar
83,The Cheaters (Al-Mutaffifeen),448,449,436,437,36,The Cheaters,Al-Mutaffifeen
84,The Splitting (Al-Inshiqaaq),450,450,438,438,25,The Splitting,Al-Inshiqaaq
85,The Constellations (Al-Burooj),451,451,439,439,22,The Constellations,Al-Burooj
86,The Bright Star (Al-Tariq),452,452,440,440,17,The Bright Star,Al-Tariq
87,The Most High (Al-A’la),453,453,441,441,19,The Most High,Al-A’la
88,The Overwhelming (Al-Ghaashiyah),454,454,442,442,26,The Overwhelming,Al-Ghaashiyah
89,Dawn (Al-Fajr),455,456,443,444,30,Dawn,Al-Fajr
90,The Town (Al-Balad),457,457,445,445,20,The Town,Al-Balad
91,The Sun (Al-Shams),458,458,446,446,15,The Sun,Al-Shams
92,The Night (Al-Layl),459,459,447,447,21,The Night,Al-Layl
93,The Forenoon (Al-Duhaa),460,460,448,448,11,The Forenoon,Al-Duhaa
94,Cooling the Temper (Al-Sharh),461,461,449,449,8,Cooling the Temper,Al-Sharh
95,The Fig (Al-Teen),462,462,450,450,8,The Fig,Al-Teen
96,The Clot (Al-Alaq),463,463,451,451,19,The Clot,Al-Alaq
97,Power (Al-Qadr),464,464,452,452,5,Power,Al-Qadr
