chapter_number,placement_before_verse,verse_id,text,pdf_page,printed_page,bbox,bbox_normalized,later_edition_candidates_same_verse,exact_match_to_later_edition
2,2,2:2,Three Categories of People,14,2,"[491.0, 702.421, 1107.999, 754.575]","[0.288824, 0.256358, 0.651764, 0.275392]",,False
2,2,2:2,D)The Righteous,14,2,"[618.0, 781.603, 961.996, 832.199]","[0.363529, 0.285257, 0.56588, 0.303722]",,False
2,6,2:6,2} The Disbelievers,14,2,"[593.0, 1232.603, 987.994, 1283.199]","[0.348824, 0.449855, 0.581173, 0.468321]",(2) The Disbelievers,False
2,8,2:8,Q^The Hypocrites,14,2,"[606.0, 1579.083, 976.995, 1626.411]","[0.356471, 0.576308, 0.574703, 0.593581]",(3) The Hypocrites,False
2,20,2:20,The Light of Faith,15,3,"[728.0, 1354.603, 1088.004, 1405.199]","[0.428235, 0.499669, 0.640003, 0.518332]",The Light of Faith,True
2,24,2:24,Heaven and Hell Allegorically Described,15,3,"[511.0, 2174.603, 1309.99, 2225.199]","[0.300588, 0.802141, 0.770582, 0.820804]",Allegorical Description of Hell,False
2,29,2:29,Two Deaths and Two Lives,16,4,"[528.0, 1022.274, 1082.012, 1075.939]","[0.310588, 0.375974, 0.636478, 0.395711]",,False
2,30,2:30,Creation of Man,16,4,"[628.0, 1615.603, 960.006, 1666.199]","[0.369412, 0.59419, 0.564709, 0.612799]","Satan: A Temporary ""god""*",False
2,40,2:40,The Children of Israel*,17,5,"[697.0, 1505.421, 1153.003, 1557.575]","[0.41, 0.555711, 0.678237, 0.574963]","Divine Commandments to All Jews: ""You Shall Believe in This Quran.""",False
2,57,2:57,In Sinai,19,7,"[864.0, 291.603, 1022.001, 342.199]","[0.508235, 0.107286, 0.601177, 0.125901]",,False
2,62,2:62,Minimum Requirement for Salvation,19,7,"[584.0, 1611.603, 1300.013, 1662.199]","[0.343529, 0.592937, 0.764714, 0.611552]",Unity of All Submitters,False
2,63,2:63,The Covenant,19,7,"[800.0, 1983.421, 1086.999, 2035.575]","[0.470588, 0.729736, 0.639411, 0.748924]",Covenant with Israel,False
2,67,2:67,The Heifer*,20,8,"[669.0, 280.083, 904.998, 327.411]","[0.393529, 0.102858, 0.532352, 0.120239]",The Heifer*,True
2,80,2:80,Heaven and Hell are Eternal,21,9,"[611.0, 293.822, 1182.995, 342.812]","[0.359412, 0.108102, 0.69588, 0.126127]",Eternity of Heaven and Hell*,False
2,83,2:83,The Children of Israel Rebel,21,9,"[620.0, 930.603, 1178.005, 981.199]","[0.364706, 0.342385, 0.692944, 0.361]",The Commandments,False
2,97,2:97,Gabriel Mediated the Revelation,22,10,"[501.0, 1729.822, 1142.004, 1778.812]","[0.294706, 0.637135, 0.671767, 0.655179]",Gabriel Mediates the Revelation,False
2,102,2:102,Sorcery Prohibited,23,11,"[708.0, 632.083, 1085.004, 679.411]","[0.416471, 0.232811, 0.638237, 0.250244]",Witchcraft Condemned,False
2,104,2:104,Playing on Words,23,11,"[725.0, 1451.071, 1081.002, 1507.639]","[0.426471, 0.534464, 0.635884, 0.5553]",Twisting the Words of Supplication,False
2,105,2:105,Superceding Previous Revelations,23,11,"[560.0, 1752.822, 1227.982, 1801.812]","[0.329412, 0.645607, 0.722342, 0.663651]",Jealousy Condemned,False
2,111,2:111,Submission: Key to Salvation,24,12,"[510.0, 683.606, 1120.995, 768.459]","[0.3, 0.251789, 0.659409, 0.283042]","All Believers Are Redeemed, Regardless of the Name of Their Religion",False
2,124,2:124,Abraham Passes the Test,25,13,"[643.0, 699.274, 1161.002, 752.939]","[0.378235, 0.257465, 0.682942, 0.277224]",Abraham,False
2,142,2:142,Abolition of Prejudice and Bigotry,27,15,"[574.0, 301.126, 1247.263, 352.351]","[0.337647, 0.110871, 0.733684, 0.129732]",Abolition of Bigotry and Prejudice*,False
2,148,2:148,Steadfastness Required,28,16,"[595.0, 1161.36, 1063.257, 1210.959]","[0.35, 0.428546, 0.625445, 0.446848]",,False
2,148,2:148,Hajj Pilgrimage,28,16,"[672.0, 1853.959, 974.242, 1900.133]","[0.395294, 0.684118, 0.573083, 0.701156]",,False
2,165,2:165,Overwhelming Signs of God,29,17,"[620.0, 790.822, 1181.003, 839.812]","[0.364706, 0.292032, 0.694707, 0.310123]",The Idols Disown Their Idolizers*,False
2,165,2:165,The Idol Worshipers Disowned by Their Idols,29,17,"[450.0, 1174.786, 1348.991, 1227.777]","[0.264706, 0.43382, 0.793524, 0.453389]",The Idols Disown Their Idolizers*,False
2,168,2:168,Free Mind Prerequisite for Salvation,29,17,"[539.0, 1881.822, 1257.994, 1930.812]","[0.317059, 0.694912, 0.739996, 0.713003]",Satan Prohibits Lawful Things,False
2,172,2:172,Dietary Regulations,30,18,"[607.0, 656.822, 1000.01, 705.812]","[0.357059, 0.24139, 0.588241, 0.259394]",Only Four Meats Prohibited*,False
2,178,2:178,Righteousness Defined,30,18,"[544.0, 1542.557, 1085.747, 1605.073]","[0.32, 0.566908, 0.638674, 0.589884]",Discouraging Capital Punishment*,False
2,180,2:180,Leave a Will Before Death,31,19,"[628.0, 624.158, 1158.995, 679.294]","[0.369412, 0.229892, 0.681762, 0.2502]",Write A Will,False
2,183,2:183,Fasting Reinforced and Revised*,31,19,"[561.0, 1293.205, 1223.736, 1360.138]","[0.33, 0.476319, 0.719845, 0.500972]",Fasting Emphasized and Modified*,False
2,188,2:188,Dishonesty and Bribery Prohibited,32,20,"[468.0, 991.822, 1149.991, 1040.812]","[0.275294, 0.363571, 0.676465, 0.381529]","Bribery, Corruption Condemned",False
2,189,2:189,Do Not Beat Around the Bush*,32,20,"[496.0, 1339.603, 1126.993, 1390.199]","[0.291765, 0.491057, 0.662937, 0.509604]",Do Not Beat Around the Bush,False
