pdf_page,printed_page,line_order,text,bbox,bbox_normalized
538,526,1,Index,"[741.0, 171.728, 859.746, 216.889]","[0.435882, 0.062652, 0.505733, 0.079128]"
538,526,2,"Aad, the rebellious people, 7:65, 74; 9:70; 11:50, 59, 60; 14:9; 22:42; 25:38;","[50.0, 234.283, 1546.253, 299.796]","[0.029412, 0.085474, 0.909561, 0.109375]"
538,526,3,"26:123; 29:38; 38:12; 40:13, 15; 46:21; 50:13; 51:41; 53:50; 54:18; 69:4, 6;","[50.0, 291.771, 1547.24, 346.661]","[0.029412, 0.106447, 0.910141, 0.126473]"
538,526,4,89:6.,"[50.0, 346.661, 1547.24, 401.552]","[0.029412, 0.126473, 0.910141, 0.146498]"
538,526,5,"Aaron, 2:248; 4:163; 6:84; 7:122, 142; 10:75; 19:28, 53; 20:30, 70, 90, 92; 21:48;","[50.0, 401.552, 1547.24, 456.442]","[0.029412, 0.146498, 0.910141, 0.166524]"
538,526,6,"23:45; 25:35; 26:13, 48; 28:34; 37:114, 120.","[50.0, 450.723, 974.248, 504.744]","[0.029412, 0.164438, 0.573087, 0.184146]"
538,526,7,"Abel, son of Adam, 5:27-32.","[50.0, 504.744, 974.248, 558.765]","[0.029412, 0.184146, 0.573087, 0.203854]"
538,526,8,"Ablution, 4:43; 5:6.","[50.0, 558.765, 974.248, 612.786]","[0.029412, 0.203854, 0.573087, 0.223563]"
538,526,9,"Abnormal sex between spouses discouraged, 2:222-223.","[51.0, 613.757, 1311.243, 666.91]","[0.03, 0.223917, 0.771319, 0.243309]"
538,526,10,Abnormal sex condemned (see Homosexuality),"[51.0, 666.91, 1311.243, 720.063]","[0.03, 0.243309, 0.771319, 0.262701]"
538,526,11,"Abolition of Slavery, gradual, 2:177; 4:92; 5:89; 9:60; 58:3; 90:13.","[51.0, 720.063, 1311.243, 773.217]","[0.03, 0.262701, 0.771319, 0.282093]"
538,526,12,"Abortion, prohibited, 6:151; 17:31; 60:12.","[51.0, 773.217, 1311.243, 826.37]","[0.03, 0.282093, 0.771319, 0.301485]"
538,526,13,"Abraham, 2:124, 127, 130-133, 135-136, 140, 258, 260; 3:33,65,67-68,84,95,97","[52.0, 823.712, 1545.258, 877.252]","[0.030588, 0.300515, 0.908975, 0.320048]"
538,526,14,"4:54, 125, 163; 6:74-75, 83, 161; 9:70, 114; 11:69, 74-76; 12:6, 38; 14:35","[52.0, 877.252, 1545.258, 930.793]","[0.030588, 0.320048, 0.908975, 0.339582]"
538,526,15,"15:51; 16:120, 123; 19:41, 46, 58; 21:51, 60, 62, 69; 22:26, 43, 78; 26:69","[52.0, 930.793, 1545.258, 984.334]","[0.030588, 0.339582, 0.908975, 0.359115]"
538,526,16,"29:16, 31; 33:7; 37:83, 104, 109; 38:45; 42:13; 43:26; 51:24; 53:37; 57:26","[52.0, 984.334, 1545.258, 1037.875]","[0.030588, 0.359115, 0.908975, 0.378648]"
538,526,17,60:4; 87:19.,"[52.0, 1037.875, 1545.258, 1091.416]","[0.030588, 0.378648, 0.908975, 0.398182]"
538,526,18,"Abrogate, nothing shall abrogate the words of God, 2:211; 6:34, 115; 10:64;","[52.0, 1091.416, 1545.258, 1144.957]","[0.030588, 0.398182, 0.908975, 0.417715]"
538,526,19,"18:27; Muhammad cannot abrogate Quran, 10:15, footnote 24:1-2; 42:24.","[52.0, 1143.831, 1543.241, 1196.949]","[0.030588, 0.417304, 0.907789, 0.436683]"
538,526,20,"Abrogation, of previous revelations, 2:106; 3:50; 5:48; 6:146; 16:101, 124.","[52.0, 1196.949, 1543.241, 1250.067]","[0.030588, 0.436683, 0.907789, 0.456063]"
538,526,21,"Abu Lahab, Muhammad’s uncle, condemned, 111:1-5.","[52.0, 1244.771, 1166.242, 1299.637]","[0.030588, 0.45413, 0.686025, 0.474147]"
538,526,22,"Abuse, of previous scriptures, 2:75; 4:46; 5:13, 41.","[52.0, 1299.637, 1166.242, 1354.504]","[0.030588, 0.474147, 0.686025, 0.494164]"
538,526,23,"Abuse, of Quran, 15:90-91; 33:43, 56; 33:21; 60:4, 6; 53:3.","[52.0, 1354.504, 1166.242, 1409.37]","[0.030588, 0.494164, 0.686025, 0.514181]"
538,526,24,"Accuse, without proof condemned, 4:112; 24:4, 6, 11-21, 23; 49:6, 12.","[53.0, 1402.771, 1391.25, 1458.571]","[0.031176, 0.511774, 0.818382, 0.532131]"
538,526,25,"Adam, 2:31, 37; 3:33, 59; 5:27; 7:11, 19; 17:61; 18:50; 20:115-121.","[53.0, 1458.571, 1391.25, 1514.37]","[0.031176, 0.532131, 0.818382, 0.552488]"
538,526,26,"Adoption, 33:4-5, 37.","[54.0, 1514.831, 1547.25, 1567.451]","[0.031765, 0.552656, 0.910147, 0.571854]"
