sura_number,name_1981,chapter_verses,pdf_start_page,printed_start_page
1,The Opener (Al-Fatihah),7,13,1
2,The Heifer (Al-Baqarah),286,14,2
3,Ali-lmran (The Family of Imran),200,45,33
4,Women (Al-Nisaa’),176,63,51
5,The Feast (Al-Maa’idah),120,82,70
6,Livestock (Al-An’aam),165,97,85
7,The Purgatory (Al-A'raaf),206,114,102
8,The Spoils of War (Al-Anfaal),75,132,120
9,Repentance (Al-Tawbah),127,138,126
10,Jonah (Yoonus),109,150,138
11,Hood,123,159,147
12,Joseph (Yusuf),111,168,156
13,Thunder (Al-Ra’d),43,177,165
14,Abraham (Ibrahim),52,182,170
15,Al-Hijr Valley (Al-Hijr),99,186,174
16,The Bee (Al-Nahl),128,190,178
17,The Children of Israel (Bani Israel),111,199,187
18,The Cave (Al-Kahf),110,209,197
19,Mary (Maryam),98,218,206
20,T. H. (Ta Ha),135,224,212
21,The Prophets (Al-Anbyaa’),112,231,219
22,Pilgrimage (Al-Hajj),78,238,226
23,The Believers (Al-Mu’minoon),118,245,233
24,Light (Al-Noor),64,251,239
25,The Statute Book (Al-Furqan),77,257,245
26,The Poets (Al-Shu’araa’),227,262,250
27,The Ant (Al-Naml),93,270,258
28,History (Al-Qasas),88,276,264
29,The Spider (Al-'Ankaboot),69,282,270
30,The Romans (Al-Room),60,288,276
31,Luqmaan,34,292,280
32,Prostration (Al-Sajdah),30,295,283
33,The Allies (Al-Ahzaab),73,297,285
34,Sheba (Saba’),54,304,292
35,Initiator (Faatir),45,308,296
36,Y. S. (Ya Seen),83,312,300
37,The Columns (Al Saaffaat),182,316,304
38,S. (Saad),88,322,310
39,The Throngs (Al-Zumar),75,326,314
40,Forgiver (Ghaafir),85,333,321
41,Elucidated (Fussilat),54,340,328
42,Consensus (Al-Shoora),53,346,334
43,Vanity (Al-Zukhruf),89,351,339
44,Smoke (Al-Dukhan),59,356,344
45,Humbled (Al-Jaathiyah),37,359,347
46,The Dunes (Al-Ahqaf),35,362,350
47,Muhammad,38,366,354
48,Bounty (Al-Fatt-h),29,369,357
49,The Dwelling (Al-Hujuraat),18,372,360
50,Q,45,375,363
51,The Winds (Al-Dhaariyaat),60,378,366
52,Mount Sinai (Al-Toor),49,381,369
53,The Star (Al-Najm),62,383,371
54,The Moon (Al-Qamar),55,386,374
55,Most Gracious (Al-Rahmaan),78,389,377
56,The Inevitable (Al-Waaqi’ah),96,393,381
57,Iron (Al-Hadeed),29,397,385
58,The Debate (Al-Majaadalah),22,400,388
59,Exodus (Al-Hashr),24,403,391
60,The Tested Woman (Al-Mumtahanah),13,406,394
61,The Column (Al-Saff),14,408,396
62,Friday (Al-Jumu’ah),11,409,397
63,The Hypocrites (Al-Munaafiqoon),11,410,398
64,Mutual Blaming (Al-Taghaabun),18,411,399
65,Divorce (Al-Talaaq),12,413,401
66,Prohibition (Al-Tahreem),12,415,403
67,Kingship (Al-Mulk),30,417,405
68,The Pen (Al-Qalam),52,419,407
69,The Reality (Al-Haaqqah),52,421,409
70,The Heights (Al-Ma’aarij),44,423,411
71,Noah,28,425,413
72,The Jinns (Al-Jinn),28,427,415
73,Wrapped Up (Al-Muzzammil),20,429,417
74,The Hidden Secret (Al-Muddath-thir),56,431,419
75,Resurrection (Al-Qiyaamah),40,434,422
76,The Human (Al-Insaan),31,436,424
77,Dispatched (Al-Mursalaat),50,438,426
78,The Event (Al-Naba’),40,440,428
79,The Snatchers (Al-Naazi’aat),46,442,430
80,He Frowned (’Abasa),42,444,432
81,The Rolling (Al-Takweer),29,446,434
82,The Shattering (Al-Infitaar),19,447,435
83,The Cheaters (Al-Mutaffifeen),36,448,436
84,The Splitting (Al-Inshiqaaq),25,450,438
85,The Constellations (Al-Burooj),22,451,439
86,The Bright Star (Al-Tariq),17,452,440
87,The Most High (Al-A’la),19,453,441
88,The Overwhelming (Al-Ghaashiyah),26,454,442
89,Dawn (Al-Fajr),30,455,443
90,The Town (Al-Balad),20,457,445
91,The Sun (Al-Shams),15,458,446
92,The Night (Al-Layl),21,459,447
93,The Forenoon (Al-Duhaa),11,460,448
94,Cooling the Temper (Al-Sharh),8,461,449
95,The Fig (Al-Teen),8,462,450
96,The Clot (Al-Alaq),19,463,451
97,Power (Al-Qadr),5,464,452
98,The Proof (Al-Bayyinah),8,465,453
99,The Quake (Al-Zalzalah),8,466,454
100,The Runners (Al-‘Aadiyaat),11,467,455
101,The Shocker (Al-Qaari’ah),11,468,456
102,Hoarding (Al-Takaathur),8,469,457
103,The Afternoon (Al-‘Asr),3,470,458
104,The Backbiter (Al-Humazah),9,471,459
105,The Elephant (Al-Feel),5,472,460
106,Quraish,4,473,461
107,Charity (Al-Ma’oon),7,474,462
108,Bounty (Al-Kawther),3,475,463
109,The Disbelievers (Al-Kaafiroon),6,476,464
110,Help (Al-Nasr),3,477,465
111,Thoms (Al-Masad),5,478,466
112,Absoluteness (Al-Ikhlaas),4,479,467
113,Daybreak (Al-Falaq),5,480,468
114,The People (Al-Naas),6,481,469
