appendix_number,title,pdf_start_page,pdf_end_page
1,One of the Great Miracles [74:35],625,652
2,God’s Messenger of the Covenant [3:81],653,663
3,We Made the Quran Easy [54:17],664,664
4,Why Was the Quran Revealed in Arabic?,665,665
5,Heaven and Hell,666,666
6,Greatness of God,667,667
7,Why Were We Created?,668,669
8,The Myth of Intercession,670,670
9,Abraham: Original Messenger of Islam,671,671
10,God’s Usage of the Plural Tense,672,672
11,The Day of Resurrection,672,672
12,Role of the Prophet Muhammad,673,673
13,The First Pillar of Islam,674,674
14,Predestination,675,675
15,Religious Duties: Gift from God,676,678
16,Dietary Prohibition,679,679
17,Death,679,679
18,Quran is All You Need,680,680
19,Hadith and Sunna: Satanic Innovations,680,680
20,Quran: Unlike Any Other Book,681,681
21,Satan: Fallen Angel,681,681
22,Jesus,682,683
23,Chronological Order of Revelation,684,684
24,Two False Verses Removed from the Quran,685,706
25,End of the World,707,708
26,The Three Messengers of Islam,709,711
27,Who Is Your God?,712,712
28,Muhammad Wrote God’s Revelations With His Own Hand,713,713
29,The Missing Basmalah,714,716
30,Polygamy,717,717
31,Evolution: A Divinely Guided Process,718,718
32,The Crucial Age of 40,719,719
33,Why Did God Send a Messenger Now?,720,721
34,Virginity/Chastity: A Trait of the True Believers,722,722
35,Drugs & Alcohol,722,722
36,What Price A Great Nation,723,723
37,Criminal Justice in Islam,724,724
38,The Creator’s Signature,725,725
