appendix_number,title,printed_start_page
1,One of the Great Miracles [74:35],609
2,God’s Messenger of the Covenant [3:81],637
3,We Made the Quran Easy [54:17],648
4,Why Was the Quran Revealed in Arabic?,649
5,Heaven and Hell,650
6,Greatness of God,651
7,Why Were We Created?,652
8,The Myth of Intercession,654
9,Abraham: Original Messenger of Islam,655
10,God’s Usage of the Plural Tense,656
11,The Day of Resurrection,656
12,Role of the Prophet Muhammad,657
13,The First Pillar of Islam,658
14,Predestination,659
15,Religious Duties: Gift from God,660
16,Dietary Prohibition,663
17,Death,663
18,Quran is All You Need,664
19,Hadith and Sunna: Satanic Innovations,664
20,Quran: Unlike Any Other Book,665
21,Satan: Fallen Angel,665
22,Jesus,666
23,Chronological Order of Revelation,668
24,Two False Verses Removed from the Quran,669
25,End of the World,691
26,The Three Messengers of Islam,693
27,Who Is Your God?,696
28,Muhammad Wrote God’s Revelations With His Own Hand,697
29,The Missing Basmalah,698
30,Polygamy,701
31,Evolution: A Divinely Guided Process,702
32,The Crucial Age of 40,703
33,Why Did God Send a Messenger Now?,704
34,Virginity/Chastity: A Trait of the True Believers,706
35,Drugs & Alcohol,706
36,What Price A Great Nation,707
37,Criminal Justice in Islam,708
38,The Creator’s Signature,709
