chapter_number,chapter_verses,revelation_order,title_english_reference,title_arabic,title_transliterated_reference,pdf_start_page,pdf_end_page,title_1989,title_english_1989,title_parenthetical_1989,verse_start_pdf_page,verse_end_pdf_page
1,7,5,The Key,الفاتحة,Al-Fãtehah,20,20,The Key (Al-Faatehah),The Key,Al-Faatehah,20,20
2,286,87,The Heifer,البقرة,Al-Baqarah,21,68,The Heifer (Al-Baqarah),The Heifer,Al-Baqarah,21,68
3,200,89,The Amramites,آل عمران,Ãli-'Imrãn,69,95,The Amramites (Aali-Tmraan),The Amramites,Aali-Tmraan,69,95
4,176,92,The Women,النساء,Al-Nesa',96,125,Women (Al-Nesaa’),Women,Al-Nesaa’,96,125
5,120,112,The Feast,المائدة,Al-Ma'edah,125,146,The Feast (Al-Maa’edah),The Feast,Al-Maa’edah,125,146
6,165,55,The Livestock,الأنعام,Al-An'am,147,169,The Livestock,The Livestock,,147,169
7,206,39,The Purgatory,الأعراف,Al-A'araf,170,195,The Purgatory,The Purgatory,,170,195
8,75,88,The Spoils of War,الأنفال,Al-Anfal,196,205,The Spoils of War (Al-Anfaal),The Spoils of War,Al-Anfaal,196,205
9,127,113,Ultimatum,براءة,Bara'ah,206,226,Ultimatum (Baraa’ah),Ultimatum,Baraa’ah,206,226
10,109,51,Jonah,يونس,Younus,227,240,Jonah (Younus),Jonah,Younus,227,240
11,123,52,Hood,هود,Hud,240,254,Hood (Hood),Hood,Hood,240,254
12,111,53,Joseph,يوسف,Yousuf,254,267,Joseph (Yousuf),Joseph,Yousuf,254,267
13,43,96,The Thunder,الرعد,Al-Ra'ad,268,274,Thunder (Al-Ra‘ad),Thunder,Al-Ra‘ad,268,274
14,52,72,Abraham,إبراهيم,Ibrahîm,274,280,Abraham (Ibrahim),Abraham,Ibrahim,274,280
15,99,54,The Hijr Valley,الحجر,Al-Hijr,281,286,Al-Hijr Valley (Al-Hijr),Al-Hijr Valley,Al-Hijr,281,286
16,128,70,The Bee,النّحل,Al-Nahl,286,300,The Bee (Al-Nahl),The Bee,Al-Nahl,286,300
17,111,50,The Children of Israel,بني إسرءيل,Banî Israel,301,312,The Children of Israel (Bam Israel),The Children of Israel,Bam Israel,301,312
18,110,69,The Cave,الكهف,Al-Kahf,312,323,The Cave (Al-Kahf),The Cave,Al-Kahf,312,323
19,98,44,Mary,مريم,Maryam,324,331,Mary (Maryam),Mary,Maryam,324,331
20,135,45,T-H,طه,TãHã,331,340,T. H. (Taa Haa),T. H.,Taa Haa,331,340
21,112,73,The Prophets,الأنبياء,Al-Anbyã’,341,350,The Prophets (Al-Anbyaaf),The Prophets,Al-Anbyaaf,341,350
22,78,103,The Pilgrimage,الحج,Al-Hajj,350,360,Pilgrimage (Al-Hajj),Pilgrimage,Al-Hajj,351,360
23,118,74,The Believers,المؤمنون,Al-Mu’minûn,360,368,The Believers (Al-Mu ’minooti),The Believers,Al-Mu ’minooti,361,368
24,64,102,The Light,النّور,Al-Noor,368,378,Light (Al-Noor),Light,Al-Noor,369,378
25,77,42,The Statute Book,الفرقان,Al-Furqãn,378,385,The Statute Book,The Statute Book,,378,385
26,227,47,The Poets,الشعراء,Al-Shu‘arã’,385,395,The Poets (Al-Shu‘araaf),The Poets,Al-Shu‘araaf,386,395
