sura_number,name_1989,chapter_verses,pdf_start_page,pdf_end_page,printed_start_page
1,The Key (Al-Faatehah),7,20,20,1
2,The Heifer (Al-Baqarah),286,21,68,2
3,The Amramites (Aali-Tmraan),200,69,95,50
4,Women (Al-Nesaa’),176,96,125,77
5,The Feast (Al-Maa’edah),120,125,146,106
6,The Livestock,165,147,169,128
7,The Purgatory,206,170,195,151
8,The Spoils of War (Al-Anfaal),75,196,205,177
9,Ultimatum (Baraa’ah),127,206,226,187
10,Jonah (Younus),109,227,240,208
11,Hood (Hood),123,240,254,221
12,Joseph (Yousuf),111,254,267,235
13,Thunder (Al-Ra‘ad),43,268,274,249
14,Abraham (Ibrahim),52,274,280,255
15,Al-Hijr Valley (Al-Hijr),99,281,286,262
16,The Bee (Al-Nahl),128,286,300,267
17,The Children of Israel (Bam Israel),111,301,312,282
18,The Cave (Al-Kahf),110,312,323,293
19,Mary (Maryam),98,324,331,305
20,T. H. (Taa Haa),135,331,340,312
21,The Prophets (Al-Anbyaaf),112,341,350,322
22,Pilgrimage (Al-Hajj),78,350,360,331
23,The Believers (Al-Mu ’minooti),118,360,368,341
24,Light (Al-Noor),64,368,378,349
25,The Statute Book,77,378,385,359
26,The Poets (Al-Shu‘araaf),227,385,395,366
27,The Ant,93,395,404,376
28,History (Al-Qasas),88,404,415,385
29,The Spider,69,415,423,396
30,Romans (Al-Room),60,423,429,404
31,Luqmaan,34,430,433,411
32,Prostration (Al-Sajdah),30,433,436,414
33,The Parties (Al-AHzaab),73,436,446,417
34,Sheba (Saba’),54,447,453,428
35,Initiator (Faater),45,453,459,434
36,Y. S. (Yaa Seen),83,459,464,440
37,The Arrangers (Al-Saaffaat),182,464,471,445
38,S (Saad),88,471,477,452
39,The Throngs (Al-Zumer),75,477,486,458
40,Forgiver (Ghaafer),85,486,495,467
41,Elucidated (Fussilat),54,496,501,477
42,Consultation,53,502,508,483
43,Vanity (Al-Zukhruf),89,508,514,489
44,Smoke (Al-Dukhaan),59,515,517,496
45,Kneeling (Al-Jaatheyah),37,517,521,498
46,The Dunes,35,521,525,502
47,Muhammad,38,525,529,506
48,Victory (Al-Fatt-h),29,530,534,511
49,The Walls,18,534,536,515
50,Q (Qaaf),45,537,539,518
51,The Winds,60,539,542,520
52,Mt. Sinai (Al-Toor),49,542,544,523
53,The Stars (Al-Najm),62,544,547,525
54,The Moon (Al-Qamar),55,547,550,528
55,Most Gracious,78,550,553,531
56,The Inevitable,96,553,556,534
57,Iron,29,556,560,537
58,The Debate,22,561,564,542
59,Exodus (Al-Hashr),24,564,567,545
60,The Test,13,567,570,548
61,The Column (Al-Suff),14,570,571,551
62,Friday (Al-Jumu‘ah),11,572,573,553
63,The Hypocrites,11,573,574,554
64,Mutual Blaming (Al-Taghaabun),18,574,576,555
65,Divorce (Al-Talaaq),12,576,578,557
66,Prohibition (Al-Tahreem),12,579,580,560
67,Kingship (Al-Mulk),30,581,583,562
68,The Pen (Al-Qalam),52,583,585,564
69,Incontestable,52,585,587,566
70,The Heights,44,587,589,568
71,Noah,28,589,590,570
72,Jinns (Al-Jinn),28,591,592,572
73,Cloaked (Al-Muzzammil),20,593,594,574
74,The Hidden Secret,56,594,596,575
75,Resurrection,40,596,597,577
76,The Human,31,597,599,578
77,Dispatched,50,599,600,580
78,The Event (Al-Naba’),40,601,602,582
79,The Snatchers,46,602,603,583
80,He Frowned (‘Abasa),42,603,604,584
81,The Rolling (Al-Takweer),29,605,605,586
82,The Shattering (Al-Infitaar),19,605,606,586
83,The Cheaters,36,606,608,587
84,The Rupture (Al-Inshiqaaq),25,608,608,589
85,The Galaxies (Al-Burooj),22,609,609,590
86,The Bright Star (Al-Taareq),17,609,610,590
87,The Most High,19,610,611,591
88,Overwhelming (Al-Ghaasheyah),26,611,611,
89,Dawn (Al-Fajr),30,612,613,
90,The Town (Al-Balad),20,613,613,594
91,The Sun (Al-Shams),15,613,614,594
92,The Night (Al-Layl),21,614,615,595
93,The Forenoon (Al-Duhaa),11,615,615,596
94,Cooling the Temper,8,615,615,596
95,The Fig (Al-Teen),8,616,616,597
96,The Embryo,19,616,616,597
97,Destiny (Al-Qadr),5,617,617,598
98,Proof (Al-Bayyinah),8,617,618,598
99,The Quake (Al-Zalzalah),8,618,618,
100,The Gallopers,11,618,619,
101,The Shocker (Al-Qaare‘ah),11,619,619,600
102,Hoarding,8,619,619,600
103,The Afternoon (Al-‘Asr),3,620,620,601
104,The Backbiter,9,620,620,601
105,The Elephant,5,620,620,601
106,Quraish (The Quraish Tribe),4,621,621,602
107,Charity,7,621,621,602
108,Bounty (Al-Kawthar),3,621,621,602
109,The Disbelievers (Al-Kaaferoon),6,622,622,603
110,Triumph,3,622,622,603
111,Thorns (Al-Masad),5,622,622,603
112,Absoluteness (Al-Ikhlaas),4,623,623,604
113,Daybreak (Al-Falaq),5,623,623,604
114,People (Al-Naas),6,623,623,604
