pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
11,,1,GLOSSARY,GLOSSARY,"[212.75, 13.828, 294.215, 28.828]","[0.410794, 0.019348, 0.568092, 0.040336]"
11,,2,Hijrah,Hijrah,"[261.95, 34.29, 478.925, 44.77]","[0.505793, 0.047978, 0.924744, 0.062642]"
11,,2,Immigration of Muhammad from,Immigration of Muhammad from,"[261.95, 44.77, 478.925, 55.251]","[0.505793, 0.062642, 0.924744, 0.077307]"
11,,2,Mecca to Medina. Islamic Calendar,Mecca to Medina. Islamic Calendar,"[261.95, 55.251, 478.925, 65.732]","[0.505793, 0.077307, 0.924744, 0.091971]"
11,,2,began that year.,began that year.,"[261.95, 65.732, 478.925, 76.213]","[0.505793, 0.091971, 0.924744, 0.106636]"
11,,2,Hijrah Calendar,Hijrah Calendar,"[261.95, 76.213, 478.925, 86.694]","[0.505793, 0.106636, 0.924744, 0.121301]"
11,,2,Lunar Calendar. Names,Lunar Calendar. Names,"[261.95, 86.694, 478.925, 97.174]","[0.505793, 0.121301, 0.924744, 0.135965]"
11,,2,and numbers of the months are:,and numbers of the months are:,"[261.95, 97.174, 478.925, 107.655]","[0.505793, 0.135965, 0.924744, 0.15063]"
11,,2,1. Muharram.,1. Muharram.,"[261.95, 107.655, 478.925, 118.136]","[0.505793, 0.15063, 0.924744, 0.165294]"
11,,2,2. Safar.,2. Safar.,"[261.95, 118.136, 478.925, 128.617]","[0.505793, 0.165294, 0.924744, 0.179959]"
11,,2,3. Rabi‘ I.,3. Rabi‘ I.,"[261.95, 128.617, 478.925, 139.097]","[0.505793, 0.179959, 0.924744, 0.194623]"
11,,2,4. Rabi‘ II.,4. Rabi‘ II.,"[261.95, 139.097, 478.925, 149.578]","[0.505793, 0.194623, 0.924744, 0.209288]"
11,,2,5. Jumada I.,5. Jumada I.,"[261.95, 149.578, 478.925, 160.059]","[0.505793, 0.209288, 0.924744, 0.223953]"
11,,2,6. Jumada II.,6. Jumada II.,"[261.95, 160.059, 478.925, 170.54]","[0.505793, 0.223953, 0.924744, 0.238617]"
11,,3,A. H.,A. H.,"[33.25, 35.49, 232.57, 41.652]","[0.064202, 0.049657, 0.449063, 0.058279]"
11,,3,After Hijrah (see Hijrah).,After Hijrah (see Hijrah).,"[33.25, 41.652, 232.57, 47.815]","[0.064202, 0.058279, 0.449063, 0.066902]"
11,,3,Aad,Aad,"[33.25, 47.815, 232.57, 53.977]","[0.064202, 0.066902, 0.449063, 0.075524]"
11,,3,Rebellious people of Irum. Com­,Rebellious people of Irum. Com,"[33.25, 53.977, 232.57, 60.14]","[0.064202, 0.075524, 0.449063, 0.084147]"
11,,4,munity to which Hood was sent.,munity to which Hood was sent.,"[33.7, 61.89, 242.65, 71.627]","[0.06507, 0.086595, 0.468527, 0.10022]"
11,,4,Ahzaab Parties; Battle of Al-Ahzaab.,Ahzaab Parties; Battle of Al-Ahzaab.,"[33.7, 71.627, 242.65, 81.365]","[0.06507, 0.10022, 0.468527, 0.113845]"
11,,4,Alem,Alem,"[33.7, 81.365, 242.65, 91.102]","[0.06507, 0.113845, 0.468527, 0.127469]"
11,,4,Religious scholar. Scientist. Knowl­,Religious scholar. Scientist. Knowl,"[33.7, 91.102, 242.65, 100.84]","[0.06507, 0.127469, 0.468527, 0.141094]"
11,,5,7. Rajab.,7. Rajab.,"[398.5, 97.54, 457.185, 109.156]","[0.769454, 0.136476, 0.882766, 0.15273]"
11,,5,8. Sha'ban.,8. Sha'ban.,"[398.5, 109.156, 457.185, 120.773]","[0.769454, 0.15273, 0.882766, 0.168984]"
11,,5,9. Ramadan.,9. Ramadan.,"[398.5, 120.773, 457.185, 132.39]","[0.769454, 0.168984, 0.882766, 0.185238]"
11,,6,edgeable person. Plural is ‘Ulama.,edgeable person. Plural is ‘Ulama.,"[33.95, 102.54, 253.315, 111.915]","[0.065553, 0.143472, 0.48912, 0.15659]"
11,,6,Al-Hamdu Lillah Praise be to God.,Al-Hamdu Lillah Praise be to God.,"[33.95, 111.915, 253.315, 121.29]","[0.065553, 0.15659, 0.48912, 0.169707]"
11,,6,Allah,Allah,"[33.95, 121.29, 253.315, 130.665]","[0.065553, 0.169707, 0.48912, 0.182825]"
11,,6,"God, The God, The only God.","God, The God, The only God.","[33.95, 130.665, 253.315, 140.04]","[0.065553, 0.182825, 0.48912, 0.195942]"
11,,6,Allahu Akbar,Allahu Akbar,"[33.95, 140.04, 253.315, 149.415]","[0.065553, 0.195942, 0.48912, 0.209059]"
11,,6,God is Great.,God is Great.,"[33.95, 149.415, 253.315, 158.79]","[0.065553, 0.209059, 0.48912, 0.222177]"
11,,6,Allat,Allat,"[33.95, 158.79, 253.315, 168.165]","[0.065553, 0.222177, 0.48912, 0.235294]"
11,,6,Idol of idolatrous Arabia before,Idol of idolatrous Arabia before,"[33.95, 168.165, 253.315, 177.54]","[0.065553, 0.235294, 0.48912, 0.248412]"
11,,6,Muhammad; claimed to be,Muhammad; claimed to be,"[33.95, 177.54, 253.315, 186.915]","[0.065553, 0.248412, 0.48912, 0.261529]"
11,,6,“daughter of God!”,“daughter of God!”,"[33.95, 186.915, 253.315, 196.29]","[0.065553, 0.261529, 0.48912, 0.274646]"
11,,6,Arafat,Arafat,"[33.95, 196.29, 253.315, 205.665]","[0.065553, 0.274646, 0.48912, 0.287764]"
11,,6,Knoll near Mecca where pilgrims,Knoll near Mecca where pilgrims,"[33.95, 205.665, 253.315, 215.04]","[0.065553, 0.287764, 0.48912, 0.300881]"
11,,6,spend a day of commemorating God,spend a day of commemorating God,"[33.95, 215.04, 253.315, 224.415]","[0.065553, 0.300881, 0.48912, 0.313999]"
11,,6,during Hajj or Umrah pilgrimage.,during Hajj or Umrah pilgrimage.,"[33.95, 224.415, 253.315, 233.79]","[0.065553, 0.313999, 0.48912, 0.327116]"
11,,6,Ansaar,Ansaar,"[33.95, 233.79, 253.315, 243.165]","[0.065553, 0.327116, 0.48912, 0.340233]"
11,,6,The helpers or allies. Inhabitants of,The helpers or allies. Inhabitants of,"[33.95, 243.165, 253.315, 252.54]","[0.065553, 0.340233, 0.48912, 0.353351]"
11,,6,Medina who were the first to,Medina who were the first to,"[33.95, 252.54, 253.315, 261.915]","[0.065553, 0.353351, 0.48912, 0.366468]"
11,,6,embrace Islam. They offered help,embrace Islam. They offered help,"[33.95, 261.915, 253.315, 271.29]","[0.065553, 0.366468, 0.48912, 0.379586]"
11,,6,to the immigrants who fled Mecca,to the immigrants who fled Mecca,"[33.95, 271.29, 253.315, 280.665]","[0.065553, 0.379586, 0.48912, 0.392703]"
11,,6,(see Muhajireen).,(see Muhajireen).,"[33.95, 280.665, 253.315, 290.04]","[0.065553, 0.392703, 0.48912, 0.40582]"
11,,6,Ayah,Ayah,"[33.95, 290.04, 253.315, 299.415]","[0.065553, 0.40582, 0.48912, 0.418938]"
11,,6,Sign. Miracle. Verse.,Sign. Miracle. Verse.,"[33.95, 299.415, 253.315, 308.79]","[0.065553, 0.418938, 0.48912, 0.432055]"
11,,6,Ayaat,Ayaat,"[33.95, 308.79, 253.315, 318.165]","[0.065553, 0.432055, 0.48912, 0.445172]"
11,,6,Plural of Ayah.,Plural of Ayah.,"[33.95, 318.165, 253.315, 327.54]","[0.065553, 0.445172, 0.48912, 0.45829]"
11,,6,"Ayyoub Job, a messenger of God.","Ayyoub Job, a messenger of God.","[33.95, 327.54, 253.315, 336.915]","[0.065553, 0.45829, 0.48912, 0.471407]"
11,,6,Azan,Azan,"[33.95, 336.915, 253.315, 346.29]","[0.065553, 0.471407, 0.48912, 0.484525]"
11,,6,The call to Salat prayer.,The call to Salat prayer.,"[33.95, 346.29, 253.315, 355.665]","[0.065553, 0.484525, 0.48912, 0.497642]"
11,,6,B. H.,B. H.,"[33.95, 355.665, 253.315, 365.04]","[0.065553, 0.497642, 0.48912, 0.510759]"
11,,6,Before Hijrah (see Hijrah),Before Hijrah (see Hijrah),"[33.95, 365.04, 253.315, 374.415]","[0.065553, 0.510759, 0.48912, 0.523877]"
11,,6,Badr,Badr,"[33.95, 374.415, 253.315, 383.79]","[0.065553, 0.523877, 0.48912, 0.536994]"
11,,6,Name of a place near Mecca. The,Name of a place near Mecca. The,"[33.95, 383.79, 253.315, 393.165]","[0.065553, 0.536994, 0.48912, 0.550112]"
