pdf_page,printed_page,block_order,text,clean_text,bbox,bbox_normalized
726,711,1,INDEX,INDEX,"[236.3, 13.829, 284.975, 28.829]","[0.456266, 0.01935, 0.550251, 0.040337]"
726,711,2,A,A,"[40.299, 30.451, 118.763, 41.343]","[0.077812, 0.042607, 0.229316, 0.057847]"
726,711,2,Aad (see also Hood),Aad (see also Hood),"[40.299, 41.343, 118.763, 52.235]","[0.077812, 0.057847, 0.229316, 0.073087]"
726,711,3,162-166; 10:15-19; 11:18-19; 16:88,162-166; 10:15-19; 11:18-19; 16:88,"[190.3, 33.252, 326.94, 42.73]","[0.367445, 0.046526, 0.63128, 0.059787]"
726,711,3,"Accusations 4:112,156; 24:4-6,11-26","Accusations 4:112,156; 24:4-6,11-26","[190.3, 42.73, 326.94, 52.208]","[0.367445, 0.059787, 0.63128, 0.073049]"
726,711,3,Adam,Adam,"[190.3, 52.208, 326.94, 61.686]","[0.367445, 0.073049, 0.63128, 0.08631]"
726,711,4,daughters 3:80; 17:40; 34:40-41;,daughters 3:80; 17:40; 34:40-41;,"[338.649, 34.603, 482.69, 44.257]","[0.653889, 0.048416, 0.932014, 0.061924]"
726,711,4,37:150; 43:19; 53:27,37:150; 43:19; 53:27,"[338.649, 44.257, 482.69, 53.911]","[0.653889, 0.061924, 0.932014, 0.075431]"
726,711,4,"messengers 2:248; 3:39,4246; 6:61;","messengers 2:248; 3:39,4246; 6:61;","[338.649, 53.911, 482.69, 63.565]","[0.653889, 0.075431, 0.932014, 0.088939]"
726,711,4,7:37; 11:81; 15:51-66; 16:2; 22:75;,7:37; 11:81; 15:51-66; 16:2; 22:75;,"[338.649, 63.565, 482.69, 73.218]","[0.653889, 0.088939, 0.932014, 0.102446]"
726,711,4,35:1; 43:80; 51:24-37; 77:1; 79:3-5;,35:1; 43:80; 51:24-37; 77:1; 79:3-5;,"[338.649, 73.218, 482.69, 82.872]","[0.653889, 0.102446, 0.932014, 0.115954]"
726,711,4,97:4,97:4,"[338.649, 82.872, 482.69, 92.526]","[0.653889, 0.115954, 0.932014, 0.129461]"
726,711,4,pray for believers 40:7-9,pray for believers 40:7-9,"[338.649, 92.526, 482.69, 102.18]","[0.653889, 0.129461, 0.932014, 0.142969]"
726,711,4,retribution bringers 51:24-37,retribution bringers 51:24-37,"[338.649, 102.18, 482.69, 111.834]","[0.653889, 0.142969, 0.932014, 0.156476]"
726,711,4,revelation bringers 16:102,revelation bringers 16:102,"[338.649, 111.834, 482.69, 121.488]","[0.653889, 0.156476, 0.932014, 0.169984]"
726,711,4,sorcery 2:102,sorcery 2:102,"[338.649, 121.488, 482.69, 131.141]","[0.653889, 0.169984, 0.932014, 0.183491]"
726,711,4,"supporters 3:124-125; 8:9-12; 9:26,","supporters 3:124-125; 8:9-12; 9:26,","[338.649, 131.141, 482.69, 140.795]","[0.653889, 0.183491, 0.932014, 0.196999]"
726,711,4,"40; 33:9,43,56; 41:30; 59:6; 66:4","40; 33:9,43,56; 41:30; 59:6; 66:4","[338.649, 140.795, 482.69, 150.449]","[0.653889, 0.196999, 0.932014, 0.210507]"
726,711,4,"terminate lives 4:97; 6:61,93; 7:37;","terminate lives 4:97; 6:61,93; 7:37;","[338.649, 150.449, 482.69, 160.103]","[0.653889, 0.210507, 0.932014, 0.224014]"
726,711,4,8:50; 16:28-33; 47:27; 79:1-2,8:50; 16:28-33; 47:27; 79:1-2,"[338.649, 160.103, 482.69, 169.757]","[0.653889, 0.224014, 0.932014, 0.237522]"
726,711,4,witness & record 3:18; 4:166; 43:80;,witness & record 3:18; 4:166; 43:80;,"[338.649, 169.757, 482.69, 179.41]","[0.653889, 0.237522, 0.932014, 0.251029]"
726,711,4,50:17; 82:11-12,50:17; 82:11-12,"[338.649, 179.41, 482.69, 189.064]","[0.653889, 0.251029, 0.932014, 0.264537]"
726,711,4,worship God 3:18; 4:172; 7:206;,worship God 3:18; 4:172; 7:206;,"[338.649, 189.064, 482.69, 198.718]","[0.653889, 0.264537, 0.932014, 0.278044]"
726,711,4,13:13; 16:49; 21:19-20; 40:7- 9;,13:13; 16:49; 21:19-20; 40:7- 9;,"[338.649, 198.718, 482.69, 208.372]","[0.653889, 0.278044, 0.932014, 0.291552]"
726,711,4,41:38; 42:5,41:38; 42:5,"[338.649, 208.372, 482.69, 218.026]","[0.653889, 0.291552, 0.932014, 0.305059]"
726,711,4,Anger 3:134; 4:93; 7:154; 21:87;,Anger 3:134; 4:93; 7:154; 21:87;,"[338.649, 218.026, 482.69, 227.68]","[0.653889, 0.305059, 0.932014, 0.318567]"
726,711,4,48:6; 60:13,48:6; 60:13,"[338.649, 227.68, 482.69, 237.333]","[0.653889, 0.318567, 0.932014, 0.332074]"
726,711,4,Animals,Animals,"[338.649, 237.333, 482.69, 246.987]","[0.653889, 0.332074, 0.932014, 0.345582]"
