verse_index,verse_id,chapter_number,verse_number,chapter_verses,verse_id_arabic,english_1989,arabic_uthmani,pdf_page_1989,printed_page_1989,english_bbox,english_transcription_source,english_transcription_note,arabic_alignment_note
1,1:1,1,1,7,١:١,"Most Gracious, Most Merciful.*",بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,20,1,"[40.9, 123.897, 225.848, 133.151]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
2,1:2,1,2,7,٢:١,"Praise be to GOD, Lord of the universe.",ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,20,1,"[40.2, 150.693, 169.952, 168.801]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
3,1:3,1,3,7,٣:١,"Most Gracious, Most Merciful.",ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,20,1,"[40.45, 183.101, 220.462, 189.101]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
4,1:4,1,4,7,٤:١,Master of the Day of Judgment.,مَـٰلِكِ يَوْمِ ٱلدِّينِ,20,1,"[40.45, 203.601, 226.342, 209.601]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
5,1:5,1,5,7,٥:١,Only You we worship. Only You we ask for help.,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,20,1,"[40.7, 226.485, 195.65, 243.951]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
6,1:6,1,6,7,٦:١,Guide us in the right path;,ٱهْدِنَا ٱلصِّرَٰطَ ٱلْمُسْتَقِيمَ,20,1,"[40.7, 258.801, 198.248, 264.801]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
7,1:7,1,7,7,٧:١,"the path of those whom You blessed; not of those who have deserved wrath, nor the strayers.",صِرَٰطَ ٱلَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ ٱلْمَغْضُوبِ عَلَيْهِمْ وَلَا ٱلضَّآلِّينَ,20,1,"[40.9, 283.626, 228.712, 314.149]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1370,10:0,10,0,109,٠:١٠,"In the name of God, Most Gracious, Most Merciful",بِسْمِ ٱللَّهِ ٱلرَّحْمَـٰنِ ٱلرَّحِيمِ,227,208,,standard unnumbered basmalah,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1371,10:1,10,1,109,١:١٠,A.L.R.* These (letters) are the miracles of this book of wisdom.,الٓر ۚ تِلْكَ ءَايَـٰتُ ٱلْكِتَـٰبِ ٱلْحَكِيمِ,227,208,"[41.15, 125.85, 387.19, 131.851]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1380,10:10,10,10,109,١٠:١٠,"Their prayer therein is: “Be You glorified, our god,” their greeting therein is, “Peace,” and their ultimate prayer is: “Praise be to GOD, Lord of the universe.”",دَعْوَىٰهُمْ فِيهَا سُبْحَـٰنَكَ ٱللَّهُمَّ وَتَحِيَّتُهُمْ فِيهَا سَلَـٰمٌ ۚ وَءَاخِرُ دَعْوَىٰهُمْ أَنِ ٱلْحَمْدُ لِلَّهِ رَبِّ ٱلْعَـٰلَمِينَ,228,209,"[41.65, 244.752, 245.926, 314.988]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1470,10:100,10,100,109,١٠٠:١٠,No soul can believe except in accordance with GOD’s will. Those who refuse to understand are blocked out by Him—He has placed a curse upon them.,وَمَا كَانَ لِنَفْسٍ أَن تُؤْمِنَ إِلَّا بِإِذْنِ ٱللَّهِ ۚ وَيَجْعَلُ ٱلرِّجْسَ عَلَى ٱلَّذِينَ لَا يَعْقِلُونَ,239,220,"[40.9, 183.189, 236.423, 253.95]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1471,10:101,10,101,109,١٠١:١٠,"Say, “Note (the abundant signs in) the heavens and the earth.” All these signs and warnings never help people who have decided to disbelieve.",قُلِ ٱنظُرُوا۟ مَاذَا فِى ٱلسَّمَـٰوَٰتِ وَٱلْأَرْضِ ۚ وَمَا تُغْنِى ٱلْءَايَـٰتُ وَٱلنُّذُرُ عَن قَوْمٍ لَّا يُؤْمِنُونَ,239,220,"[41.15, 262.548, 243.935, 331.9]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1472,10:102,10,102,109,١٠٢:١٠,"Can they expect other than the fate of their counterparts in the past? Say, “Just wait, and I am with you waiting.”",فَهَلْ يَنتَظِرُونَ إِلَّا مِثْلَ أَيَّامِ ٱلَّذِينَ خَلَوْا۟ مِن قَبْلِهِمْ ۚ قُلْ فَٱنتَظِرُوٓا۟ إِنِّى مَعَكُم مِّنَ ٱلْمُنتَظِرِينَ,239,220,"[41.4, 340.902, 229.533, 395.751]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1473,10:103,10,103,109,١٠٣:١٠,We ultimately save our messengers and those who believed. It is our decree that we guarantee victory for the believers.,ثُمَّ نُنَجِّى رُسُلَنَا وَٱلَّذِينَ ءَامَنُوا۟ ۚ كَذَٰلِكَ حَقًّا عَلَيْنَا نُنجِ ٱلْمُؤْمِنِينَ,239,220,"[41.4, 420.952, 245.304, 475.551]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1474,10:104,10,104,109,١٠٤:١٠,"Say, “O people, if you have any doubt regarding my religion, I do not worship what you worship besides GOD. I worship GOD (alone); the One who controls your lives. I am enjoined to be a believer.”",قُلْ يَـٰٓأَيُّهَا ٱلنَّاسُ إِن كُنتُمْ فِى شَكٍّ مِّن دِينِى فَلَآ أَعْبُدُ ٱلَّذِينَ تَعْبُدُونَ مِن دُونِ ٱللَّهِ وَلَـٰكِنْ أَعْبُدُ ٱللَّهَ ٱلَّذِى يَتَوَفَّىٰكُمْ ۖ وَأُمِرْتُ أَنْ أَكُونَ مِنَ ٱلْمُؤْمِنِينَ,239,220,"[41.4, 484.652, 470.65, 554.951]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1475,10:105,10,105,109,١٠٥:١٠,I was enjoined: “Keep yourself devoted to the religion of monotheism; you shall not practice idol worship.,وَأَنْ أَقِمْ وَجْهَكَ لِلدِّينِ حَنِيفًا وَلَا تَكُونَنَّ مِنَ ٱلْمُشْرِكِينَ,239,220,"[41.4, 563.751, 429.972, 589.751]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1476,10:106,10,106,109,١٠٦:١٠,"“You shall not call upon any idols besides GOD. They possess no power to benefit you or harm you. If you do, you will be a transgressor.”",وَلَا تَدْعُ مِن دُونِ ٱللَّهِ مَا لَا يَنفَعُكَ وَلَا يَضُرُّكَ ۖ فَإِن فَعَلْتَ فَإِنَّكَ إِذًا مِّنَ ٱلظَّـٰلِمِينَ,239,220,"[41.4, 597.989, 441.179, 625.3]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1477,10:107,10,107,109,١٠٧:١٠,"If GOD touches you with adversity, none can relieve it except He. And when He blesses you, none can repel His grace. He bestows it upon whomever He chooses from among His worshipers. He is the Forgiver, Most Merciful.",وَإِن يَمْسَسْكَ ٱللَّهُ بِضُرٍّ فَلَا كَاشِفَ لَهُۥٓ إِلَّا هُوَ ۖ وَإِن يُرِدْكَ بِخَيْرٍ فَلَا رَآدَّ لِفَضْلِهِۦ ۚ يُصِيبُ بِهِۦ مَن يَشَآءُ مِنْ عِبَادِهِۦ ۚ وَهُوَ ٱلْغَفُورُ ٱلرَّحِيمُ,240,221,"[41.65, 66.789, 469.259, 108.1]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
1478,10:108,10,108,109,١٠٨:١٠,"Say, “O people, the truth has come to you herein from your Lord. Whoever is guided is guided for his own good. And whoever goes astray, goes astray to his own detriment. I am not a guardian over you.”",قُلْ يَـٰٓأَيُّهَا ٱلنَّاسُ قَدْ جَآءَكُمُ ٱلْحَقُّ مِن رَّبِّكُمْ ۖ فَمَنِ ٱهْتَدَىٰ فَإِنَّمَا يَهْتَدِى لِنَفْسِهِۦ ۖ وَمَن ضَلَّ فَإِنَّمَا يَضِلُّ عَلَيْهَا ۖ وَمَآ أَنَا۠ عَلَيْكُم بِوَكِيلٍ,240,221,"[41.9, 116.751, 441.17, 157.3]",embedded PDF OCR,,Canonical Uthmani transcription aligned to the Arabic facsimile panel on this page; ornamental glyph layout is preserved only in the source scan.
