Type,Name,Value
AUDIO,media/messenger_quran_studies/1) Quran Study - Q.72:19-28, Q.73 - Jinns (05-26-1989).mp3,113876041
AUDIO,media/messenger_quran_studies/10) Quran Study - Q.71 & Q.72 - Chastity, Jinns (05-19-1989).mp3,132699888
AUDIO,media/messenger_quran_studies/11) Quran Study - Q.23:60-88, Q.16 (01-18&23&31-1990).mp3,84095205
AUDIO,media/messenger_quran_studies/12) Quran Study - Behrouz's Sermon & Edip's Exposure (01-25-1990).mp3,126775943
AUDIO,media/messenger_quran_studies/13) Quran Study - Q.7:12 - Adam & Eve's Bodies (12-24-1989).mp3,60127652
AUDIO,media/messenger_quran_studies/14) Quran Study - Night of Destiny Zikr.mp3,89742716
AUDIO,media/messenger_quran_studies/15) Quran Study - Q.54:23, Q.55-56, Q.51 - Age 40 & First Gen.mp3,89742716
AUDIO,media/messenger_quran_studies/16) Quran Study - Q.64, Q.59, Q.70 - Nothing Happens & Angels Are The Best Surgeons.mp3,104705684
AUDIO,media/messenger_quran_studies/17) Quran Study - Q.82-83, Q.90-91 (07-21-1989).mp3,104705684
AUDIO,media/messenger_quran_studies/18) Quran Study - Q.61, Q.87, Q.94, Q.81.mp3,56968220
AUDIO,media/messenger_quran_studies/19) Quran Study - Q.2:89 - Witchcraft, Reverting, Intro To Blue Quran.mp3,56968220
AUDIO,media/messenger_quran_studies/2) Quran Study - Q.95 & Q.96 - Quran Is Not Ink & Paper (08-04-1989).mp3,109228076
AUDIO,media/messenger_quran_studies/20) Quran Study - Q.3 - Insurance, Worry, Fear.mp3,64706204
AUDIO,media/messenger_quran_studies/21) Quran Study - Q.9:52, Q.56:75 - The Hypocrites.mp3,64041164
AUDIO,media/messenger_quran_studies/22) Quran Study - Q.39:11, Q.37:164, Q.28 - Admission Test, No Insurance Compromise.mp3,89657372
AUDIO,media/messenger_quran_studies/23) Quran Study - Q.51 - New Era, Believers Protected From Accidents & Diseases.mp3,70074524
AUDIO,media/messenger_quran_studies/24) Quran Study - Q.55 & Q.56.mp3,70074524
AUDIO,media/messenger_quran_studies/25) Quran Study - Q.58.mp3,63804572
