NA1904_ID	NA1904_Text	NA27_ID	NA28_ID	SBLGNT_ID	SBLGNT_Text	MARBLE_ID
40001001001	Βίβλος	40001001001	40001001001	40001001001	Βίβλος	04000100100002
40001001002	γενέσεως	40001001002	40001001002	40001001002	γενέσεως	04000100100004
40001001003	Ἰησοῦ	40001001003	40001001003	40001001003	Ἰησοῦ	04000100100006
40001001004	Χριστοῦ	40001001004	40001001004	40001001004	χριστοῦ	04000100100008
40001001005	υἱοῦ	40001001005	40001001005	40001001005	υἱοῦ	04000100100010
40001001006	Δαυεὶδ	40001001006	40001001006	40001001006	Δαυὶδ	04000100100012
40001001007	υἱοῦ	40001001007	40001001007	40001001007	υἱοῦ	04000100100014
40001001008	Ἀβραάμ.	40001001008	40001001008	40001001008	Ἀβραάμ.	04000100100016
40001002001	Ἀβραὰμ	40001002001	40001002001	40001002001	Ἀβραὰμ	04000100200002
40001002002	ἐγέννησεν	40001002002	40001002002	40001002002	ἐγέννησεν	04000100200004
40001002003	τὸν	40001002003	40001002003	40001002003	τὸν	04000100200006
40001002004	Ἰσαάκ,	40001002004	40001002004	40001002004	Ἰσαάκ,	04000100200008
40001002005	Ἰσαὰκ	40001002005	40001002005	40001002005	Ἰσαὰκ	04000100200010
40001002006	δὲ	40001002006	40001002006	40001002006	δὲ	04000100200012
40001002007	ἐγέννησεν	40001002007	40001002007	40001002007	ἐγέννησεν	04000100200014
40001002008	τὸν	40001002008	40001002008	40001002008	τὸν	04000100200016
40001002009	Ἰακώβ,	40001002009	40001002009	40001002009	Ἰακώβ,	04000100200018
40001002010	Ἰακὼβ	40001002010	40001002010	40001002010	Ἰακὼβ	04000100200020
40001002011	δὲ	40001002011	40001002011	40001002011	δὲ	04000100200022
40001002012	ἐγέννησεν	40001002012	40001002012	40001002012	ἐγέννησεν	04000100200024
40001002013	τὸν	40001002013	40001002013	40001002013	τὸν	04000100200026
40001002014	Ἰούδαν	40001002014	40001002014	40001002014	Ἰούδαν	04000100200028
40001002015	καὶ	40001002015	40001002015	40001002015	καὶ	04000100200030
40001002016	τοὺς	40001002016	40001002016	40001002016	τοὺς	04000100200032
40001002017	ἀδελφοὺς	40001002017	40001002017	40001002017	ἀδελφοὺς	04000100200034
40001002018	αὐτοῦ,	40001002018	40001002018	40001002018	αὐτοῦ,	04000100200036
40001003001	Ἰούδας	40001003001	40001003001	40001003001	Ἰούδας	04000100300002
40001003002	δὲ	40001003002	40001003002	40001003002	δὲ	04000100300004
40001003003	ἐγέννησεν	40001003003	40001003003	40001003003	ἐγέννησεν	04000100300006
40001003004	τὸν	40001003004	40001003004	40001003004	τὸν	04000100300008
40001003005	Φαρὲς	40001003005	40001003005	40001003005	Φαρὲς	04000100300010
40001003006	καὶ	40001003006	40001003006	40001003006	καὶ	04000100300012
40001003007	τὸν	40001003007	40001003007	40001003007	τὸν	04000100300014
40001003008	Ζαρὰ	40001003008	40001003008	40001003008	Ζάρα	04000100300016
40001003009	ἐκ	40001003009	40001003009	40001003009	ἐκ	04000100300018
40001003010	τῆς	40001003010	40001003010	40001003010	τῆς	04000100300020
40001003011	Θάμαρ,	40001003011	40001003011	40001003011	Θαμάρ,	04000100300022
40001003012	Φαρὲς	40001003012	40001003012	40001003012	Φαρὲς	04000100300024
40001003013	δὲ	40001003013	40001003013	40001003013	δὲ	04000100300026
40001003014	ἐγέννησεν	40001003014	40001003014	40001003014	ἐγέννησεν	04000100300028
40001003015	τὸν	40001003015	40001003015	40001003015	τὸν	04000100300030
40001003016	Ἐσρώμ,	40001003016	40001003016	40001003016	Ἑσρώμ,	04000100300032
40001003017	Ἐσρὼμ	40001003017	40001003017	40001003017	Ἑσρὼμ	04000100300034
