StrongNumberX1	StrongNumberX2	Distance
G1236	G2225	0.77626025290499
G1236	H2416d	0.729886027859856
G1236	A2417a	0.73426724137931
G1236	G391	0.803273600668338
G1236	G390	0.7915824915824921
G1236	G3611	0.41899824032177
G1236	G979	0.708085214004841
G1236	G981	0.818353174603175
G1236	G2688	0.818333333333333
G1236	H5777	0.746774193548387
G1236	G2198	0.601781445173422
G1236	H2424	0.519505494505494
G1236	H2421	0.756790948362717
G1236	G2222	0.61181919763935
G1236	G2270	0.816742286751361
G1236	H2416	0.6811011542966789
G1236	A4070	0.799862362362362
G1236	G5590	0.798153210196454
G1236	G982	0.679017256750835
G1236	G2226	0.80447379063108
G1236	H2416a	0.732968948023148
G1236	G1077	0.737068965517241
G1236	G5225	0.75620613837392
G1236	G2227	0.808589975845411
G1236	A2417	0.603950506857484
G1236	H3117a	0.811470473970474
G1236	H3351	0.77582671957672
G5541	H2617	0.726835449075382
G5541	G2472	0.821428571428571
G5541	H2623	0.820274864956791
G5541	H4938	0.825854700854701
G5541	H2616	0.75281217750258
G5541	H2580	0.7469495815288409
G5541	G2261	0.777777777777778
G5541	G3629	0.67842970521542
G5541	G5544	0.642675688509022
G5541	H7349	0.823571838645368
G5541	H2587	0.669773112807464
G5541	A2178	0.666666666666667
G5541	G5543	0.530827505827506
G5541	H4937a	0.819444444444444
G5541	H2177	0.81304347826087
G5541	H2896	0.795787936882689
G5541	A2604	0.789351851851852
G5541	H4327	0.7396742292030249
H2518	H2507	0.799513172966781
H2518	H2396	0.774871450927789
H2518	H2516	0.810606060606061
H2518	G1478	0.818828213879408
H2518	H2419	0.789880952380952
H2518	H3169	0.78328373015873
H2518	H2517	0.811684460260973
H2518	H6667	0.805555555555556
H2518	H3169a	0.782838612684428
H2518	H2396a	0.774765307552193
H2518	H2518a	0
G2737	G5259	0.8243094360280711
G2737	G2709	0.791666666666667
G2737	H8213	0.8249350819064
G2737	G1642	0.753138528138528
G2737	H7757	0.783998435054773
G2737	G5270	0.5193822553897181
G2737	H8481	0.404861111111111
G2737	G2693	0.8
G2737	H4355	0.78452380952381
G2737	H4295	0.679269879340957
G2737	H1600	0.743055555555556
G2737	H6915	0.792040473722848
G2737	H8218	0.811868686868687
G2737	H3766	0.808207880644167
G2737	H8217	0.7917720813907499
G2737	H7817	0.8292763194937109
G2737	H8216	0.751043881800461
G2737	A8215	0.763888888888889
G2737	H8482	0.664891827943298
H3289	G4286	0.824272965694167
H3289	H6098	0.413015511008435
H3289	G1011	0.545637101894173
H3289	H3289a	0.773738437332673
H3289	G4388	0.806315315654491
H3289	H3245a	0.703279397380243
H3289	H4284	0.720835061050747
H3289	H8458	0.7775401873630829
H3289	H5475	0.794367992116912
