index,year,month,page,content,html_tag
1,1985,feb,1,"February 1985: Page 1, 
              2, 3",p
2,1985,feb,1,"Masjid 
              Tucson",p
3,1985,feb,1,Page 1,p
4,1985,feb,1," 
	In the name of God, Most Gracious, Most Merciful
	",p
5,1985,feb,1,Muslim Perspective,p
6,1985,feb,1,"Proclaiming 
                    the only religion acceptable to God",p
7,1985,feb,1,"[No 
                    1]",p
8,1985,feb,1, ,p
9,1985,feb,1,"During the past fourteen centuries, traditions, customs, 
        superstitions And innovations have crept into Islam. Gradually, 
        these innovations came to be vested with religious solemnity to such an 
        extent that anyone who questions them find HIMSELF regarded 
        as the dangerous innovator and heretic.
        Islam Today Is Like A Precious Jewel That Is Buried Under Piles Upon Piles 
        Of man-made innovations. Our aim is to purge out the innovations, and 
      present the jewel of Islam to the world.",p
10,1985,feb,1, ,p
11,1985,feb,1, ,p
12,1985,feb,1,"""Anyone who disobeys GOD 
        and His messenger has deserved the retribution of Hell, wherein they abide 
        forever."" (72:23)",p
13,1985,feb,1,"Despite severe differences that plague the Muslim Ummah – Sectarian, 
        tribal, political and economic differences – even military conflicts 
        and vicious wars – there is one thing that the Muslims unanimously 
        agree upon: That the Qur’an is the word of God that was 
        uttered by the final Prophet Muhammad.",p
14,1985,feb,1,"Every Muslim on earth regardless of sect, race, color, and language believes 
        that Qur’an was uttered by the honorable messenger, upon inspiration 
        from God, and that God has guaranteed its preservation and protection 
        from the slightest distortion, addition or loss. ",p
15,1985,feb,1,"""Surely, we have sent down 
        this message, and surely, we will preserve it"" (15:9).",p
16,1985,feb,1,"This fact – that the glorious Qur’an is God’s message 
        to the world which was uttered by the Prophet Muhammad – is affirmed 
        in Qur’an by the strongest oath:",p
17,1985,feb,1,"""I swear by everything you see, and everything you 
        do not see, this is the utterance of an honorable messenger.",p
18,1985,feb,1,"It is not the utterance of a poet, rarely do you believe.",p
19,1985,feb,1,"Nor is it the utterance of a soothsayer, rarely do you 
        take heed.",p
20,1985,feb,1,A revelation from the Lord of the universe.,p
21,1985,feb,1,,p
22,1985,feb,1,"And, if he ever uttered any other words 
        (i.e. Religious instructions 
        other than the qur’an), We would have punished him severely 
        … We would have stopped the revelation to him. None of you could 
        have protected him from retribution."" (69:38-47)",p
23,1985,feb,1,"The Qur’an affirms that disobeying God and His messenger incurs 
        humiliation, defeat, misery, and shame both in this life and in the Hereafter.",p
24,1985,feb,1,"""Anyone who disregards My message shall suffer a 
        miserable life. Then, on the Day of Resurrection, we resurrect him blind. 
        He will say, ‘My Lord, why did you resurrect me blind, when I used 
        to be a seer?’ He will be told, ‘When our revelations came 
        to you",p
25,1985,feb,1,See page 3,p
26,1985,feb,1,"GOD made the service of Him obligatory on you, which is to say 
        that He made perfect happiness obligatory for you.",p
27,1985,feb,1,WHO ARE WE?,u
28,1985,feb,1,"HAPPINESS IS
        SUBMISSION TO GOD ALONE ",h3
29,1985,feb,1,To Save The Muslim Ummah,strong
30,1985,feb,1,"We Must Return To Obeying The Prophet
            ",strong
31,1985,feb,1,"That the Qur’an is the word of God that was 
        uttered by the final Prophet Muhammad.",strong
32,1985,feb,1,"GOD made the service of Him obligatory on you, which is to say 
        that He made perfect happiness obligatory for you.",strong
33,1985,feb,2,"February 1985: Page 1, 
              2, 3",p
34,1985,feb,2,"Submitters 
              Perspective",p
35,1985,feb,2,Page 2,p
36,1985,feb,2,"A revolutionary restoration of Islam is now 
                    taking place. 
                    In the dawning of the 15th Islamic Century, (1400 AH/ 1980AD), 
                    The Miracle of Quran has 
                    been unveiled.",p
37,1985,feb,2,"""You may dislike 
              something which is actually good for you, and you may like something 
              which is actually bad for you."" (Qur’an 2:216).",p
38,1985,feb,2,"What appears to be a real disaster may actually be a great blessing 
              in disguise. Our incarcerated brothers may provide a perfect example.",p
39,1985,feb,2,"Discovering God and joining his kingdom is the greatest achievement 
              any human being can achieve. If incarceration is what it takes for 
              anyone to attain this precious goal, it is a small price indeed 
              for such a great treasure.",p
40,1985,feb,2,"The Qur’an teaches us that if a disbeliever possesses all 
              the treasures of the world, even twice as much, he would readily 
              give it all up in exchange for a believer’s achievement (10:54, 
              13:18, & 39:47).",p
41,1985,feb,2,"If you are a prisoner who discovered the true path to God, and 
              have decided to follow God’s true religion, you are far more 
              fortunate than a billionaire who has failed to discover God.",p
42,1985,feb,2,"If you discovered Islam in prison, then incarceration was the greatest 
              blessing that ever happened to you.",p
43,1985,feb,2,"It is established that this life is insignificant, when compared 
              to the ",p
44,1985,feb,2,"real life of the eternal Hereafter. Mathematically, 
              when you divide any number by infinity, the product is zero. 
              So, even a thousand years in this world equal a zero 
              when compared to the infinite Hereafter.",p
45,1985,feb,2,"With this Qur’anic understanding, we realize that it doesn’t 
              really matter whether we are poor or rich in this world, fat or 
              thin, tall or short, black or white, male or female, beautiful or 
              ugly.",p
