record_id,category,type,title,asset_kind,local_path,size_bytes,sha256,content_type
video-program/what-is-life-all-about,Videos,video-program,What is Life All About?,thumbnail,content/videos/thumbnails/what-is-life-all-about.png,1519654,f01401d9e2386417954840b56b545aa447fe77ee349927348cf8fd6bd8691bf1,image/png
video-program/who-is-god,Videos,video-program,Who is GOD?,thumbnail,content/videos/thumbnails/who-is-god.png,1802556,e75e945d2da0bff67ad11f20ee350692558bb2a28f6418a5b5b49db09ca94187,image/png
video-program/witness-a-miracle,Videos,video-program,Witness a Miracle,thumbnail,content/videos/thumbnails/witness-a-miracle.png,1962757,0a83013e3e7fe667c60bd0a71e509581f57190813757014d829b121c0af0e1bc,image/png
video-program/mathematical-miracle-of-quran,Videos,video-program,Mathematical Miracle of Quran,thumbnail,content/videos/thumbnails/mathematical-miracle-of-quran.png,2957291,8e2c93cb4f2a3aa7701a51b05463b194333dcd0e0e84b33dc20d7361e3a2b65a,image/png
video-program/essentials-of-submission-islam,Videos,video-program,Essentials of Submission (Islam),thumbnail,content/videos/thumbnails/essentials-of-submission-islam.png,2171016,afab9712d5165fe4df8c5a9bbb18eae297c803fdd53d34e7797b2e206ea70b01,image/png
video-program/principles-of-contact-prayers-salat,Videos,video-program,Principles of Contact Prayers Salat,thumbnail,content/videos/thumbnails/principles-of-contact-prayers-salat.png,2544226,eb22e307f47a0548662e0fbdb001397e51295ce007ab6786743e3072828cd251,image/png
video-program/principles-of-friday-prayer,Videos,video-program,Principles of Friday Prayer,thumbnail,content/videos/thumbnails/principles-of-friday-prayer.png,2977067,cb85417fb82bc18adc7ce6cfcddaea5f66eb48c4ec12c3e90342a2d350788c4e,image/png
video-program/old-message-new-messenger,Videos,video-program,"Old Message, New Messenger",thumbnail,content/videos/thumbnails/old-message-new-messenger.png,1816107,91225beb311881f7141e25116f847b17081489f647d7be868af691ffdb575862,image/png
video-program/the-great-debate-dr-rashad-khalifa-vs-dr-abdel-rahman,Videos,video-program,The Great Debate: Dr. Rashad Khalifa vs Dr. Abdel Rahman,thumbnail,content/videos/thumbnails/the-great-debate-dr-rashad-khalifa-vs-dr-abdel-rahman.png,1826195,2c1d2161d45ced92541680d4787870529d8dd4ad098015ece2c9561a74a45807,image/png
video-program/in-defense-of-the-bible,Videos,video-program,In Defense of the Bible,thumbnail,content/videos/thumbnails/in-defense-of-the-bible.png,2274193,edd587b08bf46f75840d61e580368cef4fffb75c28bab03cb9a83f4475060470,image/png
video-program/evolution-or-creation-the-final-argument-by-dr-rashad-khalifa,Videos,video-program,Evolution or Creation: The Final Argument by Dr. Rashad Khalifa,thumbnail,content/videos/thumbnails/evolution-or-creation-the-final-argument-by-dr-rashad-khalifa.png,2402695,d2aaa36f33b0ab5f3d54d87a4766cc250b5e9f7c4434e1e585908633771ea4e9,image/png
video-program/king-of-chaos,Videos,video-program,King of Chaos,thumbnail,content/videos/thumbnails/king-of-chaos.png,2360654,a11276c52d4467420055d9d41ec0de3b549643fe90daf41b90012a5e2cba1bc3,image/png
video-program/friday-sermon-knowing-god-god-is-doing-everything-06051987,Videos,video-program,Friday Sermon: Knowing GOD: GOD is Doing Everything (06/05/1987),thumbnail,content/videos/thumbnails/friday-sermon-knowing-god-god-is-doing-everything-06051987.webp,6332,673955d2ed9aab192ba964008f8348d548be12ef4dd37b96d9cc7f5310e8cb48,image/webp
video-program/friday-sermon-universal-unity-through-devotion-to-god-alone,Videos,video-program,Friday Sermon: Universal Unity Through Devotion to GOD Alone,thumbnail,content/videos/thumbnails/friday-sermon-universal-unity-through-devotion-to-god-alone.webp,8628,e7278e4b5eae56bc084f7486c6f94db363057cb55f95c309582712764f706471,image/webp
video-program/friday-sermon-the-mathematical-miracle-proves-the-quran-to-be-the-word-of-god-10161987,Videos,video-program,Friday Sermon: The Mathematical Miracle Proves the Quran to be the Word of GOD (10/16/1987),thumbnail,content/videos/thumbnails/friday-sermon-the-mathematical-miracle-proves-the-quran-to-be-the-word-of-god-10161987.webp,6378,2a4aeb580e4427c39d51c4fff065f86c02bf80ef5071ca1cfe25b62c69afb970,image/webp
video-program/friday-sermon-evidence-is-increasing-this-life-is-a-school-for-the-eternal-life-111987,Videos,video-program,"Friday Sermon: Evidence is Increasing, This Life is a School for the Eternal Life (11/1987)",thumbnail,content/videos/thumbnails/friday-sermon-evidence-is-increasing-this-life-is-a-school-for-the-eternal-life-111987.webp,5222,f63ce5829207ca6fd1508899a7fdec0eabd9e3b510951475cbedf2c9ac475f80,image/webp
video-program/friday-sermon-quran-is-the-only-book-in-the-world-that-is-mathematically-composed-111987,Videos,video-program,Friday Sermon: Quran is the Only Book in the World That is Mathematically Composed (11/1987),thumbnail,content/videos/thumbnails/friday-sermon-quran-is-the-only-book-in-the-world-that-is-mathematically-composed-111987.webp,8728,d217f502f9ab49bcde99cfa312e18033430259f5554d632ebd6ba12fe43f0c83,image/webp
video-program/friday-sermon-more-evidence-memorize-this-supplication-for-divine-protection-111987,Videos,video-program,Friday Sermon: More Evidence - Memorize This Supplication For Divine Protection (11/1987),thumbnail,content/videos/thumbnails/friday-sermon-more-evidence-memorize-this-supplication-for-divine-protection-111987.webp,4708,54bf7d4d9ee80eb4a6078fbe57dbcdda94f73565b5f026684f97a7f8d46c3b85,image/webp
