Video Title,Link,Start Time,End Time,Text,Speaker
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:10.340,00:01:16.237,"In the name of God, the Gracious, the
Merciful. More and more people are",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:16.237,00:01:19.820,increasingly disillusioned with the Bible.,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:19.820,00:01:25.200,"They grow up learning that the Bible is
the Word of God.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:25.200,00:01:32.210,"But when they study the Bible carefully,
they discover that it contains too many",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:32.210,00:01:38.580,"unacceptable contradictions,
too much unacceptable nonsense.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:38.580,00:01:43.940,"And this shocks them and causes the
disillusionment.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:43.940,00:01:48.031,"A very good example is in the market
today, in the bookstores.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:48.031,00:01:56.760,"We find a book by Carl Sagan called ""Contact"", and on page 30 of this book, we find a very",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:01:56.760,00:02:02.820,"good example of the contradictions, the
unacceptable contradictions in the Bible.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:02.820,00:02:09.360,"We see here that in the Gospel of
Matthew, there are 28",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:09.360,00:02:17.340,"generations between David and Jesus.
But in the Gospel of Luke, we see that the",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:17.340,00:02:23.560,"number of generations from David to Jesus is 43.
Now, how could this be the",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:23.560,00:02:30.496,"word of God? Does God know how many
generations are between David and Jesus?",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:30.496,00:02:36.260,"The names in Matthew and in Luke are not
even similar.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:36.260,00:02:42.606,"And this destroys the credibility of the
Bible as the Word of God.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:42.606,00:02:49.686,"How can we explain these contradictions?
This program will prove to you that the Bible",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:49.686,00:02:55.400,"is in fact the Word of God.
But these indefensible contradictions",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:02:55.400,00:03:01.940,"are there because they were injected by human beings. Any contradiction, any",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:01.940,00:03:08.960,"nonsense you see in the Bible, is a
result of human interference, distortions",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:08.960,00:03:16.803,"and injections by wicked people, or good
intentioned people. So, I will prove to",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:16.803,00:03:22.209,"you that the vast majority of the Bible
is Divine truth.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:51.380,00:03:56.754,"The biggest contradiction of all is the
deification of Jesus Christ,",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:03:56.754,00:04:03.340,"making him a god against his will, and
against the teachings of the Bible even.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:03.340,00:04:12.820,We read in Matthew 27:46,
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:12.820,00:04:23.940,"that ""on the cross, toward mid-afternoon,
Jesus cried out in a loud tone and the",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:23.940,00:04:29.680,"Gospel of Matthew even write the Aramaic
that Jesus supposedly uttered on the cross",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:29.680,00:04:34.090,"""ELI ELI LAMA SABACHTHANI?""
Which means",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:34.090,00:04:41.460,"""my God, my God, why have you forsaken me?""
Now, this is not God speaking, saying ""my",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:41.460,00:04:49.000,"God, my God, why have you forsaken me?""
This also casts doubt and creates a serious",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:49.000,00:04:55.710,"contradiction concerning the doctrine
that Jesus came here to die for our sins.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:04:55.710,00:05:04.031,"Because if this were true, then his
crucifixion would be a fulfillment of",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:04.031,00:05:09.420,"his purpose and he would have said on
the cross ""my God, my God, thank you for",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:09.420,00:05:15.400,"fulfilling my mission."" So, all these
contradictions",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:15.400,00:05:23.840,"create disillusionment in the minds of
intelligent people. In this Bible here, we",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:23.840,00:05:33.451,"find the theme at the beginning like
this ""the man who hears my word and has",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:33.451,00:05:40.946,"faith in Him who sent me, possesses eternal life."" So, this verse is telling us",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:40.946,00:05:49.370,"that Jesus was sent to humanity by God, that Jesus is a messenger of God.",
09 In Defence of the Bible,https://www.youtube.com/watch?v=4GWZfsL97cU,00:05:49.370,00:05:55.835,"And when we go to the book of Revelation, the
very first verse says the following",
