Video Title,Link,Start Time,End Time,Text,Speaker
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:11.081,00:00:12.884,"BISM ALLAH, ALRAHMAN, ALRAHIM",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:12.884,00:00:15.273,"In the Name of God, Most Gracious, Most Merciful",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:15.273,00:00:19.866,I seek refuge in God from Satan,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:19.866,00:00:23.328,I have a lot to say.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:23.328,00:00:25.937,I don't know why but it all came to my head.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:25.937,00:00:29.034,And it is very important.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:29.034,00:00:34.495,"Actually, I had a lot to say and I was anxious to change the schedule.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:34.495,00:00:39.327,"So, when we were ahead of the schedule in the morning and Shahnaz was speaking here.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:39.327,00:00:41.841,"We decided to change the schedule, right?",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:41.841,00:00:44.014,But this is destiny.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:44.014,00:00:50.723,"It is destined that I speak now at this time with you, certain people, in this hall, now.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:50.723,00:00:53.664,Because when we attempted to change the schedule. What happened?,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:56.842,00:00:58.796,We couldn't do it.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:00:58.796,00:01:02.559,And the rain was only here around the... on the dining hall.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:02.559,00:01:08.148,It was rain here only. The rain and the lightening were only here.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:08.148,00:01:14.680,"So, we had to go back to the original schedule because it is destiny that I speak now.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:14.680,00:01:24.544,"When you go to school, and enroll in a course and they find that you are deficient in some information,",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:24.544,00:01:28.815,they send you back to school to take some prerequisites.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:28.815,00:01:39.413,"You go and take physics or physical chemistry, and then you find the formulae or formulas",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:39.413,00:01:44.862,"that how things go, differentiation and integration and funny signs.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:44.862,00:01:48.682,"And you don't understand a thing and they say ""oh you didn't take calculus?""",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:48.682,00:01:54.862,"You say ""no."" So, they send you back to school, say ""go take some calculus and come back.""",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:54.862,00:01:59.206,"And we are, this is what happened to us.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:01:59.206,00:02:05.961,We were in God's kingdom and some deficiency was discovered in us.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:05.961,00:02:13.147,"And some fellow creatures suggested that we'd be flunk, failed and send them all to hell.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:13.147,00:02:18.775,"And God said ""I am gonna send them back to school, give them a textbook""",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:18.775,00:02:22.418,You see the textbook.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:22.418,00:02:27.621,"""And then they are tested, and if they make it, they can come back.""",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:27.621,00:02:30.811,Go take some calculus and come back.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:36.260,00:02:43.823,"After making this statement, I'm realizing that we are here in school to take some additional courses.",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:43.823,00:02:49.313,We are receiving a lot of information and we are going from test to test.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:02:49.313,00:03:00.878,"I want to congratulate you, most of you, for making it",
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:03:00.878,00:03:05.939,because you have passed the most difficult test.,
45 United Submitters International Conference Final Speech by dr Rashad Khalifa 1989,https://www.youtube.com/watch?v=oLFyMIlEPRM,00:03:05.939,00:03:14.301,"The most difficult test is to have one of us, a human being like us, claim that he is a messenger of God.",
