Video Title,Link,Start Time,End Time,Text,Speaker
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:15.194,00:00:16.246,Roll call.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:16.246,00:00:20.277,Mr. Miller. Here. Mr. Behram. Here. Ms. Heckman. Here. Mr. Ford.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:20.277,00:00:23.404,Mr. Ford is excused. Mr. Wallace. Here. Mr. Davis. Here.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:24.000,00:00:27.018,Hear item 2. Invocation pledge of allegiance.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:27.018,00:00:33.557,The invocation of this evening will be given by Imam Rashad Khalifa of the Islamic mosque of Tucson.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:33.557,00:00:37.020,Will you please remain standing for the pledge of allegiance to the flag?,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:42.306,00:00:45.533,"In the name of God, the Most Gracious, the Most Merciful.",
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:46.289,00:00:48.902,"Praise be to God, Lord of the universe.",
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:49.318,00:00:51.318,"The Most Gracious, the Most Merciful.",
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:51.892,00:00:54.055,Master of the Day of Recompense.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:54.920,00:00:58.751,Only You we worship. Only You we ask for help.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:00:59.483,00:01:01.857,Guide us in the right path.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:02.190,00:01:05.377,The path of those who deserve Your blessings.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:05.377,00:01:08.683,Not of those who incurred Your displeasure,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:08.683,00:01:11.092,Nor of those who go astray.,
46 City Council al fateha Recitation by Rashad Khalifa,https://www.youtube.com/watch?v=OSLo75uochY,00:01:11.092,00:01:12.224,Amen.,
