Video Title,Link,Start Time,End Time,Text,Speaker
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:04.727,00:00:08.853,We praise God and we bear witness that there is only one God.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:08.853,00:00:10.742,The one true God who created all of us.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:14.378,00:00:23.925,We've been fortunate to receive a message from God,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:23.925,00:00:29.561,"that is proven with tangible evidence, physical evidence for the first time in history.",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:29.561,00:00:37.016,"Something that the world is going to recognize, maybe it will take the world 20 years or 50 years.",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:37.016,00:00:48.327,But we are fortunate to be the first pioneers who see this evidence and realize what God is telling us.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:48.327,00:00:56.257,"There is a definite message from God to all of us, giving us the most vital information that we need.",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:00:56.257,00:01:01.642,And I will try to draw a picture of the whole thing in this KHUTBAH,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:01.642,00:01:07.698,"to summarize for all of us the things that we've been witnessing for the last few years,",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:07.698,00:01:14.174,and also for our guests to catch up with this... a summary of the whole thing.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:14.174,00:01:19.660,God created us and He did not leave us without support.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:19.660,00:01:23.883,He didn't just leave us in the wild without direction or guidance.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:23.883,00:01:31.893,He did quite a few things to help us attain our objective,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:31.893,00:01:36.000,which is one of the things that most people don't know.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:36.000,00:01:38.451,"People in the street, they don't know what our objective is.",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:38.451,00:01:49.649,"So, God sent messages and messengers and told us exactly the things that we need.",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:49.649,00:01:52.446,The first thing that God did was,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:52.446,00:01:57.358,"that He gathered all of us, all the human beings",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:01:57.358,00:02:00.650,who came to this earth and will come to this earth,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:00.650,00:02:04.094,"and that was before creation of the heavens and the earth,",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:04.094,00:02:08.970,"and He had us witness, bear witness that He alone is our Lord,",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:08.970,00:02:11.611,that we'll worship God alone.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:13.569,00:02:17.396,"God called all the people, said, ""do you bear witness that I am your Lord?""",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:17.396,00:02:18.000,"And we said ""yes.""",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:18.000,00:02:23.458,"So, this constitutes natural instinct in each one of us.",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:23.458,00:02:28.820,"So, each one of us comes to this world, we are born with a natural instinct to worship God alone,",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:28.820,00:02:32.577,and not to worship or idolize anybody else.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:32.577,00:02:39.301,"We are born... born with the knowledge and recognition that God is the One who created us,",
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:39.301,00:02:41.103,that He's the One who provides for us.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:41.103,00:02:44.041,He decides exactly how many dollars we're going to get.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:45.803,00:02:51.540,And God is the One who terminates our life when the specific time comes.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:51.540,00:02:53.608,And God is the One who will resurrect us,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:53.608,00:02:57.959,and God is the One who will put us in Heaven or Hell depending on our work.,
28 Friday Sermon Natural Instinct Who is The Real You How to Find Perfect Happiness,https://www.youtube.com/watch?v=HW9pLxDpNKk,00:02:57.959,00:03:01.615,"Therefore, we must owe our allegiance to God alone",
